Row Label,PrecinctCode,County,Registered Voters,Joel Kretz,Ronnie Rae
Total,-1,PE,NULL,3695,811
Camden,1,PE,NULL,149,23
Cusick,2,PE,NULL,99,27
Dalkena,3,PE,NULL,227,40
Diamond Lk East,4,PE,NULL,77,25
Fertile Valley North,5,PE,NULL,138,22
Furport,6,PE,NULL,180,42
Ione East,7,PE,NULL,134,23
Ione West,8,PE,NULL,167,31
Metaline,9,PE,NULL,88,8
Metaline Falls,10,PE,NULL,137,31
Tiger Dry Canyon,11,PE,NULL,224,47
Newport NE,12,PE,NULL,174,51
Newport SE,13,PE,NULL,82,26
Newport NW,14,PE,NULL,166,37
Newport SW,15,PE,NULL,139,28
Noble,16,PE,NULL,239,62
Ruby,17,PE,NULL,19,6
Sacheen,18,PE,NULL,167,49
Usk,19,PE,NULL,151,18
Diamond Lk West,20,PE,NULL,138,28
Deer Valley North,21,PE,NULL,152,53
Locke,22,PE,NULL,30,6
Kalispel Leclerc,23,PE,NULL,113,26
Skookum,24,PE,NULL,48,11
Deer Valley South,25,PE,NULL,50,13
Fertile Valley South,26,PE,NULL,131,23
Diamond Lk,27,PE,NULL,276,55
