Row Label,PrecinctCode,County,Registered Voters,Tam T. Bui
Total,-1,SN,NULL,35535
SUNNYSIDE,14414044,SN,NULL,54
WELANGDON,14454018,SN,NULL,17
WOODRIDGE,14454339,SN,NULL,284
SUNRISE,14454364,SN,NULL,194
HAVEN,14454531,SN,NULL,235
MUKILTEO  1,22121192,SN,NULL,263
MUKILTEO  2,22121193,SN,NULL,322
MUKILTEO  3,22121194,SN,NULL,188
EVERETT  56,22121259,SN,NULL,188
EVERETT  57,22121260,SN,NULL,203
MUKILTEO  4,22121262,SN,NULL,152
MUKILTEO  5,22121263,SN,NULL,306
MUKILTEO  7,22121306,SN,NULL,168
MUKILTEO  8,22121307,SN,NULL,159
MUKILTEO  9,22121355,SN,NULL,201
MUKILTEO 11,22121378,SN,NULL,214
MUKILTEO 12,22121379,SN,NULL,319
MUKILTEO 13,22121380,SN,NULL,199
MUKILTEO 14,22121381,SN,NULL,271
MUKILTEO 16,22121382,SN,NULL,288
MUKILTEO 18,22121383,SN,NULL,288
EVERETT  35,22121400,SN,NULL,204
EVERETT  64,22121405,SN,NULL,100
EVERETT  65,22121406,SN,NULL,185
EVERETT  66,22121407,SN,NULL,205
EVERETT  84,22121448,SN,NULL,63
MUKILTEO 19,22121474,SN,NULL,159
MUKILTEO 20,22121475,SN,NULL,249
EVERETT  91,22121491,SN,NULL,148
EVERETT  52,22121615,SN,NULL,192
EVERETT  61,22121616,SN,NULL,35
EVERETT  79,22121621,SN,NULL,200
EVERETT  83,22121622,SN,NULL,164
EVERETT  92,22121624,SN,NULL,3
MUKILTEO  6,22121631,SN,NULL,232
MUKILTEO 15,22121632,SN,NULL,82
MUKILTEO 17,22121633,SN,NULL,290
MUKILTEO 10,22121655,SN,NULL,169
EVERETT  95,22121697,SN,NULL,97
MUKILTEO 21,22121704,SN,NULL,127
HIWAY,22124068,SN,NULL,25
LIND,22124185,SN,NULL,214
STOCK SHOW,22124486,SN,NULL,101
OLIVIA,22124589,SN,NULL,29
HAMPTON,22134456,SN,NULL,229
MARYSVILLE  1,23811047,SN,NULL,133
MARYSVILLE  2,23811048,SN,NULL,88
MARYSVILLE  4,23811128,SN,NULL,170
MARYSVILLE  6,23811129,SN,NULL,161
MARYSVILLE  3,23811261,SN,NULL,253
MARYSVILLE  9,23811299,SN,NULL,101
MARYSVILLE 11,23811342,SN,NULL,289
MARYSVILLE  7,23811350,SN,NULL,128
MARYSVILLE  8,23811351,SN,NULL,191
MARYSVILLE 10,23811429,SN,NULL,157
MARYSVILLE 13,23811430,SN,NULL,157
MARYSVILLE 15,23811465,SN,NULL,214
MARYSVILLE 17,23811467,SN,NULL,199
MARYSVILLE 20,23811504,SN,NULL,212
MARYSVILLE 26,23811544,SN,NULL,240
MARYSVILLE 27,23811571,SN,NULL,271
MARYSVILLE 28,23811572,SN,NULL,126
MARYSVILLE 25,23811650,SN,NULL,130
MARYSVILLE 29,23811651,SN,NULL,119
MARYSVILLE 32,23811679,SN,NULL,149
MARYSVILLE 35,23811728,SN,NULL,209
MARYSVILLE 36,23811729,SN,NULL,138
MARYSVILLE 37,23811730,SN,NULL,139
MARYSVILLE 38,23811731,SN,NULL,150
MARYSVILLE 39,23811732,SN,NULL,180
MARYSVILLE 40,23811733,SN,NULL,161
MARYSVILLE 41,23811734,SN,NULL,149
MARYSVILLE 42,23811735,SN,NULL,181
MARYSVILLE 43,23811736,SN,NULL,198
MARYSVILLE 46,23811739,SN,NULL,272
MARYSVILLE 47,23811740,SN,NULL,195
MARYSVILLE 48,23811741,SN,NULL,167
MARYSVILLE 49,23811742,SN,NULL,165
MARYSVILLE 50,23811743,SN,NULL,219
MARYSVILLE 51,23811744,SN,NULL,91
EVERETT   1,23821214,SN,NULL,248
EVERETT   2,23821215,SN,NULL,201
EVERETT   3,23821216,SN,NULL,162
EVERETT   4,23821217,SN,NULL,200
EVERETT   6,23821218,SN,NULL,151
EVERETT   8,23821219,SN,NULL,171
EVERETT  11,23821220,SN,NULL,233
EVERETT  12,23821221,SN,NULL,170
EVERETT  13,23821222,SN,NULL,163
EVERETT  14,23821223,SN,NULL,190
EVERETT  15,23821224,SN,NULL,187
EVERETT  16,23821225,SN,NULL,148
EVERETT  17,23821226,SN,NULL,119
EVERETT  18,23821227,SN,NULL,253
EVERETT  19,23821228,SN,NULL,191
EVERETT  20,23821229,SN,NULL,198
EVERETT  21,23821230,SN,NULL,255
EVERETT  22,23821231,SN,NULL,178
EVERETT  24,23821232,SN,NULL,202
EVERETT  25,23821233,SN,NULL,166
EVERETT  26,23821234,SN,NULL,273
EVERETT  27,23821235,SN,NULL,214
EVERETT  28,23821236,SN,NULL,146
EVERETT  29,23821237,SN,NULL,143
EVERETT  31,23821238,SN,NULL,138
EVERETT  32,23821239,SN,NULL,188
EVERETT  33,23821240,SN,NULL,259
EVERETT  34,23821241,SN,NULL,133
EVERETT  36,23821242,SN,NULL,164
EVERETT  37,23821243,SN,NULL,206
EVERETT  38,23821244,SN,NULL,48
EVERETT  39,23821245,SN,NULL,181
EVERETT  40,23821246,SN,NULL,86
EVERETT  41,23821247,SN,NULL,163
EVERETT  42,23821248,SN,NULL,153
EVERETT  43,23821249,SN,NULL,124
EVERETT  44,23821250,SN,NULL,135
EVERETT  45,23821251,SN,NULL,162
EVERETT  48,23821252,SN,NULL,150
EVERETT  49,23821253,SN,NULL,242
EVERETT  50,23821254,SN,NULL,197
EVERETT  51,23821255,SN,NULL,177
EVERETT  53,23821256,SN,NULL,194
EVERETT  54,23821257,SN,NULL,179
EVERETT  55,23821258,SN,NULL,59
EVERETT  67,23821287,SN,NULL,186
EVERETT  69,23821288,SN,NULL,166
EVERETT  73,23821289,SN,NULL,215
EVERETT  76,23821290,SN,NULL,168
TULALIP 1,23821327,SN,NULL,210
TULALIP 2,23821328,SN,NULL,188
EVERETT  60,23821346,SN,NULL,197
TULALIP 3,23821365,SN,NULL,210
EVERETT   5,23821394,SN,NULL,190
EVERETT   7,23821395,SN,NULL,90
EVERETT   9,23821396,SN,NULL,315
EVERETT  10,23821397,SN,NULL,154
EVERETT  23,23821398,SN,NULL,32
EVERETT  30,23821399,SN,NULL,230
EVERETT  46,23821401,SN,NULL,154
EVERETT  47,23821402,SN,NULL,208
EVERETT  58,23821403,SN,NULL,28
EVERETT  59,23821404,SN,NULL,172
EVERETT  68,23821408,SN,NULL,287
EVERETT  70,23821409,SN,NULL,2
EVERETT  71,23821410,SN,NULL,113
EVERETT  72,23821411,SN,NULL,105
EVERETT  74,23821412,SN,NULL,123
EVERETT  80,23821413,SN,NULL,213
EVERETT  81,23821414,SN,NULL,106
TULALIP 4,23821440,SN,NULL,218
EVERETT  85,23821449,SN,NULL,141
EVERETT  87,23821450,SN,NULL,122
EVERETT  88,23821451,SN,NULL,187
EVERETT  89,23821452,SN,NULL,162
EVERETT  90,23821453,SN,NULL,63
TULALIP 5,23821510,SN,NULL,130
TULALIP 6,23821558,SN,NULL,110
EVERETT  62,23821617,SN,NULL,155
EVERETT  63,23821618,SN,NULL,150
EVERETT  75,23821619,SN,NULL,114
EVERETT  78,23821620,SN,NULL,103
EVERETT  86,23821623,SN,NULL,186
EVERETT  77,23821645,SN,NULL,152
EVERETT  82,23821662,SN,NULL,143
EVERETT  93,23821695,SN,NULL,135
EVERETT  94,23821696,SN,NULL,107
PRIEST POINT,23824098,SN,NULL,121
HAT ISLAND,23824267,SN,NULL,18
SHELTON,23824269,SN,NULL,260
TYEE,23824441,SN,NULL,199
BOEING,23824445,SN,NULL,162
COHO,23824561,SN,NULL,83
SPENCER,23824593,SN,NULL,0
CHATHAM,23824752,SN,NULL,45
SYLVAN,23854756,SN,NULL,11
MARYSVILLE 18,23911468,SN,NULL,249
MARYSVILLE 33,23911680,SN,NULL,4
MARYSVILLE 44,23911737,SN,NULL,295
MARYSVILLE 45,23911738,SN,NULL,261
MARYSVILLE 52,23911745,SN,NULL,273
MARYSVILLE 53,23911746,SN,NULL,146
MARYSVILLE 54,23911747,SN,NULL,219
ALMA,23914151,SN,NULL,24
MARYSVILLE  5,24411428,SN,NULL,273
MARYSVILLE 16,24411466,SN,NULL,262
MARYSVILLE 19,24411494,SN,NULL,177
MARYSVILLE 21,24411540,SN,NULL,302
MARYSVILLE 22,24411541,SN,NULL,270
MARYSVILLE 23,24411542,SN,NULL,291
MARYSVILLE 24,24411543,SN,NULL,189
MARYSVILLE 14,24411628,SN,NULL,279
MARYSVILLE 12,24411676,SN,NULL,224
MARYSVILLE 30,24411677,SN,NULL,243
