Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
26-349,26349,PI,NULL,278,307
26-350,26350,PI,NULL,294,322
26-351,26351,PI,NULL,240,330
26-352,26352,PI,NULL,254,335
27-401,27401,PI,NULL,116,171
27-404,27404,PI,NULL,65,117
27-405,27405,PI,NULL,281,312
27-406,27406,PI,NULL,362,389
27-407,27407,PI,NULL,274,263
27-408,27408,PI,NULL,281,302
27-409,27409,PI,NULL,283,248
27-410,27410,PI,NULL,258,311
27-411,27411,PI,NULL,245,446
27-412,27412,PI,NULL,262,247
27-413,27413,PI,NULL,233,313
27-414,27414,PI,NULL,190,403
27-415,27415,PI,NULL,300,321
27-416,27416,PI,NULL,271,305
27-417,27417,PI,NULL,197,403
27-418,27418,PI,NULL,247,286
27-419,27419,PI,NULL,269,315
27-420,27420,PI,NULL,234,410
27-421,27421,PI,NULL,172,291
27-422,27422,PI,NULL,249,436
27-423,27423,PI,NULL,218,414
27-424,27424,PI,NULL,219,338
27-425,27425,PI,NULL,174,350
27-426,27426,PI,NULL,142,341
27-427,27427,PI,NULL,186,336
27-428,27428,PI,NULL,177,287
27-429,27429,PI,NULL,198,296
27-430,27430,PI,NULL,230,276
27-431,27431,PI,NULL,102,100
27-432,27432,PI,NULL,259,258
27-433,27433,PI,NULL,231,261
27-434,27434,PI,NULL,228,240
27-435,27435,PI,NULL,257,253
27-436,27436,PI,NULL,207,287
27-437,27437,PI,NULL,195,243
27-438,27438,PI,NULL,225,210
27-439,27439,PI,NULL,179,277
27-440,27440,PI,NULL,217,255
27-441,27441,PI,NULL,190,218
27-442,27442,PI,NULL,173,158
27-443,27443,PI,NULL,206,157
27-444,27444,PI,NULL,222,218
27-445,27445,PI,NULL,208,209
27-446,27446,PI,NULL,213,204
27-447,27447,PI,NULL,198,228
27-448,27448,PI,NULL,11,8
27-449,27449,PI,NULL,245,226
27-450,27450,PI,NULL,257,250
27-451,27451,PI,NULL,203,187
27-452,27452,PI,NULL,221,216
27-453,27453,PI,NULL,181,122
27-454,27454,PI,NULL,258,216
27-455,27455,PI,NULL,213,183
27-456,27456,PI,NULL,178,155
27-457,27457,PI,NULL,208,185
27-458,27458,PI,NULL,157,147
27-459,27459,PI,NULL,143,132
27-460,27460,PI,NULL,223,331
27-461,27461,PI,NULL,270,346
27-462,27462,PI,NULL,239,317
27-463,27463,PI,NULL,232,181
27-464,27464,PI,NULL,199,268
27-465,27465,PI,NULL,219,205
27-466,27466,PI,NULL,221,214
27-467,27467,PI,NULL,214,236
27-468,27468,PI,NULL,209,209
27-471,27471,PI,NULL,9,8
27-475,27475,PI,NULL,213,264
27-476,27476,PI,NULL,144,226
27-477,27477,PI,NULL,254,290
28-501,28501,PI,NULL,276,332
28-502,28502,PI,NULL,286,324
28-503,28503,PI,NULL,294,288
28-504,28504,PI,NULL,264,321
28-505,28505,PI,NULL,295,395
28-506,28506,PI,NULL,271,325
28-507,28507,PI,NULL,263,223
28-508,28508,PI,NULL,130,135
28-509,28509,PI,NULL,0,0
28-515,28515,PI,NULL,290,402
28-516,28516,PI,NULL,293,326
28-517,28517,PI,NULL,338,306
28-518,28518,PI,NULL,261,305
28-519,28519,PI,NULL,292,311
28-520,28520,PI,NULL,303,274
28-521,28521,PI,NULL,327,321
28-522,28522,PI,NULL,281,364
28-523,28523,PI,NULL,298,363
28-524,28524,PI,NULL,325,373
28-525,28525,PI,NULL,313,363
28-526,28526,PI,NULL,186,272
28-527,28527,PI,NULL,314,381
28-528,28528,PI,NULL,304,314
28-529,28529,PI,NULL,239,252
28-530,28530,PI,NULL,130,137
28-531,28531,PI,NULL,273,285
28-535,28535,PI,NULL,324,330
28-536,28536,PI,NULL,264,350
28-537,28537,PI,NULL,303,341
28-538,28538,PI,NULL,212,271
28-540,28540,PI,NULL,330,378
28-541,28541,PI,NULL,246,281
28-542,28542,PI,NULL,240,327
28-543,28543,PI,NULL,206,258
28-545,28545,PI,NULL,265,295
28-546,28546,PI,NULL,266,250
28-547,28547,PI,NULL,357,317
28-548,28548,PI,NULL,249,240
28-549,28549,PI,NULL,253,283
28-550,28550,PI,NULL,218,203
28-551,28551,PI,NULL,372,327
28-552,28552,PI,NULL,359,262
28-553,28553,PI,NULL,332,263
28-554,28554,PI,NULL,285,309
28-555,28555,PI,NULL,342,317
28-556,28556,PI,NULL,260,205
28-557,28557,PI,NULL,251,211
28-558,28558,PI,NULL,227,205
28-559,28559,PI,NULL,254,268
28-560,28560,PI,NULL,310,375
28-561,28561,PI,NULL,193,169
28-562,28562,PI,NULL,167,140
28-563,28563,PI,NULL,107,68
28-565,28565,PI,NULL,201,243
28-566,28566,PI,NULL,208,255
28-567,28567,PI,NULL,211,308
28-568,28568,PI,NULL,212,310
28-570,28570,PI,NULL,6,3
28-571,28571,PI,NULL,7,5
28-572,28572,PI,NULL,237,207
28-573,28573,PI,NULL,164,145
28-574,28574,PI,NULL,44,54
28-575(*),28575,PI,NULL,0,0
28-576,28576,PI,NULL,251,288
28-577,28577,PI,NULL,7,10
28-578,28578,PI,NULL,42,61
28-579,28579,PI,NULL,40,31
28-580,28580,PI,NULL,42,41
28-581,28581,PI,NULL,169,134
28-582,28582,PI,NULL,102,89
28-583,28583,PI,NULL,194,127
28-584,28584,PI,NULL,195,129
28-585,28585,PI,NULL,350,200
28-586,28586,PI,NULL,261,190
28-587,28587,PI,NULL,208,131
28-588,28588,PI,NULL,323,201
28-589,28589,PI,NULL,313,205
28-590,28590,PI,NULL,9,10
29-600,29600,PI,NULL,0,0
29-601,29601,PI,NULL,189,173
29-602,29602,PI,NULL,183,139
29-603,29603,PI,NULL,186,209
29-604,29604,PI,NULL,206,196
29-605,29605,PI,NULL,186,161
29-606,29606,PI,NULL,241,215
29-607,29607,PI,NULL,257,231
29-608,29608,PI,NULL,209,151
29-609,29609,PI,NULL,171,128
29-610,29610,PI,NULL,220,175
29-611,29611,PI,NULL,47,52
29-612,29612,PI,NULL,111,114
29-613,29613,PI,NULL,261,193
29-614,29614,PI,NULL,247,227
29-615,29615,PI,NULL,262,222
29-616,29616,PI,NULL,242,174
29-617,29617,PI,NULL,229,186
29-618,29618,PI,NULL,196,154
29-619,29619,PI,NULL,228,170
29-620,29620,PI,NULL,121,105
29-621(*),29621,PI,NULL,0,0
29-622,29622,PI,NULL,160,150
29-623,29623,PI,NULL,55,31
29-624,29624,PI,NULL,0,0
29-625,29625,PI,NULL,5,3
29-626,29626,PI,NULL,7,5
29-627,29627,PI,NULL,0,0
29-633,29633,PI,NULL,19,17
29-635,29635,PI,NULL,49,57
29-636,29636,PI,NULL,261,257
29-637,29637,PI,NULL,156,188
29-638,29638,PI,NULL,116,87
29-639,29639,PI,NULL,215,175
29-640,29640,PI,NULL,237,154
29-641,29641,PI,NULL,238,174
29-642,29642,PI,NULL,254,211
29-643,29643,PI,NULL,27,13
29-648,29648,PI,NULL,7,2
29-649,29649,PI,NULL,63,60
29-650,29650,PI,NULL,226,174
29-651,29651,PI,NULL,280,214
29-652,29652,PI,NULL,20,26
29-653,29653,PI,NULL,232,175
29-654,29654,PI,NULL,262,210
29-655,29655,PI,NULL,95,92
29-656,29656,PI,NULL,202,190
29-657(*),29657,PI,NULL,0,0
29-658,29658,PI,NULL,254,182
29-659,29659,PI,NULL,147,119
29-660,29660,PI,NULL,288,242
29-661,29661,PI,NULL,194,177
29-662,29662,PI,NULL,0,0
29-663,29663,PI,NULL,221,174
29-664,29664,PI,NULL,229,211
29-667,29667,PI,NULL,263,209
29-668,29668,PI,NULL,188,143
29-669,29669,PI,NULL,252,208
29-670,29670,PI,NULL,269,250
29-671,29671,PI,NULL,217,196
29-672,29672,PI,NULL,144,113
29-673,29673,PI,NULL,266,227
29-674,29674,PI,NULL,85,72
29-675,29675,PI,NULL,236,213
29-676,29676,PI,NULL,232,217
29-677,29677,PI,NULL,238,236
29-678,29678,PI,NULL,198,134
29-679,29679,PI,NULL,189,171
29-680,29680,PI,NULL,217,175
29-682,29682,PI,NULL,238,165
29-683,29683,PI,NULL,235,192
30-701,30701,PI,NULL,11,8
30-705,30705,PI,NULL,145,97
30-706,30706,PI,NULL,215,169
30-707,30707,PI,NULL,115,105
30-708,30708,PI,NULL,143,223
30-709,30709,PI,NULL,203,170
30-713(*),30713,PI,NULL,0,0
31-801,31801,PI,NULL,141,139
31-802,31802,PI,NULL,206,200
31-803,31803,PI,NULL,206,217
31-804,31804,PI,NULL,207,231
31-805,31805,PI,NULL,224,190
31-806,31806,PI,NULL,264,248
31-807(*),31807,PI,NULL,0,0
31-808,31808,PI,NULL,221,196
31-809,31809,PI,NULL,191,241
31-810,31810,PI,NULL,129,140
31-813,31813,PI,NULL,100,119
31-814,31814,PI,NULL,32,24
31-815,31815,PI,NULL,118,190
31-816,31816,PI,NULL,164,210
31-817,31817,PI,NULL,197,266
31-818,31818,PI,NULL,44,65
31-819,31819,PI,NULL,90,104
31-822,31822,PI,NULL,172,147
31-823,31823,PI,NULL,166,138
31-824(*),31824,PI,NULL,0,0
31-825,31825,PI,NULL,182,201
31-826,31826,PI,NULL,242,194
31-827,31827,PI,NULL,49,71
31-828,31828,PI,NULL,200,174
31-829,31829,PI,NULL,177,176
31-830,31830,PI,NULL,97,71
31-833,31833,PI,NULL,211,197
31-834,31834,PI,NULL,186,171
31-835,31835,PI,NULL,325,296
31-836,31836,PI,NULL,193,236
31-837,31837,PI,NULL,184,153
31-838,31838,PI,NULL,170,144
31-839,31839,PI,NULL,14,23
31-840,31840,PI,NULL,92,104
31-841,31841,PI,NULL,120,101
31-842,31842,PI,NULL,197,169
31-843,31843,PI,NULL,140,151
31-844,31844,PI,NULL,125,155
31-845,31845,PI,NULL,161,192
31-846,31846,PI,NULL,76,78
31-847,31847,PI,NULL,125,63
31-848,31848,PI,NULL,27,42
31-849,31849,PI,NULL,83,54
31-853,31853,PI,NULL,43,39
31-854,31854,PI,NULL,112,84
31-855,31855,PI,NULL,159,110
31-856,31856,PI,NULL,188,163
31-857,31857,PI,NULL,120,106
31-861,31861,PI,NULL,59,49
31-865,31865,PI,NULL,56,64
31-869,31869,PI,NULL,98,106
31-873,31873,PI,NULL,49,31
31-874,31874,PI,NULL,0,0
