Row Label,PrecinctCode,County,Registered Voters,Kevin M. Korsmo
Total,-1,PE,NULL,3116
Camden,1,PE,NULL,89
Cusick,2,PE,NULL,79
Dalkena,3,PE,NULL,180
Diamond Lk East,4,PE,NULL,81
Fertile Valley North,5,PE,NULL,105
Furport,6,PE,NULL,157
Ione East,7,PE,NULL,105
Ione West,8,PE,NULL,123
Metaline,9,PE,NULL,55
Metaline Falls,10,PE,NULL,112
Tiger Dry Canyon,11,PE,NULL,204
Newport NE,12,PE,NULL,167
Newport SE,13,PE,NULL,82
Newport NW,14,PE,NULL,148
Newport SW,15,PE,NULL,127
Noble,16,PE,NULL,198
Ruby,17,PE,NULL,19
Sacheen,18,PE,NULL,162
Usk,19,PE,NULL,115
Diamond Lk West,20,PE,NULL,99
Deer Valley North,21,PE,NULL,133
Locke,22,PE,NULL,26
Kalispel Leclerc,23,PE,NULL,106
Skookum,24,PE,NULL,45
Deer Valley South,25,PE,NULL,49
Fertile Valley South,26,PE,NULL,116
Diamond Lk,27,PE,NULL,234
