Row Label,PrecinctCode,County,Registered Voters,Debra Antes
Total,-1,WL,NULL,13409
Alderbrook 01,1,WL,NULL,175
Alder 02,2,WL,NULL,131
Ash 03,3,WL,NULL,298
Baumeister 04,4,WL,NULL,279
Birch 05,5,WL,NULL,181
Clark 06,6,WL,NULL,132
College 07,7,WL,NULL,179
Edison 08,8,WL,NULL,211
Garfield 09,9,WL,NULL,248
Green Park 10,10,WL,NULL,127
Henderson 11,11,WL,NULL,196
Isaacs 12,12,WL,NULL,145
Jefferson 13,13,WL,NULL,410
Maple 16,16,WL,NULL,381
Marcus 17,17,WL,NULL,531
Monroe 18,18,WL,NULL,473
Paine 20,20,WL,NULL,90
Pine 21,21,WL,NULL,137
Pleasant 22,22,WL,NULL,396
Sharpstein 23,23,WL,NULL,181
Spruce 24,24,WL,NULL,153
Stadium 25,25,WL,NULL,171
Tausick 26,26,WL,NULL,188
Wainwright 28,28,WL,NULL,346
Watertown 29,29,WL,NULL,174
Abbott 31,31,WL,NULL,238
Baker 33,33,WL,NULL,85
Ice Harbor 34,34,WL,NULL,317
Berney 35,35,WL,NULL,198
Blalock 36,36,WL,NULL,358
Braden 37,37,WL,NULL,381
Burbank 38,38,WL,NULL,404
Clyde 39,39,WL,NULL,28
Derry 40,40,WL,NULL,120
Dixie 41,41,WL,NULL,198
Eureka 5 42,42,WL,NULL,44
Eureka 4 43,43,WL,NULL,2
Frenchtown 5 44,44,WL,NULL,162
Frenchtown 4 45,45,WL,NULL,37
Garrison 46,46,WL,NULL,181
Gose 47,47,WL,NULL,87
Lincoln 49,49,WL,NULL,48
Mill Creek 50,50,WL,NULL,189
Moore 51,51,WL,NULL,176
Pros Point 52,52,WL,NULL,720
Ritz 53,53,WL,NULL,421
McNary 54,54,WL,NULL,191
Touchet 4 55,55,WL,NULL,249
Touchet 5 56,56,WL,NULL,3
Twin Grove 57,57,WL,NULL,178
Yellowhawk 58,58,WL,NULL,27
Wallula 59,59,WL,NULL,24
Washington 60,60,WL,NULL,123
CP 1 61,61,WL,NULL,387
CP 2 62,62,WL,NULL,284
CP 3 63,63,WL,NULL,365
Prescott 64,64,WL,NULL,69
Waitsburg 65,65,WL,NULL,360
CP 4 66,66,WL,NULL,434
CP 5 67,67,WL,NULL,332
CP 6 68,68,WL,NULL,56
