Row Label,PrecinctCode,County,Registered Voters,William J. Faubion 
Total,-1,WK,NULL,1165
01 - DEEP RIVER,1,WK,NULL,58
02 - GRAYS RIVER,2,WK,NULL,72
03 - ROSBURG / ALTOONA,3,WK,NULL,87
04 - SKAMOKAWA,4,WK,NULL,100
05 - ELOCHOMAN,5,WK,NULL,188
06 - ROSEDALE,6,WK,NULL,100
07 - COLUMBIA,7,WK,NULL,145
08 - EAST PUGET ISLAND,8,WK,NULL,94
09 - WEST PUGET ISLAND,9,WK,NULL,178
10 - SOUTH CATHLAMET,10,WK,NULL,96
11 - NORTH CATHLAMET,11,WK,NULL,47
