Row Label,PrecinctCode,County,Registered Voters,Darryl Pheasant,Casey Cooper
Total,-1,GR,NULL,11336,7845
Airport 1 001,1,GR,NULL,128,116
Beverly 002,2,GR,NULL,15,18
Block 71 003,3,GR,NULL,346,202
Cascade Fairgrnd 004,4,GR,NULL,153,85
Coulee City 005,5,GR,NULL,132,75
Coulee Cty Rur W 006,6,GR,NULL,48,41
Electric City 007,7,GR,NULL,229,99
Ephrata 5 008,8,GR,NULL,212,65
Ephrata 2 009,9,GR,NULL,248,105
Ephrata 3 010,10,GR,NULL,170,74
Ephrata 4 011,11,GR,NULL,281,133
Ephrata 7 012,12,GR,NULL,234,87
Ephrata 9 013,13,GR,NULL,370,156
Ephrata Rural ,14,GR,NULL,173,100
George 015,15,GR,NULL,18,22
George Rural 016,16,GR,NULL,265,219
Gloyd 017,17,GR,NULL,159,123
Grand Coulee 018,18,GR,NULL,187,65
Hartline 019,19,GR,NULL,39,15
Hartline Rural S 020,20,GR,NULL,11,14
Lakeview Park 021,21,GR,NULL,174,114
Longview 022,22,GR,NULL,210,162
Mae 023,23,GR,NULL,443,356
Marlin 024,24,GR,NULL,10,8
Marlin Rural 025,25,GR,NULL,22,20
Mattawa 026,26,GR,NULL,29,15
Mattawa Rural 027,27,GR,NULL,277,170
McConihe 1 028,28,GR,NULL,92,94
Moses Lake 5 029,29,GR,NULL,196,115
Moses Lake 3 030,30,GR,NULL,240,236
Moses Lake 4 031,31,GR,NULL,172,121
Moses Lake 6 032,32,GR,NULL,234,215
Moses Lake 7 033,33,GR,NULL,191,210
Moses Lake 8 034,34,GR,NULL,286,216
Moses Lake 11 035,35,GR,NULL,303,277
Moses Lake 12 036,36,GR,NULL,195,157
North Banks Lake 037,37,GR,NULL,50,28
O Sullivan Dam 1 038,38,GR,NULL,248,215
Quincy 1 039,39,GR,NULL,148,105
Quincy 4 040,40,GR,NULL,99,47
Quincy 6 041,41,GR,NULL,270,180
Quincy Rural N 042,42,GR,NULL,127,96
Royal Camp 043,43,GR,NULL,254,184
Royal City 044,44,GR,NULL,78,38
Ruff 045,45,GR,NULL,16,36
Smyrna 1 046,46,GR,NULL,73,41
Soap Lake 1 047,47,GR,NULL,131,63
Soap Lake Rur E ,48,GR,NULL,62,33
Stratford 049,49,GR,NULL,24,21
Warden 050,50,GR,NULL,96,79
Warden Rural 051,51,GR,NULL,210,184
Soap Lake 2 052,52,GR,NULL,126,60
Westslope 1 053,53,GR,NULL,47,54
Wheeler 1 054,54,GR,NULL,136,91
Wilson Creek 055,55,GR,NULL,45,27
Wilson Crk Rural 056,56,GR,NULL,12,17
Airport 2 057,57,GR,NULL,103,91
Cascade Valley 058,58,GR,NULL,330,222
Westslope 2 059,59,GR,NULL,47,36
Smyrna 2 060,60,GR,NULL,16,10
East Wahluke 061,61,GR,NULL,38,48
Coulee Cty Rur E 062,62,GR,NULL,9,13
McConihe 2 063,63,GR,NULL,84,73
Quincy Rural S 064,64,GR,NULL,338,214
Greenfield 065,65,GR,NULL,36,19
Moses Lake 1 066,66,GR,NULL,139,89
Moses Lake 2 067,67,GR,NULL,149,110
Moses Lake 9  068,68,GR,NULL,158,169
O Sullivan Dam 2 069,69,GR,NULL,329,302
Wheeler 2 070,70,GR,NULL,344,277
Soap Lake Rur W ,71,GR,NULL,243,107
Coulee Cty Rur N 072,72,GR,NULL,35,39
Hartline Rural N 073,73,GR,NULL,21,14
Ephrata Rural E,74,GR,NULL,173,113
