Row Label,PrecinctCode,County,Registered Voters,Jim Moeller,Lisa Ross
Total,-1,CR,NULL,19239,15694
100,100,CR,NULL,488,181
102,102,CR,NULL,277,204
104,104,CR,NULL,389,241
106,106,CR,NULL,351,185
108,108,CR,NULL,403,192
110,110,CR,NULL,478,194
112,112,CR,NULL,33,24
113,113,CR,NULL,165,134
120,120,CR,NULL,465,234
130,130,CR,NULL,442,192
147,147,CR,NULL,251,238
150,150,CR,NULL,228,137
153,153,CR,NULL,200,197
160,160,CR,NULL,276,166
170,170,CR,NULL,332,155
175,175,CR,NULL,223,173
180,180,CR,NULL,263,190
190,190,CR,NULL,387,277
200,200,CR,NULL,410,197
220,220,CR,NULL,256,175
225,225,CR,NULL,472,330
240,240,CR,NULL,367,377
245,245,CR,NULL,340,305
250,250,CR,NULL,405,276
255,255,CR,NULL,312,254
257,257,CR,NULL,322,259
290,290,CR,NULL,292,277
294,294,CR,NULL,177,200
296,296,CR,NULL,216,192
298,298,CR,NULL,180,185
325,325,CR,NULL,220,221
327,327,CR,NULL,273,356
330,330,CR,NULL,283,301
335,335,CR,NULL,228,226
337,337,CR,NULL,277,253
338,338,CR,NULL,246,317
340,340,CR,NULL,315,262
350,350,CR,NULL,240,246
360,360,CR,NULL,316,293
370,370,CR,NULL,234,196
390,390,CR,NULL,360,308
395,395,CR,NULL,123,68
400,400,CR,NULL,201,136
410,410,CR,NULL,398,310
415,415,CR,NULL,234,206
420,420,CR,NULL,301,279
423,423,CR,NULL,223,211
424,424,CR,NULL,331,321
425,425,CR,NULL,205,239
426,426,CR,NULL,387,368
430,430,CR,NULL,206,205
432,432,CR,NULL,226,215
435,435,CR,NULL,200,231
453,453,CR,NULL,278,272
460,460,CR,NULL,414,395
470,470,CR,NULL,443,333
565,565,CR,NULL,211,270
566,566,CR,NULL,172,224
639,639,CR,NULL,253,245
642,642,CR,NULL,106,160
650,650,CR,NULL,317,234
651,651,CR,NULL,197,211
660,660,CR,NULL,318,254
663,663,CR,NULL,211,184
670,670,CR,NULL,344,285
673,673,CR,NULL,344,310
675,675,CR,NULL,204,208
