Row Label,PrecinctCode,County,Registered Voters,Yes,No
26-349,26349,PI,NULL,283,344
26-350,26350,PI,NULL,288,370
26-351,26351,PI,NULL,290,335
26-352,26352,PI,NULL,286,335
27-401,27401,PI,NULL,97,203
27-404,27404,PI,NULL,30,171
27-405,27405,PI,NULL,220,430
27-406,27406,PI,NULL,318,497
27-407,27407,PI,NULL,242,351
27-408,27408,PI,NULL,272,353
27-409,27409,PI,NULL,243,330
27-410,27410,PI,NULL,217,402
27-411,27411,PI,NULL,235,537
27-412,27412,PI,NULL,229,316
27-413,27413,PI,NULL,226,390
27-414,27414,PI,NULL,166,511
27-415,27415,PI,NULL,245,433
27-416,27416,PI,NULL,223,423
27-417,27417,PI,NULL,192,473
27-418,27418,PI,NULL,198,394
27-419,27419,PI,NULL,191,451
27-420,27420,PI,NULL,168,547
27-421,27421,PI,NULL,154,357
27-422,27422,PI,NULL,176,581
27-423,27423,PI,NULL,187,511
27-424,27424,PI,NULL,162,460
27-425,27425,PI,NULL,158,428
27-426,27426,PI,NULL,150,406
27-427,27427,PI,NULL,178,388
27-428,27428,PI,NULL,143,358
27-429,27429,PI,NULL,183,343
27-430,27430,PI,NULL,209,340
27-431,27431,PI,NULL,96,126
27-432,27432,PI,NULL,234,327
27-433,27433,PI,NULL,220,341
27-434,27434,PI,NULL,199,301
27-435,27435,PI,NULL,230,339
27-436,27436,PI,NULL,179,346
27-437,27437,PI,NULL,188,292
27-438,27438,PI,NULL,162,300
27-439,27439,PI,NULL,145,346
27-440,27440,PI,NULL,180,319
27-441,27441,PI,NULL,182,248
27-442,27442,PI,NULL,182,179
27-443,27443,PI,NULL,196,188
27-444,27444,PI,NULL,232,230
27-445,27445,PI,NULL,206,238
27-446,27446,PI,NULL,212,236
27-447,27447,PI,NULL,212,250
27-448,27448,PI,NULL,13,7
27-449,27449,PI,NULL,233,269
27-450,27450,PI,NULL,224,297
27-451,27451,PI,NULL,203,212
27-452,27452,PI,NULL,248,211
27-453,27453,PI,NULL,181,149
27-454,27454,PI,NULL,215,282
27-455,27455,PI,NULL,215,200
27-456,27456,PI,NULL,167,187
27-457,27457,PI,NULL,195,218
27-458,27458,PI,NULL,152,170
27-459,27459,PI,NULL,144,147
27-460,27460,PI,NULL,232,376
27-461,27461,PI,NULL,239,433
27-462,27462,PI,NULL,254,339
27-463,27463,PI,NULL,191,265
27-464,27464,PI,NULL,198,316
27-465,27465,PI,NULL,202,250
27-466,27466,PI,NULL,211,254
27-467,27467,PI,NULL,256,232
27-468,27468,PI,NULL,202,244
27-471,27471,PI,NULL,11,7
27-475,27475,PI,NULL,194,325
27-476,27476,PI,NULL,133,270
27-477,27477,PI,NULL,319,252
28-501,28501,PI,NULL,225,454
28-502,28502,PI,NULL,248,413
28-503,28503,PI,NULL,227,400
