Row Label,PrecinctCode,County,Registered Voters,James L. Nagle
Total,-1,WL,NULL,13340
Alderbrook 01,1,WL,NULL,170
Alder 02,2,WL,NULL,133
Ash 03,3,WL,NULL,298
Baumeister 04,4,WL,NULL,284
Birch 05,5,WL,NULL,181
Clark 06,6,WL,NULL,132
College 07,7,WL,NULL,178
Edison 08,8,WL,NULL,202
Garfield 09,9,WL,NULL,240
Green Park 10,10,WL,NULL,125
Henderson 11,11,WL,NULL,197
Isaacs 12,12,WL,NULL,137
Jefferson 13,13,WL,NULL,428
Maple 16,16,WL,NULL,379
Marcus 17,17,WL,NULL,511
Monroe 18,18,WL,NULL,466
Paine 20,20,WL,NULL,86
Pine 21,21,WL,NULL,134
Pleasant 22,22,WL,NULL,387
Sharpstein 23,23,WL,NULL,178
Spruce 24,24,WL,NULL,164
Stadium 25,25,WL,NULL,164
Tausick 26,26,WL,NULL,197
Wainwright 28,28,WL,NULL,347
Watertown 29,29,WL,NULL,172
Abbott 31,31,WL,NULL,243
Baker 33,33,WL,NULL,86
Ice Harbor 34,34,WL,NULL,298
Berney 35,35,WL,NULL,198
Blalock 36,36,WL,NULL,359
Braden 37,37,WL,NULL,393
Burbank 38,38,WL,NULL,398
Clyde 39,39,WL,NULL,22
Derry 40,40,WL,NULL,116
Dixie 41,41,WL,NULL,195
Eureka 5 42,42,WL,NULL,46
Eureka 4 43,43,WL,NULL,2
Frenchtown 5 44,44,WL,NULL,164
Frenchtown 4 45,45,WL,NULL,39
Garrison 46,46,WL,NULL,173
Gose 47,47,WL,NULL,90
Lincoln 49,49,WL,NULL,49
Mill Creek 50,50,WL,NULL,196
Moore 51,51,WL,NULL,179
Pros Point 52,52,WL,NULL,727
Ritz 53,53,WL,NULL,419
McNary 54,54,WL,NULL,186
Touchet 4 55,55,WL,NULL,254
Touchet 5 56,56,WL,NULL,5
Twin Grove 57,57,WL,NULL,181
Yellowhawk 58,58,WL,NULL,29
Wallula 59,59,WL,NULL,26
Washington 60,60,WL,NULL,116
CP 1 61,61,WL,NULL,388
CP 2 62,62,WL,NULL,275
CP 3 63,63,WL,NULL,371
Prescott 64,64,WL,NULL,70
Waitsburg 65,65,WL,NULL,349
CP 4 66,66,WL,NULL,431
CP 5 67,67,WL,NULL,325
CP 6 68,68,WL,NULL,52
