Row Label,PrecinctCode,County,Registered Voters,David E. Griffiths
Total,-1,CH,NULL,15054
100,100,CH,NULL,6
110,110,CH,NULL,188
111,111,CH,NULL,59
112,112,CH,NULL,18
113,113,CH,NULL,35
114,114,CH,NULL,237
115,115,CH,NULL,23
116,116,CH,NULL,90
120,120,CH,NULL,182
121,121,CH,NULL,180
122,122,CH,NULL,104
123,123,CH,NULL,27
124,124,CH,NULL,40
125,125,CH,NULL,355
126,126,CH,NULL,47
127,127,CH,NULL,77
128,128,CH,NULL,38
129,129,CH,NULL,130
131,131,CH,NULL,36
132,132,CH,NULL,24
133,133,CH,NULL,228
134,134,CH,NULL,356
135,135,CH,NULL,355
136,136,CH,NULL,4
140,140,CH,NULL,103
141,141,CH,NULL,7
142,142,CH,NULL,28
143,143,CH,NULL,5
144,144,CH,NULL,18
145,145,CH,NULL,18
146,146,CH,NULL,68
147,147,CH,NULL,342
148,148,CH,NULL,152
149,149,CH,NULL,171
150,150,CH,NULL,38
151,151,CH,NULL,3
152,152,CH,NULL,2
153,153,CH,NULL,495
154,154,CH,NULL,424
155,155,CH,NULL,154
156,156,CH,NULL,43
157,157,CH,NULL,345
158,158,CH,NULL,167
159,159,CH,NULL,7
161,161,CH,NULL,25
162,162,CH,NULL,22
163,163,CH,NULL,18
164,164,CH,NULL,134
165,165,CH,NULL,79
171,171,CH,NULL,9
172,172,CH,NULL,12
173,173,CH,NULL,12
174,174,CH,NULL,249
175,175,CH,NULL,418
181,181,CH,NULL,308
182,182,CH,NULL,265
183,183,CH,NULL,150
190,190,CH,NULL,27
210,210,CH,NULL,212
220,220,CH,NULL,251
310,310,CH,NULL,139
320,320,CH,NULL,218
330,330,CH,NULL,235
410,410,CH,NULL,283
420,420,CH,NULL,310
430,430,CH,NULL,421
440,440,CH,NULL,458
450,450,CH,NULL,383
460,460,CH,NULL,357
480,480,CH,NULL,378
490,490,CH,NULL,574
510,510,CH,NULL,212
520,520,CH,NULL,543
530,530,CH,NULL,407
540,540,CH,NULL,333
560,560,CH,NULL,358
580,580,CH,NULL,255
590,590,CH,NULL,334
610,610,CH,NULL,251
710,710,CH,NULL,239
720,720,CH,NULL,340
730,730,CH,NULL,367
1149,1149,CH,NULL,31
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
