Row Label,PrecinctCode,County,Registered Voters,Rick Larsen,B.J. Guillot
Total,-1,WM,NULL,24091,9472
160    ,160,WM,NULL,314,170
161    ,161,WM,NULL,198,96
169    ,169,WM,NULL,441,240
170    ,170,WM,NULL,206,146
171    ,171,WM,NULL,371,149
172    ,172,WM,NULL,200,110
173    ,173,WM,NULL,238,176
174    ,174,WM,NULL,239,160
175    ,175,WM,NULL,313,130
176    ,176,WM,NULL,226,167
177    ,177,WM,NULL,215,109
178    ,178,WM,NULL,323,157
180    ,180,WM,NULL,300,144
181    ,181,WM,NULL,375,231
182    ,182,WM,NULL,322,270
201    ,201,WM,NULL,441,264
202,202,WM,NULL,236,109
203,203,WM,NULL,304,198
204,204,WM,NULL,138,78
205,205,WM,NULL,233,99
206,206,WM,NULL,358,135
207,207,WM,NULL,252,73
208,208,WM,NULL,527,158
209,209,WM,NULL,400,110
210,210,WM,NULL,495,69
211,211,WM,NULL,287,173
212,212,WM,NULL,149,85
213,213,WM,NULL,466,168
214,214,WM,NULL,350,79
215,215,WM,NULL,443,74
216,216,WM,NULL,398,83
217,217,WM,NULL,214,154
218,218,WM,NULL,249,108
219,219,WM,NULL,322,110
220,220,WM,NULL,224,148
221,221,WM,NULL,280,218
222,222,WM,NULL,568,115
223,223,WM,NULL,285,38
224,224,WM,NULL,136,25
225,225,WM,NULL,378,82
226,226,WM,NULL,187,31
227,227,WM,NULL,416,82
228,228,WM,NULL,333,51
229,229,WM,NULL,343,124
230,230,WM,NULL,191,68
231,231,WM,NULL,313,110
232,232,WM,NULL,284,192
233,233,WM,NULL,314,147
234,234,WM,NULL,357,177
235,235,WM,NULL,182,121
236,236,WM,NULL,125,75
237,237,WM,NULL,180,90
238,238,WM,NULL,212,155
239,239,WM,NULL,362,189
240,240,WM,NULL,382,135
241,241,WM,NULL,236,115
242,242,WM,NULL,227,79
243,243,WM,NULL,325,134
244,244,WM,NULL,393,80
245,245,WM,NULL,166,33
246,246,WM,NULL,279,54
247,247,WM,NULL,255,41
248    ,248,WM,NULL,181,113
249    ,249,WM,NULL,345,151
250    ,250,WM,NULL,528,128
251    ,251,WM,NULL,370,85
252    ,252,WM,NULL,69,5
253    ,253,WM,NULL,250,70
254    ,254,WM,NULL,268,114
255    ,255,WM,NULL,210,83
256    ,256,WM,NULL,400,74
257    ,257,WM,NULL,213,29
258    ,258,WM,NULL,392,41
259    ,259,WM,NULL,205,85
260    ,260,WM,NULL,237,149
261    ,261,WM,NULL,303,101
262    ,262,WM,NULL,322,72
263    ,263,WM,NULL,327,72
264    ,264,WM,NULL,339,146
265    ,265,WM,NULL,262,114
266    ,266,WM,NULL,355,142
267    ,267,WM,NULL,39,7
