Row Label,PrecinctCode,County,Registered Voters,Steve Tharinger,Thomas W. Greisamer
Total,-1,JE,NULL,10268,5008
101 Gardiner,101,JE,NULL,125,61
102 Port Discovery,102,JE,NULL,131,82
103 Crocker,103,JE,NULL,94,75
104 Cape George,104,JE,NULL,382,130
105 Discovery Bay,105,JE,NULL,375,117
106 North Jacob,106,JE,NULL,292,98
107 South Jacob,107,JE,NULL,332,163
200 Coyle,200,JE,NULL,154,87
201 Quilcene,201,JE,NULL,259,253
204 Brinnon,204,JE,NULL,296,346
300 Chimacum I,300,JE,NULL,187,158
301 Chimacum II,301,JE,NULL,113,89
302 Center I,302,JE,NULL,166,114
303 Hadlock,303,JE,NULL,299,174
304 Kala Point,304,JE,NULL,382,196
305 Irondale I,305,JE,NULL,234,120
306 Irondale II,306,JE,NULL,284,186
307 Four Corners,307,JE,NULL,180,124
308 Center II,308,JE,NULL,125,64
401 Nordland,401,JE,NULL,353,179
500 Port Ludlow,500,JE,NULL,264,333
501 Port Ludlow I,501,JE,NULL,334,284
502 Port Ludlow II,502,JE,NULL,223,178
503 Port Ludlow III,503,JE,NULL,201,216
504 Port Ludlow IV,504,JE,NULL,150,121
505 Port Ludlow V,505,JE,NULL,241,196
600 Hoh,600,JE,NULL,19,25
601 Queets,601,JE,NULL,23,17
700 Port Townsend,700,JE,NULL,383,102
701 Port Townsend,701,JE,NULL,206,32
702 Port Townsend,702,JE,NULL,248,37
703 Port Townsend,703,JE,NULL,281,54
704 Port Townsend,704,JE,NULL,219,28
705 Port Townsend,705,JE,NULL,222,76
706 Port Townsend,706,JE,NULL,596,129
707 Port Townsend,707,JE,NULL,513,131
708 Port Townsend,708,JE,NULL,552,95
709 Port Townsend,709,JE,NULL,512,64
710 Port Townsend,710,JE,NULL,318,74
