Row Label,PrecinctCode,County,Registered Voters,Mary Ellen Winborn,Sheila Roark Miller
Total,-1,CM,NULL,14895,9443
PORT ANGELES 101,101,CM,NULL,235,114
PORT ANGELES 102,102,CM,NULL,346,171
PORT ANGELES 103,103,CM,NULL,417,165
PORT ANGELES 104,104,CM,NULL,260,130
PORT ANGELES 105,105,CM,NULL,347,178
PORT ANGELES 106,106,CM,NULL,294,144
PORT ANGELES 107,107,CM,NULL,374,191
PORT ANGELES 108,108,CM,NULL,167,105
PORT ANGELES 109,109,CM,NULL,413,236
PORT ANGELES 110,110,CM,NULL,81,45
PORT ANGELES 111,111,CM,NULL,375,217
PORT ANGELES 112,112,CM,NULL,223,88
PORT ANGELES 113,113,CM,NULL,234,120
AGNEW 201,201,CM,NULL,243,132
BEAVER 204,204,CM,NULL,104,202
BELLEVIEW 205,205,CM,NULL,274,199
BELL HILL 207,207,CM,NULL,250,210
BLACK DIAMOND 208,208,CM,NULL,213,90
BLUE MOUNTAIN 209,209,CM,NULL,346,139
BLUFFS 210,210,CM,NULL,195,63
BLYN 211,211,CM,NULL,216,166
BOGACHIEL 212,212,CM,NULL,57,87
CARLSBORG 214,214,CM,NULL,193,136
CLALLAM BAY 215,215,CM,NULL,128,92
CLARK 216,216,CM,NULL,103,65
CLINE 217,217,CM,NULL,295,164
COYOTE 218,218,CM,NULL,319,199
DEER PARK 220,220,CM,NULL,356,141
DIAMOND POINT 221,221,CM,NULL,256,183
DUNGENESS EAST 222,222,CM,NULL,368,191
DUNGENESS WEST 223,223,CM,NULL,159,89
DRY CREEK 224,224,CM,NULL,246,156
EAGLE 226,226,CM,NULL,196,162
ELK 229,229,CM,NULL,55,61
ELWHA 230,230,CM,NULL,83,53
FAIRVIEW 232,232,CM,NULL,350,153
FRESHWATER BAY 233,233,CM,NULL,354,248
HAPPY VALLEY 237,237,CM,NULL,125,116
JAMESTOWN 240,240,CM,NULL,191,101
JOYCE 241,241,CM,NULL,338,200
LOST MOUNTAIN 245,245,CM,NULL,167,120
MILLER PENINSULA 246,246,CM,NULL,146,94
MACLEAY 247,247,CM,NULL,314,143
MADISON CREEK 248,248,CM,NULL,143,45
MONTERRA 249,249,CM,NULL,278,160
MOUNT ANGELES 250,250,CM,NULL,244,69
MOUNT PLEASANT 251,251,CM,NULL,274,156
NEAH BAY 252,252,CM,NULL,58,112
OBRIEN 253,253,CM,NULL,248,146
OLYMPIC 254,254,CM,NULL,191,134
PORT WILLIAMS 258,258,CM,NULL,138,114
PRAIRIE NORTH 259,259,CM,NULL,248,174
PRAIRIE SOUTH 260,260,CM,NULL,229,178
QUILEUTE 262,262,CM,NULL,67,70
RIVERSIDE 265,265,CM,NULL,212,193
ROBIN HILL 266,266,CM,NULL,217,144
SUN 269,269,CM,NULL,49,92
SUNLAND NORTH 270,270,CM,NULL,306,194
SUNLAND SOUTH 271,271,CM,NULL,171,127
FORKS 301,301,CM,NULL,79,148
FORKS 302,302,CM,NULL,116,190
SEQUIM 401,401,CM,NULL,128,107
SEQUIM 402,402,CM,NULL,112,109
SEQUIM 403,403,CM,NULL,233,180
SEQUIM 404,404,CM,NULL,335,229
SEQUIM 405,405,CM,NULL,203,159
SEQUIM 406,406,CM,NULL,210,154
