Row Label,PrecinctCode,County,Registered Voters,Douglas R. Aubertin
Total,-1,OK,NULL,74
BODIE,4,OK,NULL,12
WAUCONDA,41,OK,NULL,25
TORODA,55,OK,NULL,37
