Row Label,PrecinctCode,County,Registered Voters,Steve Clem
Total,-1,DG,NULL,7556
PRECINCT 101,101,DG,NULL,165
PRECINCT 102,102,DG,NULL,320
PRECINCT 103,103,DG,NULL,67
PRECINCT 104,104,DG,NULL,380
PRECINCT 105,105,DG,NULL,102
PRECINCT 106,106,DG,NULL,138
PRECINCT 107,107,DG,NULL,132
PRECINCT 108,108,DG,NULL,151
PRECINCT 109,109,DG,NULL,112
PRECINCT 110,110,DG,NULL,208
PRECINCT 111,111,DG,NULL,274
PRECINCT 112,112,DG,NULL,159
PRECINCT 113,113,DG,NULL,165
PRECINCT 114,114,DG,NULL,148
PRECINCT 201,201,DG,NULL,171
PRECINCT 202,202,DG,NULL,72
PRECINCT 203,203,DG,NULL,224
PRECINCT 204,204,DG,NULL,229
PRECINCT 205,205,DG,NULL,338
PRECINCT 206,206,DG,NULL,129
PRECINCT 207,207,DG,NULL,269
PRECINCT 208,208,DG,NULL,130
PRECINCT 209,209,DG,NULL,237
PRECINCT 210,210,DG,NULL,82
PRECINCT 211,211,DG,NULL,63
PRECINCT 212,212,DG,NULL,160
PRECINCT 213,213,DG,NULL,137
PRECINCT 214,214,DG,NULL,60
PRECINCT 215,215,DG,NULL,203
PRECINCT 301,301,DG,NULL,309
PRECINCT 302,302,DG,NULL,272
PRECINCT 303,303,DG,NULL,163
PRECINCT 304,304,DG,NULL,48
PRECINCT 305,305,DG,NULL,115
PRECINCT 306,306,DG,NULL,129
PRECINCT 307,307,DG,NULL,43
PRECINCT 308,308,DG,NULL,41
PRECINCT 309,309,DG,NULL,67
PRECINCT 310,310,DG,NULL,92
PRECINCT 311,311,DG,NULL,106
PRECINCT 312,312,DG,NULL,135
PRECINCT 313,313,DG,NULL,49
PRECINCT 314,314,DG,NULL,40
PRECINCT 315,315,DG,NULL,267
PRECINCT 316,316,DG,NULL,229
PRECINCT 317,317,DG,NULL,352
PRECINCT 318,318,DG,NULL,74
