Row Label,PrecinctCode,County,Registered Voters,Kathy A Martin
Total,-1,WL,NULL,13983
Alderbrook 01,1,WL,NULL,179
Alder 02,2,WL,NULL,134
Ash 03,3,WL,NULL,309
Baumeister 04,4,WL,NULL,295
Birch 05,5,WL,NULL,184
Clark 06,6,WL,NULL,138
College 07,7,WL,NULL,189
Edison 08,8,WL,NULL,220
Garfield 09,9,WL,NULL,247
Green Park 10,10,WL,NULL,135
Henderson 11,11,WL,NULL,207
Isaacs 12,12,WL,NULL,151
Jefferson 13,13,WL,NULL,447
Maple 16,16,WL,NULL,406
Marcus 17,17,WL,NULL,536
Monroe 18,18,WL,NULL,493
Paine 20,20,WL,NULL,98
Pine 21,21,WL,NULL,140
Pleasant 22,22,WL,NULL,412
Sharpstein 23,23,WL,NULL,183
Spruce 24,24,WL,NULL,166
Stadium 25,25,WL,NULL,176
Tausick 26,26,WL,NULL,197
Wainwright 28,28,WL,NULL,368
Watertown 29,29,WL,NULL,181
Abbott 31,31,WL,NULL,262
Baker 33,33,WL,NULL,87
Ice Harbor 34,34,WL,NULL,328
Berney 35,35,WL,NULL,208
Blalock 36,36,WL,NULL,366
Braden 37,37,WL,NULL,410
Burbank 38,38,WL,NULL,410
Clyde 39,39,WL,NULL,27
Derry 40,40,WL,NULL,122
Dixie 41,41,WL,NULL,205
Eureka 5 42,42,WL,NULL,46
Eureka 4 43,43,WL,NULL,2
Frenchtown 5 44,44,WL,NULL,165
Frenchtown 4 45,45,WL,NULL,40
Garrison 46,46,WL,NULL,184
Gose 47,47,WL,NULL,94
Lincoln 49,49,WL,NULL,53
Mill Creek 50,50,WL,NULL,201
Moore 51,51,WL,NULL,180
Pros Point 52,52,WL,NULL,749
Ritz 53,53,WL,NULL,437
McNary 54,54,WL,NULL,198
Touchet 4 55,55,WL,NULL,263
Touchet 5 56,56,WL,NULL,5
Twin Grove 57,57,WL,NULL,186
Yellowhawk 58,58,WL,NULL,29
Wallula 59,59,WL,NULL,28
Washington 60,60,WL,NULL,123
CP 1 61,61,WL,NULL,396
CP 2 62,62,WL,NULL,288
CP 3 63,63,WL,NULL,385
Prescott 64,64,WL,NULL,72
Waitsburg 65,65,WL,NULL,386
CP 4 66,66,WL,NULL,451
CP 5 67,67,WL,NULL,347
CP 6 68,68,WL,NULL,59
