Row Label,PrecinctCode,County,Registered Voters,Jaime Herrera Beutler,Bob Dingethal
Total,-1,KT,NULL,5071,2982
ALDER CREEK,1,KT,NULL,126,32
CENTERVILLE,2,KT,NULL,257,65
COLUMBUS,3,KT,NULL,34,4
E KLICKITAT,4,KT,NULL,52,36
F VALLEY,5,KT,NULL,179,209
GLENWOOD,6,KT,NULL,226,72
HUSUM,7,KT,NULL,223,154
LYLE,8,KT,NULL,236,190
MT BROOK,9,KT,NULL,155,160
N DALLES,11,KT,NULL,251,123
N F VALLEY,12,KT,NULL,249,179
PINE FOREST,13,KT,NULL,519,254
ROOSEVELT,14,KT,NULL,54,13
TROUT LAKE,16,KT,NULL,186,185
W KLICKITAT,17,KT,NULL,50,33
WISHRAM,19,KT,NULL,47,42
WOODLAND,20,KT,NULL,594,198
ORCHARD HTS,21,KT,NULL,189,55
APPLETON,22,KT,NULL,85,35
ALDERDALE,23,KT,NULL,31,8
E LYLE,24,KT,NULL,83,71
RIVER,27,KT,NULL,12,11
HGH PRAIRIE,28,KT,NULL,39,37
BINGEN,101,KT,NULL,64,80
GOLDENDALE 1,102,KT,NULL,312,109
GOLDENDALE 2,103,KT,NULL,290,89
GOLDENDALE 3,104,KT,NULL,209,102
WHITE SALMON,109,KT,NULL,202,265
N WHITE SALMON,110,KT,NULL,117,171
