Row Label,PrecinctCode,County,Registered Voters,Melissa McKnight,Laure Grammer
Total,-1,GR,NULL,10949,6231
Airport 1 001,1,GR,NULL,132,95
Beverly 002,2,GR,NULL,20,8
Block 71 003,3,GR,NULL,329,162
Cascade Fairgrnd 004,4,GR,NULL,125,91
Coulee City 005,5,GR,NULL,90,80
Coulee Cty Rur W 006,6,GR,NULL,39,38
Electric City 007,7,GR,NULL,135,121
Ephrata 5 008,8,GR,NULL,153,96
Ephrata 2 009,9,GR,NULL,211,106
Ephrata 3 010,10,GR,NULL,129,82
Ephrata 4 011,11,GR,NULL,254,138
Ephrata 7 012,12,GR,NULL,182,109
Ephrata 9 013,13,GR,NULL,343,146
Ephrata Rural ,14,GR,NULL,174,85
George 015,15,GR,NULL,28,10
George Rural 016,16,GR,NULL,282,170
Gloyd 017,17,GR,NULL,139,108
Grand Coulee 018,18,GR,NULL,127,86
Hartline 019,19,GR,NULL,25,27
Hartline Rural S 020,20,GR,NULL,9,12
Lakeview Park 021,21,GR,NULL,172,85
Longview 022,22,GR,NULL,221,128
Mae 023,23,GR,NULL,465,247
Marlin 024,24,GR,NULL,12,6
Marlin Rural 025,25,GR,NULL,25,11
Mattawa 026,26,GR,NULL,30,11
Mattawa Rural 027,27,GR,NULL,241,154
McConihe 1 028,28,GR,NULL,114,51
Moses Lake 5 029,29,GR,NULL,153,112
Moses Lake 3 030,30,GR,NULL,285,153
Moses Lake 4 031,31,GR,NULL,143,126
Moses Lake 6 032,32,GR,NULL,274,150
Moses Lake 7 033,33,GR,NULL,234,127
Moses Lake 8 034,34,GR,NULL,297,157
Moses Lake 11 035,35,GR,NULL,345,180
Moses Lake 12 036,36,GR,NULL,194,128
North Banks Lake 037,37,GR,NULL,23,35
O Sullivan Dam 1 038,38,GR,NULL,265,150
Quincy 1 039,39,GR,NULL,140,85
Quincy 4 040,40,GR,NULL,84,43
Quincy 6 041,41,GR,NULL,272,132
Quincy Rural N 042,42,GR,NULL,118,69
Royal Camp 043,43,GR,NULL,250,140
Royal City 044,44,GR,NULL,80,28
Ruff 045,45,GR,NULL,32,15
Smyrna 1 046,46,GR,NULL,80,21
Soap Lake 1 047,47,GR,NULL,90,69
Soap Lake Rur E ,48,GR,NULL,60,25
Stratford 049,49,GR,NULL,25,14
Warden 050,50,GR,NULL,118,45
Warden Rural 051,51,GR,NULL,261,91
Soap Lake 2 052,52,GR,NULL,95,70
Westslope 1 053,53,GR,NULL,74,18
Wheeler 1 054,54,GR,NULL,132,76
Wilson Creek 055,55,GR,NULL,29,32
Wilson Crk Rural 056,56,GR,NULL,15,11
Airport 2 057,57,GR,NULL,116,75
Cascade Valley 058,58,GR,NULL,287,194
Westslope 2 059,59,GR,NULL,51,18
Smyrna 2 060,60,GR,NULL,18,7
East Wahluke 061,61,GR,NULL,51,25
Coulee Cty Rur E 062,62,GR,NULL,11,8
McConihe 2 063,63,GR,NULL,88,51
Quincy Rural S 064,64,GR,NULL,298,161
Greenfield 065,65,GR,NULL,45,8
Moses Lake 1 066,66,GR,NULL,133,79
Moses Lake 2 067,67,GR,NULL,146,90
Moses Lake 9  068,68,GR,NULL,200,90
O Sullivan Dam 2 069,69,GR,NULL,374,201
Wheeler 2 070,70,GR,NULL,345,219
Soap Lake Rur W ,71,GR,NULL,200,100
Coulee Cty Rur N 072,72,GR,NULL,28,30
Hartline Rural N 073,73,GR,NULL,14,19
Ephrata Rural E,74,GR,NULL,170,91
