Row Label,PrecinctCode,County,Registered Voters,Vicki Malloy,Garry Arseneault
Total,-1,CH,NULL,9072,9186
100,100,CH,NULL,4,3
110,110,CH,NULL,120,113
111,111,CH,NULL,40,25
112,112,CH,NULL,7,10
113,113,CH,NULL,24,24
114,114,CH,NULL,140,127
115,115,CH,NULL,16,16
116,116,CH,NULL,58,49
120,120,CH,NULL,104,94
121,121,CH,NULL,86,134
122,122,CH,NULL,51,79
123,123,CH,NULL,16,17
124,124,CH,NULL,33,25
125,125,CH,NULL,180,245
126,126,CH,NULL,25,38
127,127,CH,NULL,51,52
128,128,CH,NULL,30,18
129,129,CH,NULL,83,82
131,131,CH,NULL,26,20
132,132,CH,NULL,15,13
133,133,CH,NULL,132,139
134,134,CH,NULL,218,214
135,135,CH,NULL,218,197
136,136,CH,NULL,3,3
140,140,CH,NULL,65,64
141,141,CH,NULL,5,8
142,142,CH,NULL,18,15
143,143,CH,NULL,7,5
144,144,CH,NULL,5,10
145,145,CH,NULL,9,13
146,146,CH,NULL,40,48
147,147,CH,NULL,251,170
148,148,CH,NULL,91,107
149,149,CH,NULL,79,134
150(*),150,CH,NULL,0,0
151(*),151,CH,NULL,0,0
152,152,CH,NULL,3,3
153,153,CH,NULL,295,309
154,154,CH,NULL,250,260
155,155,CH,NULL,99,103
156,156,CH,NULL,33,22
157,157,CH,NULL,215,223
158,158,CH,NULL,102,105
159,159,CH,NULL,6,3
161,161,CH,NULL,11,16
162,162,CH,NULL,19,12
163,163,CH,NULL,11,11
164,164,CH,NULL,96,60
165,165,CH,NULL,55,41
171,171,CH,NULL,3,5
172,172,CH,NULL,9,7
173,173,CH,NULL,9,8
174,174,CH,NULL,148,120
175,175,CH,NULL,216,282
181,181,CH,NULL,169,180
182,182,CH,NULL,168,126
183,183,CH,NULL,84,88
190,190,CH,NULL,28,11
210,210,CH,NULL,140,132
220,220,CH,NULL,165,157
310,310,CH,NULL,109,72
320,320,CH,NULL,111,149
330,330,CH,NULL,134,126
410,410,CH,NULL,176,169
420,420,CH,NULL,160,237
430,430,CH,NULL,194,292
440,440,CH,NULL,249,281
450,450,CH,NULL,271,226
460,460,CH,NULL,232,203
480,480,CH,NULL,256,251
490,490,CH,NULL,346,373
510,510,CH,NULL,152,93
520,520,CH,NULL,295,378
530,530,CH,NULL,248,224
540,540,CH,NULL,198,183
560,560,CH,NULL,249,181
580,580,CH,NULL,138,172
590,590,CH,NULL,193,257
610,610,CH,NULL,170,115
710,710,CH,NULL,144,140
720,720,CH,NULL,155,240
730,730,CH,NULL,260,181
1149,1149,CH,NULL,9,31
1150,1150,CH,NULL,4,2
1151(*),1151,CH,NULL,0,0
