Row Label,PrecinctCode,County,Registered Voters,Tom Dent,Dannette (Dani) Bolyard
Total,-1,KS,NULL,7299,3691
CLE ELUM 1,1,KS,NULL,118,57
CLE ELUM 2,2,KS,NULL,60,39
CLE ELUM 3,3,KS,NULL,32,19
CLE ELUM 4,4,KS,NULL,151,81
DENMARK,5,KS,NULL,321,115
EAST SANDERS,6,KS,NULL,214,109
EASTON,7,KS,NULL,230,95
ELLENSBURG 1,8,KS,NULL,30,12
ELLENSBURG 2,9,KS,NULL,43,21
ELLENSBURG 4,11,KS,NULL,15,19
ELLENSBURG 5,12,KS,NULL,45,25
ELLENSBURG 6,13,KS,NULL,39,16
ELLENSBURG 7,14,KS,NULL,22,20
ELLENSBURG 8,15,KS,NULL,45,28
ELLENSBURG 9,16,KS,NULL,40,32
ELLENSBURG 10,17,KS,NULL,71,37
ELLENSBURG 11,18,KS,NULL,56,58
ELLENSBURG 12,19,KS,NULL,57,37
ELLENSBURG 13,20,KS,NULL,51,37
ELLENSBURG 14,21,KS,NULL,67,40
ELLENSBURG 15,22,KS,NULL,105,39
ELLENSBURG 16,23,KS,NULL,142,79
ELLENSBURG 17,24,KS,NULL,106,62
ELLENSBURG 18,25,KS,NULL,19,12
ELLENSBURG 19,26,KS,NULL,162,96
ELLENSBURG 20,27,KS,NULL,43,26
ELLENSBURG 21,28,KS,NULL,66,38
ELLENSBURG 22,29,KS,NULL,101,60
ELLENSBURG 23,30,KS,NULL,96,95
ELLENSBURG 24,31,KS,NULL,212,129
HYAK,32,KS,NULL,54,31
KITTITAS 1,33,KS,NULL,73,54
MANASTASH,34,KS,NULL,179,67
MOUNTAIN,35,KS,NULL,82,44
NORTH CENTRAL,36,KS,NULL,166,86
NORTH ELLENSBURG,37,KS,NULL,265,140
PARK,38,KS,NULL,246,93
PEOH POINT,39,KS,NULL,220,80
RIDGEWAY,40,KS,NULL,331,132
ROSLYN 1,41,KS,NULL,84,52
ROSLYN 2,42,KS,NULL,63,49
DRY CREEK,43,KS,NULL,259,106
WESTSIDE,44,KS,NULL,259,120
ROSLYN OUTLYING,45,KS,NULL,38,16
SANDERS,46,KS,NULL,96,39
SOUTH CLE ELUM,47,KS,NULL,112,51
SOUTH ELLENSBURG,48,KS,NULL,229,172
SWAUK,50,KS,NULL,125,70
TEANAWAY,51,KS,NULL,200,80
THORP,52,KS,NULL,200,90
VANTAGE,53,KS,NULL,11,15
FAIRVIEW,54,KS,NULL,138,72
NORTHEAST FAIRVIEW,55,KS,NULL,224,106
THRALL,56,KS,NULL,213,83
DAMMAN,58,KS,NULL,218,87
KACHESS,59,KS,NULL,64,28
KITTITAS 2,60,KS,NULL,92,54
ELLENSBURG 25,61,KS,NULL,205,99
RONALD,62,KS,NULL,94,42
