Row Label,PrecinctCode,County,Registered Voters,Dan Roach
Total,-1,PI,NULL,24075
02-110,2110,PI,NULL,223
02-111,2111,PI,NULL,305
02-112,2112,PI,NULL,218
02-113,2113,PI,NULL,254
02-114,2114,PI,NULL,202
02-115,2115,PI,NULL,311
02-116,2116,PI,NULL,414
02-129,2129,PI,NULL,232
02-130,2130,PI,NULL,183
02-136,2136,PI,NULL,71
02-154,2154,PI,NULL,350
25-264,25264,PI,NULL,433
25-265,25265,PI,NULL,400
25-266,25266,PI,NULL,474
25-267,25267,PI,NULL,201
25-268,25268,PI,NULL,207
25-269,25269,PI,NULL,272
25-270,25270,PI,NULL,421
25-271,25271,PI,NULL,399
25-272,25272,PI,NULL,403
25-275,25275,PI,NULL,0
25-276,25276,PI,NULL,12
25-277,25277,PI,NULL,409
25-278,25278,PI,NULL,153
25-279,25279,PI,NULL,343
25-280,25280,PI,NULL,455
25-281,25281,PI,NULL,282
25-282,25282,PI,NULL,420
25-283,25283,PI,NULL,232
25-284,25284,PI,NULL,209
25-285,25285,PI,NULL,550
25-286,25286,PI,NULL,376
25-287,25287,PI,NULL,3
25-288,25288,PI,NULL,437
25-289,25289,PI,NULL,0
31-833,31833,PI,NULL,313
31-834,31834,PI,NULL,272
31-835,31835,PI,NULL,471
31-836,31836,PI,NULL,325
31-837,31837,PI,NULL,245
31-838,31838,PI,NULL,227
31-839,31839,PI,NULL,22
31-840,31840,PI,NULL,147
31-841,31841,PI,NULL,158
31-842,31842,PI,NULL,292
31-843,31843,PI,NULL,225
31-844,31844,PI,NULL,220
31-845,31845,PI,NULL,254
31-846,31846,PI,NULL,129
31-847,31847,PI,NULL,148
31-848,31848,PI,NULL,54
31-849,31849,PI,NULL,117
31-853,31853,PI,NULL,64
31-854,31854,PI,NULL,157
31-855,31855,PI,NULL,201
31-856,31856,PI,NULL,268
31-857,31857,PI,NULL,174
31-861,31861,PI,NULL,89
31-865,31865,PI,NULL,95
31-869,31869,PI,NULL,162
31-875,31875,PI,NULL,409
31-877,31877,PI,NULL,159
31-879,31879,PI,NULL,84
31-880,31880,PI,NULL,122
31-881,31881,PI,NULL,203
31-882,31882,PI,NULL,335
31-883,31883,PI,NULL,430
31-884,31884,PI,NULL,414
31-886,31886,PI,NULL,317
31-887,31887,PI,NULL,265
31-888,31888,PI,NULL,254
31-893,31893,PI,NULL,1
31-894,31894,PI,NULL,49
31-895,31895,PI,NULL,279
31-896,31896,PI,NULL,5
31-897,31897,PI,NULL,173
31-898,31898,PI,NULL,330
31-899,31899,PI,NULL,191
31-900,31900,PI,NULL,222
31-901,31901,PI,NULL,39
31-902,31902,PI,NULL,428
31-903,31903,PI,NULL,5
31-904,31904,PI,NULL,57
31-905,31905,PI,NULL,314
31-906,31906,PI,NULL,174
31-907,31907,PI,NULL,269
31-908,31908,PI,NULL,232
31-909,31909,PI,NULL,254
31-910,31910,PI,NULL,268
31-911,31911,PI,NULL,171
31-912,31912,PI,NULL,219
31-913,31913,PI,NULL,137
31-914,31914,PI,NULL,235
31-915,31915,PI,NULL,62
31-916,31916,PI,NULL,280
31-917,31917,PI,NULL,428
31-919,31919,PI,NULL,286
31-920,31920,PI,NULL,208
31-921,31921,PI,NULL,273
31-923,31923,PI,NULL,226
31-924,31924,PI,NULL,208
31-925,31925,PI,NULL,74
31-926,31926,PI,NULL,10
31-927,31927,PI,NULL,293
