Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,SN,NULL,129981,37739
BOTHELL 31,10141598,SN,NULL,244,40
BOTHELL 32,10141599,SN,NULL,145,45
BOTHELL 33,10141600,SN,NULL,193,46
BOTHELL 34,10141601,SN,NULL,247,42
BOTHELL 35,10141602,SN,NULL,178,39
BOTHELL 36,10141603,SN,NULL,188,51
BOTHELL 37,10141604,SN,NULL,252,70
BOTHELL 38,10141605,SN,NULL,200,48
BOTHELL 39,10141606,SN,NULL,157,42
BOTHELL 40,10141607,SN,NULL,238,57
BOTHELL 41,10141608,SN,NULL,218,68
BOTHELL 42,10141609,SN,NULL,265,58
BOTHELL 43,10141610,SN,NULL,158,41
BOTHELL 44,10141611,SN,NULL,165,47
BOTHELL 45,10141612,SN,NULL,109,26
BOTHELL 46,10141613,SN,NULL,195,51
BOTHELL 47,10141644,SN,NULL,217,48
ELWOOD,10144165,SN,NULL,193,55
RAINIER,10144171,SN,NULL,103,35
GRANNIS,10144266,SN,NULL,194,39
SUNSET,10144271,SN,NULL,270,69
VIEW,10144330,SN,NULL,238,49
WITHERS,10144338,SN,NULL,253,55
CAVALRY,10144370,SN,NULL,213,47
MAPLEWOOD,10144426,SN,NULL,190,43
PARKSHORE,10144479,SN,NULL,157,44
STAFFORD,10144484,SN,NULL,131,31
REDHAWK,10144552,SN,NULL,263,46
VALLEY,10144559,SN,NULL,58,20
GATEWAY,10144581,SN,NULL,212,63
SNOCADE,10144592,SN,NULL,280,69
TOTEM FALLS,10144594,SN,NULL,290,62
WOODSHIRE,10144597,SN,NULL,151,58
SILVER CREEK,10144635,SN,NULL,150,44
KENNARD,10144639,SN,NULL,175,39
GLENBAR,10144646,SN,NULL,138,58
OLDMARK,10144656,SN,NULL,256,85
KINGMAN,10144685,SN,NULL,333,59
CRYSTAL CREEK,10144691,SN,NULL,111,41
TAMBARK,10144715,SN,NULL,198,39
BEAR CREEK,10154009,SN,NULL,162,33
MALTBY,10154026,SN,NULL,195,72
CATHCART,10154032,SN,NULL,139,39
CLEARVIEW,10154062,SN,NULL,253,50
MINOR,10154170,SN,NULL,204,65
BEECHER,10154178,SN,NULL,220,60
WOODLAND,10154273,SN,NULL,97,37
CREEK,10154283,SN,NULL,239,68
PARADISE,10154310,SN,NULL,225,66
TURNER,10154329,SN,NULL,308,71
WELLINGTON,10154333,SN,NULL,272,75
WHEELER,10154334,SN,NULL,182,48
BATTERY,10154369,SN,NULL,136,51
ECHO LAKE,10154372,SN,NULL,237,91
LOST LAKE,10154375,SN,NULL,139,34
BOSTIAN,10154387,SN,NULL,146,43
REES,10154435,SN,NULL,70,29
KOKANEE,10154535,SN,NULL,109,32
POND,10154551,SN,NULL,192,49
WELCH,10154560,SN,NULL,244,59
FALLS,10154579,SN,NULL,24,10
SILER,10154657,SN,NULL,126,33
BOULDER,11014016,SN,NULL,255,92
BRYANT,11014021,SN,NULL,69,32
ARMSTRONG,11014027,SN,NULL,169,40
TRONSON,11014326,SN,NULL,138,43
HENNING,11014647,SN,NULL,267,78
NORTH FORK,11014759,SN,NULL,98,37
GRANITE FALLS 1,13911384,SN,NULL,191,73
GRANITE FALLS 2,13911385,SN,NULL,217,79
DARRINGTON,13911637,SN,NULL,193,77
GRANITE FALLS 3,13911670,SN,NULL,62,39
ARLINGTON 18,13911760,SN,NULL,0,0
NORDEN,13914011,SN,NULL,139,72
TRAFTON,13914015,SN,NULL,130,52
