Row Label,PrecinctCode,County,Registered Voters,Jaime Herrera Beutler,Bob Dingethal
Total,-1,WK,NULL,1062,706
01 - DEEP RIVER,1,WK,NULL,74,38
02 - GRAYS RIVER,2,WK,NULL,68,49
03 - ROSBURG / ALTOONA,3,WK,NULL,95,51
04 - SKAMOKAWA,4,WK,NULL,76,73
05 - ELOCHOMAN,5,WK,NULL,176,78
06 - ROSEDALE,6,WK,NULL,99,42
07 - COLUMBIA,7,WK,NULL,134,96
08 - EAST PUGET ISLAND,8,WK,NULL,86,68
09 - WEST PUGET ISLAND,9,WK,NULL,151,119
10 - SOUTH CATHLAMET,10,WK,NULL,75,58
11 - NORTH CATHLAMET,11,WK,NULL,28,34
