Row Label,PrecinctCode,County,Registered Voters,"Yes, Levy","No, Levy"
Total,-1,AS,NULL,1311,472
CLARKSTON #1,201,AS,NULL,145,45
CLARKSTON #2,202,AS,NULL,189,66
CLARKSTON #3,203,AS,NULL,173,69
CLARKSTON #4,204,AS,NULL,189,81
CLARKSTON #5,205,AS,NULL,140,29
CLARKSTON #6,206,AS,NULL,194,66
CLARKSTON #7,207,AS,NULL,119,48
CLARKSTON #8,208,AS,NULL,162,68
