Row Label,PrecinctCode,County,Registered Voters,Babetta Spinelli,Daniel Dempsey
Total,-1,SK,NULL,13456,16948
ALDER,101,SK,NULL,80,116
ALGER,102,SK,NULL,101,126
ALLEN,103,SK,NULL,57,93
DUNBAR,104,SK,NULL,28,43
AVON,105,SK,NULL,124,187
SAUK,107,SK,NULL,138,200
BAY VIEW,108,SK,NULL,113,199
BELFAST,109,SK,NULL,76,126
BIG LAKE,110,SK,NULL,209,237
BIRDSVIEW,111,SK,NULL,138,212
BOW,113,SK,NULL,178,265
CASCADE,114,SK,NULL,31,36
CEDARDALE,115,SK,NULL,43,72
CLEAR LAKE,116,SK,NULL,129,193
COUNTRY CLUB,117,SK,NULL,61,88
CONWAY,118,SK,NULL,56,78
DEWEY,119,SK,NULL,269,285
DIGBY,120,SK,NULL,11,23
DODGE VALLEY,121,SK,NULL,73,80
EDISON,122,SK,NULL,94,117
FIR,124,SK,NULL,70,78
FRUITDALE,125,SK,NULL,67,97
GEAR,126,SK,NULL,114,235
GUEMES,127,SK,NULL,164,126
HAMBURG,128,SK,NULL,58,83
HARMONY,129,SK,NULL,86,120
LAKE SIXTEEN,130,SK,NULL,64,103
LOOKOUT,132,SK,NULL,209,184
MANSFORD,133,SK,NULL,23,25
MAPES,134,SK,NULL,41,83
MARCH POINT,135,SK,NULL,9,16
MCMURRAY WEST,136,SK,NULL,84,89
MCRAE,137,SK,NULL,201,300
MCMURRAY EAST,138,SK,NULL,35,33
MINKLER,139,SK,NULL,76,152
MONTBORNE,140,SK,NULL,218,231
NOOKACHAMPS,141,SK,NULL,88,118
SKYRIDGE,144,SK,NULL,109,180
PRAIRIE,145,SK,NULL,149,204
POINT WILLIAMS,146,SK,NULL,133,144
RIDGEWAY,147,SK,NULL,111,129
ROCKPORT,148,SK,NULL,147,147
SHELTER BAY,149,SK,NULL,152,225
SNEE OOSH,150,SK,NULL,123,156
STERLING,151,SK,NULL,38,64
SWINOMISH,153,SK,NULL,155,221
TINGLEY,154,SK,NULL,73,102
VAN FLEET,155,SK,NULL,122,189
VEDERE,156,SK,NULL,80,171
WHITNEY,157,SK,NULL,56,96
ROSARIO,158,SK,NULL,214,231
TERRACE,159,SK,NULL,208,340
STARBIRD,160,SK,NULL,92,171
FIDALGO,164,SK,NULL,225,165
GAGES,165,SK,NULL,37,41
SAMISH,166,SK,NULL,94,132
COLLINS,167,SK,NULL,60,130
BLANCHARD(*),168,SK,NULL,0,0
VIEW TERRACE(*),170,SK,NULL,0,0
LAKE CAVANAUGH,171,SK,NULL,44,47
LITTLE MOUNTAIN,172,SK,NULL,51,109
RIVERBEND,173,SK,NULL,6,11
PADILLA,174,SK,NULL,18,59
FREDONIA,176,SK,NULL,29,41
ANACORTES  1,201,SK,NULL,174,113
ANACORTES  4,204,SK,NULL,141,85
ANACORTES 5,205,SK,NULL,4,5
ANACORTES  6,206,SK,NULL,156,146
ANACORTES  7,207,SK,NULL,363,297
ANACORTES  9,209,SK,NULL,146,192
ANACORTES 11,211,SK,NULL,265,205
ANACORTES 17,217,SK,NULL,321,269
ANACORTES 20,220,SK,NULL,261,248
ANACORTES 21,221,SK,NULL,296,344
ANACORTES 22,222,SK,NULL,205,238
ANACORTES 24,224,SK,NULL,358,314
MOUNT VERNON  1,301,SK,NULL,65,71
MOUNT VERNON  2,302,SK,NULL,70,82
MOUNT VERNON  3,303,SK,NULL,132,170
MOUNT VERNON  4,304,SK,NULL,203,269
MOUNT VERNON  5,305,SK,NULL,29,65
MOUNT VERNON  6,306,SK,NULL,147,119
MOUNT VERNON  7,307,SK,NULL,140,227
MOUNT VERNON  8,308,SK,NULL,263,330
MOUNT VERNON  9,309,SK,NULL,76,107
MOUNT VERNON 10,310,SK,NULL,82,102
MOUNT VERNON 11,311,SK,NULL,123,187
MOUNT VERNON 12,312,SK,NULL,66,86
MOUNT VERNON 14,314,SK,NULL,168,271
MOUNT VERNON 15,315,SK,NULL,85,129
MOUNT VERNON 16,316,SK,NULL,163,257
MOUNT VERNON 19,319,SK,NULL,165,232
MOUNT VERNON 21,321,SK,NULL,251,305
MOUNT VERNON 22,322,SK,NULL,239,340
MOUNT VERNON 27,327,SK,NULL,48,61
MOUNT VERNON 30,330,SK,NULL,167,230
SEDRO WOOLLEY  1,401,SK,NULL,145,195
SEDRO WOOLLEY  2,402,SK,NULL,148,210
SEDRO WOOLLEY  3,403,SK,NULL,122,137
SEDRO WOOLLEY  4,404,SK,NULL,138,214
SEDRO WOOLLEY  5,405,SK,NULL,189,268
SEDRO WOOLLEY  6,406,SK,NULL,116,221
SEDRO WOOLLEY  7,407,SK,NULL,4,3
BURLINGTON 1,501,SK,NULL,72,90
BURLINGTON 2,502,SK,NULL,73,122
BURLINGTON 3,503,SK,NULL,52,33
BURLINGTON 4,504,SK,NULL,107,149
BURLINGTON 5,505,SK,NULL,131,203
BURLINGTON 6,506,SK,NULL,81,94
BURLINGTON 7,507,SK,NULL,77,112
CONCRETE,601,SK,NULL,59,81
HAMILTON,701,SK,NULL,16,26
LA CONNER,801,SK,NULL,204,134
LYMAN,855,SK,NULL,40,43
