Row Label,PrecinctCode,County,Registered Voters,Shawn D. Myers
Trailblazer,93,TH,NULL,92
Frye Cove,94,TH,NULL,246
Oyster Bay,95,TH,NULL,252
Summit Lake,96,TH,NULL,184
Delridge,97,TH,NULL,60
Marvin,98,TH,NULL,253
Alpine,99,TH,NULL,376
Hewitt Lake,100,TH,NULL,282
Zangle,101,TH,NULL,210
Boston Harbor,102,TH,NULL,296
Gull Harbor,103,TH,NULL,161
Friendly Grove,104,TH,NULL,124
South Bay,105,TH,NULL,256
Puget,106,TH,NULL,273
Bigelow,107,TH,NULL,210
Pleasant Glade,109,TH,NULL,141
Montgomery,110,TH,NULL,126
Nisqually,111,TH,NULL,193
Roosevelt,112,TH,NULL,265
Kinwood,113,TH,NULL,196
Mckinley,114,TH,NULL,74
Forest,115,TH,NULL,319
St Clair,116,TH,NULL,204
Hicks,117,TH,NULL,39
Fleetwood,118,TH,NULL,303
Lydia Hawk,119,TH,NULL,376
Hays,120,TH,NULL,167
Indian Summer,121,TH,NULL,257
Chambers,122,TH,NULL,370
Freedom,123,TH,NULL,303
Fristoe,124,TH,NULL,154
Deschutes,125,TH,NULL,258
Longmire,126,TH,NULL,155
Ruth Prairie,127,TH,NULL,108
Weir Prairie,128,TH,NULL,216
College,129,TH,NULL,36
Bald Hills,130,TH,NULL,70
Hunter Point,131,TH,NULL,144
Griffin,132,TH,NULL,208
Schneiders Prairie,133,TH,NULL,189
Cooper Point,134,TH,NULL,223
Butler Cove,135,TH,NULL,218
Broadway,136,TH,NULL,302
Plainview,139,TH,NULL,350
Mud Bay,140,TH,NULL,216
Mclane,141,TH,NULL,172
Bush Prairie,143,TH,NULL,58
Black Lake,144,TH,NULL,285
Delphi,145,TH,NULL,219
South Union,146,TH,NULL,285
Plumb,147,TH,NULL,245
Scatter Creek,148,TH,NULL,165
Mcintosh,149,TH,NULL,382
Violet Prairie,150,TH,NULL,260
Littlerock,151,TH,NULL,347
Rochester 1,153,TH,NULL,280
Rochester 2,154,TH,NULL,203
Scott Lake North,155,TH,NULL,100
Grand Mound,156,TH,NULL,100
Gibson Valley,157,TH,NULL,24
Skookumchuck,158,TH,NULL,219
Johnson Point,160,TH,NULL,278
Wards,161,TH,NULL,106
Thompson,162,TH,NULL,148
Smith Lake,163,TH,NULL,227
Evergreen Shores,164,TH,NULL,190
Sunwood Lakes,165,TH,NULL,349
Eaton Creek,166,TH,NULL,135
Hawks Ridge,167,TH,NULL,103
Holmes,168,TH,NULL,197
Mcallister Creek,169,TH,NULL,197
Rochester 3,170,TH,NULL,217
Waddell Creek,171,TH,NULL,186
