Row Label,PrecinctCode,County,Registered Voters,Jean Bremner Booher
Total,-1,FE,NULL,2046
BELCHER,101,FE,NULL,63
BOYDS,102,FE,NULL,87
CURLEW,103,FE,NULL,21
HALL CREEK,104,FE,NULL,72
INCHELIUM,105,FE,NULL,74
KELLER,106,FE,NULL,87
KETTLE RIVER,107,FE,NULL,150
KEWA,108,FE,NULL,84
LAMBERT,109,FE,NULL,53
MALO,110,FE,NULL,110
ORIENT,111,FE,NULL,92
REPUBLIC 1,112,FE,NULL,157
REPUBLIC 2,113,FE,NULL,154
SAN POIL,114,FE,NULL,177
SHERMAN,115,FE,NULL,148
SOUTH LAKE,116,FE,NULL,105
STORM KING,117,FE,NULL,153
TORODA,118,FE,NULL,71
TROUT CREEK,119,FE,NULL,188
