Row Label,PrecinctCode,County,Registered Voters,Richard M. Leland,Timothy D. Trageser
PCT 6005,6005,SP,NULL,237,97
PCT 6006,6006,SP,NULL,258,93
PCT 6007,6007,SP,NULL,221,104
PCT 6008,6008,SP,NULL,221,97
PCT 6009,6009,SP,NULL,221,93
PCT 6010,6010,SP,NULL,44,10
PCT 6011,6011,SP,NULL,221,91
PCT 6012,6012,SP,NULL,155,79
PCT 6013,6013,SP,NULL,188,87
PCT 6014,6014,SP,NULL,118,70
PCT 6015,6015,SP,NULL,134,83
PCT 6016,6016,SP,NULL,173,67
PCT 6017,6017,SP,NULL,371,182
PCT 6018,6018,SP,NULL,380,129
PCT 6019,6019,SP,NULL,329,160
PCT 6020,6020,SP,NULL,389,167
PCT 6021,6021,SP,NULL,227,102
PCT 6022,6022,SP,NULL,270,107
PCT 6023,6023,SP,NULL,143,66
PCT 6024,6024,SP,NULL,165,65
PCT 6025,6025,SP,NULL,200,90
PCT 6026,6026,SP,NULL,384,161
PCT 6027,6027,SP,NULL,238,110
PCT 6028,6028,SP,NULL,207,91
PCT 6029,6029,SP,NULL,235,105
PCT 6030,6030,SP,NULL,336,170
PCT 6031,6031,SP,NULL,208,79
PCT 6032,6032,SP,NULL,160,49
PCT 6033,6033,SP,NULL,368,139
PCT 6034,6034,SP,NULL,290,110
PCT 6035,6035,SP,NULL,151,63
PCT 6036,6036,SP,NULL,154,77
PCT 6037,6037,SP,NULL,138,62
PCT 6100,6100,SP,NULL,148,68
PCT 6101,6101,SP,NULL,209,111
PCT 6102,6102,SP,NULL,231,111
PCT 6103,6103,SP,NULL,94,46
PCT 6104,6104,SP,NULL,161,76
PCT 6105,6105,SP,NULL,199,85
PCT 6106,6106,SP,NULL,299,112
PCT 6107,6107,SP,NULL,152,77
PCT 6108,6108,SP,NULL,190,85
PCT 6109,6109,SP,NULL,151,54
PCT 6200,6200,SP,NULL,262,218
PCT 6201,6201,SP,NULL,196,100
PCT 6202,6202,SP,NULL,259,122
PCT 6203,6203,SP,NULL,267,161
PCT 6204,6204,SP,NULL,321,203
PCT 6205,6205,SP,NULL,252,170
PCT 6206,6206,SP,NULL,246,187
PCT 6207,6207,SP,NULL,361,105
PCT 6208,6208,SP,NULL,282,165
PCT 6209,6209,SP,NULL,213,142
PCT 6210,6210,SP,NULL,347,126
PCT 6211,6211,SP,NULL,201,101
PCT 6212,6212,SP,NULL,163,92
PCT 6213,6213,SP,NULL,272,161
PCT 6214,6214,SP,NULL,223,118
PCT 6215,6215,SP,NULL,260,183
PCT 6216,6216,SP,NULL,249,114
