Row Label,PrecinctCode,County,Registered Voters,Vicki Horton,Roger E Trainor
Total,-1,SP,NULL,93721,39112
PCT 3000,3000,SP,NULL,4,3
PCT 3100,3100,SP,NULL,224,98
PCT 3101,3101,SP,NULL,196,89
PCT 3102,3102,SP,NULL,139,70
PCT 3103,3103,SP,NULL,169,70
PCT 3104,3104,SP,NULL,237,114
PCT 3105,3105,SP,NULL,202,96
PCT 3106,3106,SP,NULL,224,94
PCT 3107,3107,SP,NULL,249,94
PCT 3108,3108,SP,NULL,200,53
PCT 3109,3109,SP,NULL,215,85
PCT 3110,3110,SP,NULL,176,85
PCT 3111,3111,SP,NULL,186,81
PCT 3112,3112,SP,NULL,16,3
PCT 3113,3113,SP,NULL,266,113
PCT 3114,3114,SP,NULL,251,109
PCT 3115,3115,SP,NULL,252,103
PCT 3116,3116,SP,NULL,237,137
PCT 3117,3117,SP,NULL,170,79
PCT 3118,3118,SP,NULL,162,75
PCT 3119,3119,SP,NULL,201,95
PCT 3120,3120,SP,NULL,251,79
PCT 3121,3121,SP,NULL,221,100
PCT 3122,3122,SP,NULL,290,113
PCT 3123,3123,SP,NULL,218,95
PCT 3124,3124,SP,NULL,228,105
PCT 3125,3125,SP,NULL,226,87
PCT 3126,3126,SP,NULL,43,28
PCT 3127,3127,SP,NULL,216,60
PCT 3128,3128,SP,NULL,229,78
PCT 3200,3200,SP,NULL,209,59
PCT 3201,3201,SP,NULL,300,91
PCT 3202,3202,SP,NULL,169,62
PCT 3203,3203,SP,NULL,231,96
PCT 3204,3204,SP,NULL,198,76
PCT 3205,3205,SP,NULL,252,66
PCT 3206,3206,SP,NULL,215,59
PCT 3207,3207,SP,NULL,143,43
PCT 3208,3208,SP,NULL,278,105
PCT 3209,3209,SP,NULL,340,126
PCT 3210,3210,SP,NULL,280,67
PCT 3211,3211,SP,NULL,258,69
PCT 3212,3212,SP,NULL,250,62
PCT 3213,3213,SP,NULL,327,95
PCT 3214,3214,SP,NULL,320,96
PCT 3215,3215,SP,NULL,186,62
PCT 3216,3216,SP,NULL,406,128
PCT 3217,3217,SP,NULL,385,137
PCT 3218,3218,SP,NULL,365,104
PCT 3219,3219,SP,NULL,327,67
PCT 3220,3220,SP,NULL,379,104
PCT 3221,3221,SP,NULL,329,126
PCT 3222,3222,SP,NULL,137,36
PCT 3223,3223,SP,NULL,172,71
PCT 3300,3300,SP,NULL,293,110
PCT 3301,3301,SP,NULL,461,148
PCT 3302,3302,SP,NULL,308,115
PCT 3303,3303,SP,NULL,292,118
PCT 3304,3304,SP,NULL,295,121
PCT 3305,3305,SP,NULL,244,97
PCT 3306,3306,SP,NULL,309,129
PCT 3307,3307,SP,NULL,215,76
PCT 3308,3308,SP,NULL,278,139
PCT 3309,3309,SP,NULL,267,118
PCT 3310,3310,SP,NULL,267,150
PCT 3311,3311,SP,NULL,183,93
PCT 3312,3312,SP,NULL,374,135
PCT 3313,3313,SP,NULL,396,167
PCT 3314,3314,SP,NULL,258,95
PCT 3315,3315,SP,NULL,318,135
PCT 3316,3316,SP,NULL,363,127
PCT 3317,3317,SP,NULL,399,176
PCT 3318,3318,SP,NULL,275,101
PCT 3319,3319,SP,NULL,254,108
PCT 3320,3320,SP,NULL,221,85
PCT 3321,3321,SP,NULL,309,125
PCT 3322,3322,SP,NULL,233,89
PCT 3323,3323,SP,NULL,276,121
PCT 3324,3324,SP,NULL,271,112
PCT 3325,3325,SP,NULL,351,121
PCT 3326,3326,SP,NULL,107,47
PCT 3327,3327,SP,NULL,202,67
PCT 3328,3328,SP,NULL,260,113
PCT 3329,3329,SP,NULL,220,77
PCT 4001,4001,SP,NULL,225,114
PCT 4002,4002,SP,NULL,297,162
PCT 4003,4003,SP,NULL,409,248
PCT 4004,4004,SP,NULL,319,208
PCT 4005,4005,SP,NULL,282,128
PCT 4006,4006,SP,NULL,390,195
PCT 4007,4007,SP,NULL,208,118
PCT 4008,4008,SP,NULL,228,114
PCT 4009,4009,SP,NULL,278,175
PCT 4010,4010,SP,NULL,256,163
PCT 4011,4011,SP,NULL,417,213
PCT 4012,4012,SP,NULL,450,250
PCT 4013,4013,SP,NULL,253,150
PCT 4014,4014,SP,NULL,207,87
PCT 4015,4015,SP,NULL,233,99
PCT 4016,4016,SP,NULL,327,133
PCT 4017,4017,SP,NULL,352,191
PCT 4018,4018,SP,NULL,203,113
PCT 4019,4019,SP,NULL,226,116
PCT 4020,4020,SP,NULL,317,191
PCT 4021,4021,SP,NULL,260,215
PCT 4022,4022,SP,NULL,239,159
PCT 4023,4023,SP,NULL,106,66
PCT 4024,4024,SP,NULL,220,105
PCT 4025,4025,SP,NULL,296,119
PCT 4026,4026,SP,NULL,248,131
PCT 4027,4027,SP,NULL,260,138
PCT 4028,4028,SP,NULL,404,186
PCT 4029,4029,SP,NULL,300,152
PCT 4030,4030,SP,NULL,238,87
PCT 4031,4031,SP,NULL,276,100
PCT 4032,4032,SP,NULL,183,113
PCT 4033,4033,SP,NULL,234,107
PCT 4034,4034,SP,NULL,220,126
PCT 4035,4035,SP,NULL,196,115
PCT 4200,4200,SP,NULL,240,105
PCT 4201,4201,SP,NULL,146,52
PCT 4300,4300,SP,NULL,247,116
PCT 4301,4301,SP,NULL,157,73
PCT 4302,4302,SP,NULL,299,137
PCT 4303,4303,SP,NULL,333,119
PCT 4304,4304,SP,NULL,213,75
PCT 4305,4305,SP,NULL,203,81
PCT 4306,4306,SP,NULL,290,182
PCT 4307,4307,SP,NULL,58,24
PCT 4400,4400,SP,NULL,284,127
PCT 4401,4401,SP,NULL,351,139
PCT 4402,4402,SP,NULL,290,133
PCT 4403,4403,SP,NULL,361,114
PCT 4404,4404,SP,NULL,329,166
PCT 4405,4405,SP,NULL,295,183
PCT 4406,4406,SP,NULL,291,113
PCT 4407,4407,SP,NULL,314,147
PCT 4408,4408,SP,NULL,405,187
PCT 4409,4409,SP,NULL,431,214
PCT 4410,4410,SP,NULL,358,160
PCT 4411,4411,SP,NULL,345,130
PCT 4412,4412,SP,NULL,251,96
PCT 4413,4413,SP,NULL,286,145
PCT 4414,4414,SP,NULL,364,169
PCT 4415,4415,SP,NULL,265,118
PCT 4416,4416,SP,NULL,280,157
PCT 4417,4417,SP,NULL,190,83
PCT 4418,4418,SP,NULL,302,138
PCT 4419,4419,SP,NULL,321,145
PCT 4420,4420,SP,NULL,124,67
PCT 4421,4421,SP,NULL,225,111
PCT 4422,4422,SP,NULL,328,130
PCT 4423,4423,SP,NULL,452,160
PCT 4424,4424,SP,NULL,290,142
PCT 4425,4425,SP,NULL,237,101
PCT 4426,4426,SP,NULL,159,99
PCT 4427,4427,SP,NULL,393,175
PCT 4428,4428,SP,NULL,189,141
PCT 4429,4429,SP,NULL,321,183
PCT 4430,4430,SP,NULL,358,134
PCT 4431,4431,SP,NULL,247,118
PCT 4432,4432,SP,NULL,293,171
PCT 4433,4433,SP,NULL,203,113
PCT 4434,4434,SP,NULL,448,208
PCT 4435,4435,SP,NULL,349,152
PCT 4436,4436,SP,NULL,428,207
PCT 4437,4437,SP,NULL,368,149
PCT 4438,4438,SP,NULL,405,204
PCT 4439,4439,SP,NULL,310,139
