Row Label,PrecinctCode,County,Registered Voters,Hans Dunshee,Rob Toyer
Total,-1,SN,NULL,22681,21068
SUNNYSIDE,14414044,SN,NULL,39,65
RAILROAD,14414318,SN,NULL,87,131
CASSIDY,14414522,SN,NULL,121,176
MILL CREEK  1,14441301,SN,NULL,222,174
MILL CREEK  2,14441302,SN,NULL,127,155
MILL CREEK  3,14441303,SN,NULL,121,90
MILL CREEK  4,14441304,SN,NULL,136,122
MILL CREEK  5,14441353,SN,NULL,230,211
MILL CREEK  6,14441354,SN,NULL,185,224
MILL CREEK  7,14441367,SN,NULL,13,12
MILL CREEK  8,14441376,SN,NULL,224,177
MILL CREEK  9,14441377,SN,NULL,194,135
MILL CREEK 10,14441472,SN,NULL,145,98
MILL CREEK 11,14441473,SN,NULL,121,126
MILL CREEK 12,14441495,SN,NULL,124,167
MILL CREEK 13,14441505,SN,NULL,146,130
MILL CREEK 14,14441629,SN,NULL,7,5
MILL CREEK 15,14441640,SN,NULL,173,157
MILL CREEK 16,14441652,SN,NULL,122,97
MILL CREEK 17,14441665,SN,NULL,189,136
MILL CREEK 18,14441666,SN,NULL,169,113
MILL CREEK 19,14441667,SN,NULL,219,190
MILL CREEK 20,14441668,SN,NULL,129,131
MILL CREEK 21,14441702,SN,NULL,106,59
MILL CREEK 22,14441703,SN,NULL,118,84
FERNWOOD,14444006,SN,NULL,154,128
BROOK,14444278,SN,NULL,231,152
HILL,14444293,SN,NULL,137,123
LARIMER,14444298,SN,NULL,138,144
MISTY,14444305,SN,NULL,171,160
OAKS,14444308,SN,NULL,178,177
PUGET PARK,14444317,SN,NULL,158,112
KENWOOD,14444348,SN,NULL,168,110
OLYMPUS,14444357,SN,NULL,136,116
SEATTLE HILL,14444361,SN,NULL,129,133
MERWIN,14444547,SN,NULL,94,125
CREEKSIDE,14444575,SN,NULL,142,91
DOUGLAS FIRS,14444576,SN,NULL,142,118
GRAND FIRS,14444582,SN,NULL,216,199
KATTENHORN,14444584,SN,NULL,251,199
SILVER FIRS,14444590,SN,NULL,226,155
TUCKER,14444595,SN,NULL,196,131
SPRUCE,14444658,SN,NULL,88,100
THOMAS CREEK,14444659,SN,NULL,158,125
WINDROSE,14444660,SN,NULL,236,160
STRAWBERRY,14444684,SN,NULL,181,140
DOGWOOD,14444693,SN,NULL,153,103
SNOHOMISH  1,14451014,SN,NULL,188,169
SNOHOMISH  3,14451038,SN,NULL,185,110
SNOHOMISH  5,14451056,SN,NULL,243,178
LAKE STEVENS  1,14451134,SN,NULL,194,215
LAKE STEVENS  2,14451135,SN,NULL,144,153
SNOHOMISH  7,14451144,SN,NULL,186,132
SNOHOMISH  8,14451145,SN,NULL,218,195
LAKE STEVENS  3,14451349,SN,NULL,199,188
LAKE STEVENS  4,14451418,SN,NULL,143,133
SNOHOMISH  2,14451436,SN,NULL,133,111
SNOHOMISH  4,14451437,SN,NULL,160,137
SNOHOMISH  6,14451438,SN,NULL,112,124
LAKE STEVENS  6,14451503,SN,NULL,157,165
SNOHOMISH  9,14451508,SN,NULL,99,99
LAKE STEVENS  7,14451536,SN,NULL,175,195
LAKE STEVENS  5,14451625,SN,NULL,124,131
LAKE STEVENS  8,14451649,SN,NULL,132,166
LAKE STEVENS  9,14451663,SN,NULL,129,117
LAKE STEVENS 10,14451664,SN,NULL,140,171
LAKE STEVENS 11,14451671,SN,NULL,109,86
LAKE STEVENS 12,14451672,SN,NULL,137,103
LAKE STEVENS 13,14451673,SN,NULL,156,121
LAKE STEVENS 14,14451674,SN,NULL,125,153
LAKE STEVENS 15,14451675,SN,NULL,211,172
SNOHOMISH 10,14451709,SN,NULL,54,91
LAKE STEVENS 16,14451716,SN,NULL,105,118
LAKE STEVENS 17,14451717,SN,NULL,144,166
LAKE STEVENS 18,14451718,SN,NULL,129,144
LAKE STEVENS 19,14451719,SN,NULL,138,189
LAKE STEVENS 20,14451720,SN,NULL,149,142
LAKE STEVENS 21,14451721,SN,NULL,187,186
LAKE STEVENS 22,14451722,SN,NULL,146,99
LAKE STEVENS 23,14451723,SN,NULL,96,125
LAKE STEVENS 24,14451724,SN,NULL,123,101
LAKE STEVENS 25,14451725,SN,NULL,44,56
LAKE STEVENS 26,14451726,SN,NULL,85,74
LAKE STEVENS 27,14451727,SN,NULL,84,73
LAKE STEVENS 28,14451757,SN,NULL,156,132
MARSH,14454012,SN,NULL,175,200
SOUTH SNOHOMISH,14454017,SN,NULL,126,133
WELANGDON,14454018,SN,NULL,6,14
LUDWIG,14454024,SN,NULL,132,149
SEXTON,14454029,SN,NULL,198,195
MACHIAS,14454045,SN,NULL,209,255
MARION,14454046,SN,NULL,127,135
RIVERVIEW,14454052,SN,NULL,182,160
SOUTH LAKE STEVENS,14454059,SN,NULL,159,167
FIR,14454066,SN,NULL,155,144
GLENWOOD,14454067,SN,NULL,100,114
TRAIL,14454072,SN,NULL,73,86
BERKSHIRE,14454075,SN,NULL,222,191
HAINES,14454291,SN,NULL,154,186
