Row Label,PrecinctCode,County,Registered Voters,John Olson,CJ Wolfe
Total,-1,ST,NULL,8486,6905
ADDY,1,ST,NULL,207,179
CAMAS,3,ST,NULL,214,97
CAMAS PRAIRIE,4,ST,NULL,119,78
COLUMBIA,5,ST,NULL,243,216
COLVILLE VALLEY,6,ST,NULL,253,351
DAISY,7,ST,NULL,97,79
ECHO,8,ST,NULL,207,185
EVANS,9,ST,NULL,98,112
HUNTERS,10,ST,NULL,211,137
KELLY HILL,11,ST,NULL,41,71
LOON LAKE 1,12,ST,NULL,261,157
LOON LAKE 2,13,ST,NULL,145,86
MILL CREEK,14,ST,NULL,68,92
NARCISSE,15,ST,NULL,220,236
ONION CREEK,16,ST,NULL,55,73
RICE,19,ST,NULL,89,99
ROCK CUT,20,ST,NULL,34,37
SUMMIT,21,ST,NULL,142,94
FIRST THOUGHT,22,ST,NULL,34,20
WELLPINIT,24,ST,NULL,70,62
WILLIAMS VALLEY,25,ST,NULL,289,142
TUM TUM 1,26,ST,NULL,134,75
TUM TUM 2,27,ST,NULL,268,128
WALKERS PRAIRIE,28,ST,NULL,129,103
STONE LODGE,29,ST,NULL,236,94
TUM TUM 3,39,ST,NULL,353,118
TUM TUM 4,40,ST,NULL,191,89
TUM TUM 5,41,ST,NULL,235,85
MEYERS FALLS 1,42,ST,NULL,120,180
MEYERS FALLS 2,43,ST,NULL,228,247
QUARTZITE 1,44,ST,NULL,314,215
QUARTZITE 2,45,ST,NULL,141,126
VALLEY 1,46,ST,NULL,32,25
VALLEY 2,47,ST,NULL,114,94
ARDEN 1,48,ST,NULL,124,205
ARDEN 2,49,ST,NULL,179,190
CLAYTON 1,50,ST,NULL,147,73
CLAYTON 2,51,ST,NULL,242,130
ORIN 1,52,ST,NULL,143,125
ORIN 2,53,ST,NULL,151,184
WAITTS LAKE,54,ST,NULL,209,125
ECHO VALLEY,55,ST,NULL,115,104
CHEWELAH 1,101,ST,NULL,155,110
CHEWELAH 2,102,ST,NULL,68,60
CHEWELAH 3,103,ST,NULL,113,91
CHEWELAH FORE,104,ST,NULL,88,63
COLVILLE 1,105,ST,NULL,79,59
COLVILLE 2,106,ST,NULL,69,112
COLVILLE 3,107,ST,NULL,96,98
COLVILLE 4,108,ST,NULL,170,226
COLVILLE 5,109,ST,NULL,153,177
COLVILLE 6,110,ST,NULL,94,111
COLVILLE 7,111,ST,NULL,101,108
KETTLE FALLS 1,114,ST,NULL,173,158
KETTLE FALLS 2,115,ST,NULL,88,116
MARCUS,116,ST,NULL,35,32
NORTHPORT,117,ST,NULL,57,44
SPRINGDALE,118,ST,NULL,45,22
