Row Label,PrecinctCode,County,Registered Voters,Staci Myklebust
Total,-1,CZ,NULL,20213
Alabama,1,CZ,NULL,223
Ammons,2,CZ,NULL,222
Arkansas,3,CZ,NULL,138
Bakers,4,CZ,NULL,14
Baltimore,5,CZ,NULL,340
Beacon,6,CZ,NULL,430
Boondox,7,CZ,NULL,10
Brynion,8,CZ,NULL,249
Burcham,9,CZ,NULL,553
Caples,10,CZ,NULL,101
Carrolls,11,CZ,NULL,300
Castle Rock,12,CZ,NULL,418
Chinook,13,CZ,NULL,345
Cloverdale,14,CZ,NULL,239
Coal Creek,15,CZ,NULL,404
Columbia Heights,16,CZ,NULL,184
Columbia Valley Gdns,17,CZ,NULL,230
Crawford,18,CZ,NULL,310
Delameter,19,CZ,NULL,272
Douglas,20,CZ,NULL,249
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,285
Haussler,23,CZ,NULL,214
Hillcrest,24,CZ,NULL,532
Hudson,25,CZ,NULL,372
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,255
Kalama South,28,CZ,NULL,342
Kessler,29,CZ,NULL,411
Lake,30,CZ,NULL,302
Laurel,31,CZ,NULL,395
Lewis River,32,CZ,NULL,362
Lexington,33,CZ,NULL,306
Lone Oak,34,CZ,NULL,177
Magnolia,35,CZ,NULL,511
Marigold,36,CZ,NULL,448
McGowan,37,CZ,NULL,65
Memorial,38,CZ,NULL,223
Mill,39,CZ,NULL,412
Mint Valley,40,CZ,NULL,494
Modrow,41,CZ,NULL,258
Mt. Solo,42,CZ,NULL,96
Nevada,43,CZ,NULL,288
Ocean Beach,44,CZ,NULL,298
Olson,45,CZ,NULL,207
Ostrander,46,CZ,NULL,333
Owl Creek,47,CZ,NULL,415
Pacific,48,CZ,NULL,366
Ponderosa,49,CZ,NULL,278
Powell,50,CZ,NULL,301
Redpath,51,CZ,NULL,258
Ridgecrest,52,CZ,NULL,21
Robbins,53,CZ,NULL,433
Rose Valley,54,CZ,NULL,201
Ryderwood,55,CZ,NULL,139
Sacajawea,56,CZ,NULL,620
Sandy Bend,57,CZ,NULL,297
Silver Lake,58,CZ,NULL,489
Sparks,59,CZ,NULL,195
St. Helens,60,CZ,NULL,162
Stella,61,CZ,NULL,284
Toutle,62,CZ,NULL,377
Tower,63,CZ,NULL,473
Tunstall,64,CZ,NULL,115
View,65,CZ,NULL,220
West Kelso,66,CZ,NULL,92
Willow Grove,67,CZ,NULL,103
Windemere,68,CZ,NULL,461
Woodage,69,CZ,NULL,194
Woodland North,70,CZ,NULL,366
Woodland South,71,CZ,NULL,316
Yale,72,CZ,NULL,217
