Row Label,PrecinctCode,County,Registered Voters,Dawn Morrell,Melanie Stambaugh
Total,-1,PI,NULL,16819,20384
25-201,25201,PI,NULL,336,337
25-202,25202,PI,NULL,234,287
25-203,25203,PI,NULL,320,321
25-204,25204,PI,NULL,287,256
25-205,25205,PI,NULL,287,281
25-206,25206,PI,NULL,212,150
25-208,25208,PI,NULL,335,375
25-209,25209,PI,NULL,320,316
25-210,25210,PI,NULL,341,437
25-211,25211,PI,NULL,264,279
25-212,25212,PI,NULL,273,330
25-213,25213,PI,NULL,307,386
25-215,25215,PI,NULL,309,282
25-216,25216,PI,NULL,179,211
25-217,25217,PI,NULL,279,374
25-218,25218,PI,NULL,289,345
25-219,25219,PI,NULL,217,477
25-220(*),25220,PI,NULL,0,0
25-221,25221,PI,NULL,236,344
25-222,25222,PI,NULL,218,187
25-226,25226,PI,NULL,173,212
25-227,25227,PI,NULL,167,130
25-228,25228,PI,NULL,292,221
25-230,25230,PI,NULL,88,55
25-235,25235,PI,NULL,7,12
25-236,25236,PI,NULL,207,205
25-237(*),25237,PI,NULL,0,0
25-238,25238,PI,NULL,172,138
25-239,25239,PI,NULL,270,340
25-240,25240,PI,NULL,121,119
25-241,25241,PI,NULL,154,114
25-242,25242,PI,NULL,274,375
25-243,25243,PI,NULL,270,200
25-244,25244,PI,NULL,342,368
25-245(*),25245,PI,NULL,0,0
25-246,25246,PI,NULL,32,19
25-247,25247,PI,NULL,267,231
25-248,25248,PI,NULL,332,378
25-249,25249,PI,NULL,276,321
25-250,25250,PI,NULL,102,140
25-251,25251,PI,NULL,236,291
25-252,25252,PI,NULL,232,249
25-253,25253,PI,NULL,183,186
25-254,25254,PI,NULL,176,127
25-255,25255,PI,NULL,184,170
25-256,25256,PI,NULL,254,257
25-257,25257,PI,NULL,250,279
25-258,25258,PI,NULL,304,330
25-259,25259,PI,NULL,277,304
25-260,25260,PI,NULL,273,332
25-261,25261,PI,NULL,180,240
25-262,25262,PI,NULL,240,342
25-263,25263,PI,NULL,193,314
25-264,25264,PI,NULL,256,345
25-265,25265,PI,NULL,283,290
25-266,25266,PI,NULL,249,419
25-267,25267,PI,NULL,113,171
25-268,25268,PI,NULL,124,177
25-269,25269,PI,NULL,145,247
25-270,25270,PI,NULL,225,348
25-271,25271,PI,NULL,229,333
25-272,25272,PI,NULL,258,357
25-273,25273,PI,NULL,160,249
25-274,25274,PI,NULL,278,438
25-275(*),25275,PI,NULL,0,0
25-276,25276,PI,NULL,15,4
25-277,25277,PI,NULL,234,333
25-278,25278,PI,NULL,86,122
25-279,25279,PI,NULL,196,288
25-280,25280,PI,NULL,253,375
25-281,25281,PI,NULL,158,231
25-282,25282,PI,NULL,222,360
25-283,25283,PI,NULL,136,166
25-284,25284,PI,NULL,103,188
25-285,25285,PI,NULL,256,500
25-286,25286,PI,NULL,229,320
25-287,25287,PI,NULL,3,3
25-288,25288,PI,NULL,200,372
25-289,25289,PI,NULL,0,0
25-290,25290,PI,NULL,26,32
25-291,25291,PI,NULL,56,76
25-292,25292,PI,NULL,280,350
25-293,25293,PI,NULL,272,309
