Row Label,PrecinctCode,County,Registered Voters,Graham Hunt,Greg Hartman
Total,-1,PI,NULL,14518,7543
02-101,2101,PI,NULL,89,82
02-105,2105,PI,NULL,126,73
02-106,2106,PI,NULL,356,203
02-110,2110,PI,NULL,191,98
02-111,2111,PI,NULL,275,138
02-112,2112,PI,NULL,199,113
02-113,2113,PI,NULL,208,120
02-114,2114,PI,NULL,189,94
02-115,2115,PI,NULL,236,173
02-116,2116,PI,NULL,339,193
02-117,2117,PI,NULL,315,178
02-118,2118,PI,NULL,192,124
02-119,2119,PI,NULL,174,118
02-120,2120,PI,NULL,226,163
02-121,2121,PI,NULL,308,174
02-122,2122,PI,NULL,252,230
02-123,2123,PI,NULL,359,146
02-124,2124,PI,NULL,241,151
02-125,2125,PI,NULL,233,154
02-126,2126,PI,NULL,328,179
02-127,2127,PI,NULL,190,83
02-128,2128,PI,NULL,297,192
02-129,2129,PI,NULL,193,104
02-130,2130,PI,NULL,144,112
02-131,2131,PI,NULL,347,224
02-133,2133,PI,NULL,67,61
02-134,2134,PI,NULL,365,199
02-135,2135,PI,NULL,424,156
02-136,2136,PI,NULL,69,31
02-137,2137,PI,NULL,209,79
02-138,2138,PI,NULL,440,192
02-139,2139,PI,NULL,358,134
02-140,2140,PI,NULL,410,155
02-141,2141,PI,NULL,396,163
02-142,2142,PI,NULL,273,149
02-143,2143,PI,NULL,250,135
02-144,2144,PI,NULL,314,161
02-145,2145,PI,NULL,361,162
02-146,2146,PI,NULL,253,150
02-147,2147,PI,NULL,279,125
02-148,2148,PI,NULL,386,166
02-149,2149,PI,NULL,381,214
02-150,2150,PI,NULL,309,144
02-151,2151,PI,NULL,117,63
02-152,2152,PI,NULL,437,154
02-153,2153,PI,NULL,334,128
02-154,2154,PI,NULL,332,112
02-155,2155,PI,NULL,361,179
02-156,2156,PI,NULL,469,208
02-157,2157,PI,NULL,433,209
02-158,2158,PI,NULL,272,190
02-159,2159,PI,NULL,212,105
