Row Label,PrecinctCode,County,Registered Voters,Laurie Thomas
Total,-1,OK,NULL,8853
ALMA,1,OK,NULL,41
ANGLIN,2,OK,NULL,63
BEEMAN,3,OK,NULL,59
BODIE,4,OK,NULL,17
BONAPARTE,5,OK,NULL,30
BOSTON,6,OK,NULL,60
BREWSTER RURAL,7,OK,NULL,49
CARLTON,8,OK,NULL,30
CHESAW,9,OK,NULL,37
CONCONULLY RURAL,10,OK,NULL,38
DUCK LAKE,11,OK,NULL,22
DULEY LAKE,12,OK,NULL,21
EASTLAKE,13,OK,NULL,24
EASTSIDE,14,OK,NULL,72
ELLISFORDE,15,OK,NULL,53
ELMERTON,16,OK,NULL,81
ELMWAY,17,OK,NULL,39
HAVILLAH,18,OK,NULL,61
LOOMIS,19,OK,NULL,53
MALOTT,20,OK,NULL,70
MAZAMA,21,OK,NULL,67
METHOW,22,OK,NULL,62
MISSION,23,OK,NULL,26
MOLSON,24,OK,NULL,58
MONSE #1,25,OK,NULL,55
NESPELEM RURAL,27,OK,NULL,20
NIGHTHAWK,28,OK,NULL,17
NORTH OMAK,29,OK,NULL,28
PATEROS RURAL,30,OK,NULL,42
PINE CREEK,31,OK,NULL,41
POGUE,32,OK,NULL,69
RIVERSIDE RURAL,33,OK,NULL,86
SAN POIL,34,OK,NULL,65
SOUTH OROVILLE,35,OK,NULL,54
SPRING COULEE,36,OK,NULL,53
TONASKET RURAL,37,OK,NULL,27
TUNK CREEK,38,OK,NULL,73
TWISP RURAL,39,OK,NULL,43
WOLF CREEK,40,OK,NULL,50
WAUCONDA,41,OK,NULL,39
WESTLAKE,42,OK,NULL,30
WHITESTONE,43,OK,NULL,31
WINTHROP RURAL,44,OK,NULL,65
CHILIWIST,45,OK,NULL,48
MONSE #3,46,OK,NULL,35
OKANOGAN RURAL,47,OK,NULL,31
AENEAS,48,OK,NULL,37
COLUMBIA,49,OK,NULL,18
CRUMBACHER,50,OK,NULL,62
DISAUTEL,51,OK,NULL,19
HUDSON,52,OK,NULL,24
KIPLING,53,OK,NULL,30
ORCHARD,54,OK,NULL,28
TORODA,55,OK,NULL,51
BEAVER CREEK,56,OK,NULL,30
BLACK CANYON,57,OK,NULL,34
BUFFALO LAKE,58,OK,NULL,20
COPPLE,59,OK,NULL,54
EDELWEISS,60,OK,NULL,52
ENGH,61,OK,NULL,60
FINLEY CANYON,62,OK,NULL,62
JANIS,63,OK,NULL,32
LEESE,64,OK,NULL,19
LIBBY CREEK,65,OK,NULL,57
MCGINNIS LAKE,66,OK,NULL,12
NORTH STAR,67,OK,NULL,13
OWHI,68,OK,NULL,25
PALMER LAKE,69,OK,NULL,45
PINE CONE,70,OK,NULL,30
POORMAN CREEK,71,OK,NULL,75
SAND FLAT,72,OK,NULL,62
SOURDOUGH,74,OK,NULL,56
TWIN LAKES,75,OK,NULL,65
VALLEY,76,OK,NULL,38
WANNACUT,77,OK,NULL,59
WEST CHEWUCH,78,OK,NULL,48
CANAL,79,OK,NULL,36
AIRPORT,81,OK,NULL,52
BALKY HILL,82,OK,NULL,34
BRIDGE CREEK,83,OK,NULL,31
CROSSROADS,84,OK,NULL,34
DAVIS LAKE,85,OK,NULL,44
GREENACRES,86,OK,NULL,30
JOHNSON CREEK,87,OK,NULL,44
LEWIS BUTTE,88,OK,NULL,62
LIME BELT,89,OK,NULL,22
MCCLURE MTN,90,OK,NULL,57
MOCCASIN LAKE,91,OK,NULL,52
NORTH MALOTT,92,OK,NULL,57
PATTERSON LAKE,93,OK,NULL,61
PEARRYGIN LAKE,94,OK,NULL,35
BOUNDARY,95,OK,NULL,44
BUCKHORN MTN,96,OK,NULL,44
EDER,97,OK,NULL,42
HORSESHOE LAKE,98,OK,NULL,34
LAKE ANDREWS,99,OK,NULL,38
MYERS CREEK,100,OK,NULL,20
COULEE DAM #1,101,OK,NULL,52
COULEE DAM #2,102,OK,NULL,39
COULEE DAM #3,103,OK,NULL,33
NESPELEM CITY,104,OK,NULL,17
OKANOGAN #1,105,OK,NULL,34
OKANOGAN #2,106,OK,NULL,45
OKANOGAN #3,107,OK,NULL,20
OKANOGAN #4,108,OK,NULL,43
OMAK #1,109,OK,NULL,25
OMAK #2,110,OK,NULL,38
OMAK #3,111,OK,NULL,18
OMAK #4,112,OK,NULL,31
OMAK #5,113,OK,NULL,47
OMAK #6,114,OK,NULL,42
OMAK #7,115,OK,NULL,37
OMAK #8,116,OK,NULL,18
OMAK #9,117,OK,NULL,65
OROVILLE #1,118,OK,NULL,40
OROVILLE #2,119,OK,NULL,25
OROVILLE #3,120,OK,NULL,25
TONASKET #1,121,OK,NULL,27
TONASKET #2,122,OK,NULL,35
TONASKET #3,123,OK,NULL,19
BREWSTER #1,124,OK,NULL,24
BREWSTER #2,125,OK,NULL,60
PATEROS #1,126,OK,NULL,35
PATEROS #2,127,OK,NULL,36
TWISP #1,128,OK,NULL,64
TWISP #2,129,OK,NULL,42
WINTHROP #1,130,OK,NULL,69
CONCONULLY CITY,131,OK,NULL,69
COULEE DAM #4,132,OK,NULL,31
ELMER CITY,133,OK,NULL,62
RIVERSIDE CITY,134,OK,NULL,60
TWISP #3,135,OK,NULL,62
TWISP #4,136,OK,NULL,23
WINTHROP #2,137,OK,NULL,46
SHORELINE,138,OK,NULL,32
SIMILKAMEEN,139,OK,NULL,30
TEAL LAKE,140,OK,NULL,30
TONASKET CREEK,141,OK,NULL,30
OROVILLE #4,142,OK,NULL,37
OROVILLE #5,143,OK,NULL,38
OROVILLE #6,144,OK,NULL,22
OROVILLE #7,145,OK,NULL,30
OROVILLE #8,146,OK,NULL,35
OROVILLE #9,147,OK,NULL,25
OROVILLE #10,148,OK,NULL,40
JENNINGS LOOP,149,OK,NULL,25
BLUE LAKE,150,OK,NULL,52
AENEAS CREEK,151,OK,NULL,45
AENEAS LAKE,152,OK,NULL,64
ANTOINE CREEK,153,OK,NULL,28
ANTOINE PEAK,154,OK,NULL,20
CAPE LABELLE,155,OK,NULL,25
CAYUSE MTN,156,OK,NULL,25
CHEWILIKEN,157,OK,NULL,22
DUFFYS MTN,158,OK,NULL,25
FRONTAGE,159,OK,NULL,16
GUSTY RIDGE,160,OK,NULL,32
LONGANECKER,161,OK,NULL,30
NORTH TONASKET,162,OK,NULL,60
PICKENS MTN,163,OK,NULL,33
RANCHES,164,OK,NULL,16
SIWASH CREEK,165,OK,NULL,43
SPECTACLE LAKE,166,OK,NULL,42
HIGHWAY,167,OK,NULL,18
WHISKY MTN,168,OK,NULL,14
YARNELL,169,OK,NULL,26
TONASKET #4,170,OK,NULL,32
TONASKET #5,171,OK,NULL,30
TONASKET #6,172,OK,NULL,22
TONASKET #7,173,OK,NULL,46
LEECHER MTN,174,OK,NULL,55
ALTA LAKE,175,OK,NULL,37
STARR,176,OK,NULL,29
PATEROS #3,177,OK,NULL,23
