Row Label,PrecinctCode,County,Registered Voters,Al Littlefield,Jason Easton
Total,-1,SK,NULL,15846,15592
ALDER,101,SK,NULL,91,102
ALGER,102,SK,NULL,110,105
ALLEN,103,SK,NULL,59,99
DUNBAR,104,SK,NULL,33,37
AVON,105,SK,NULL,139,177
SAUK,107,SK,NULL,172,166
BAY VIEW,108,SK,NULL,119,174
BELFAST,109,SK,NULL,96,91
BIG LAKE,110,SK,NULL,213,231
BIRDSVIEW,111,SK,NULL,148,214
BOW,113,SK,NULL,226,234
CASCADE,114,SK,NULL,32,30
CEDARDALE,115,SK,NULL,40,83
CLEAR LAKE,116,SK,NULL,170,170
COUNTRY CLUB,117,SK,NULL,73,83
CONWAY,118,SK,NULL,74,66
DEWEY,119,SK,NULL,345,309
DIGBY,120,SK,NULL,18,20
DODGE VALLEY,121,SK,NULL,84,68
EDISON,122,SK,NULL,111,106
FIR,124,SK,NULL,53,83
FRUITDALE,125,SK,NULL,82,73
GEAR,126,SK,NULL,178,183
GUEMES,127,SK,NULL,176,128
HAMBURG,128,SK,NULL,82,66
HARMONY,129,SK,NULL,90,120
LAKE SIXTEEN,130,SK,NULL,85,78
LOOKOUT,132,SK,NULL,209,172
MANSFORD,133,SK,NULL,34,19
MAPES,134,SK,NULL,59,65
MARCH POINT,135,SK,NULL,16,10
MCMURRAY WEST,136,SK,NULL,74,89
MCRAE,137,SK,NULL,224,257
MCMURRAY EAST,138,SK,NULL,29,40
MINKLER,139,SK,NULL,114,115
MONTBORNE,140,SK,NULL,204,244
NOOKACHAMPS,141,SK,NULL,88,108
SKYRIDGE,144,SK,NULL,118,165
PRAIRIE,145,SK,NULL,166,189
POINT WILLIAMS,146,SK,NULL,142,136
RIDGEWAY,147,SK,NULL,112,144
ROCKPORT,148,SK,NULL,153,148
SHELTER BAY,149,SK,NULL,200,187
SNEE OOSH,150,SK,NULL,120,151
STERLING,151,SK,NULL,61,38
SWINOMISH,153,SK,NULL,207,157
TINGLEY,154,SK,NULL,80,93
VAN FLEET,155,SK,NULL,128,160
VEDERE,156,SK,NULL,94,144
WHITNEY,157,SK,NULL,63,73
ROSARIO,158,SK,NULL,303,203
TERRACE,159,SK,NULL,256,307
STARBIRD,160,SK,NULL,148,138
FIDALGO,164,SK,NULL,259,190
GAGES,165,SK,NULL,38,45
SAMISH,166,SK,NULL,123,105
COLLINS,167,SK,NULL,84,116
BLANCHARD,168,SK,NULL,182,149
VIEW TERRACE(*),170,SK,NULL,0,0
LAKE CAVANAUGH,171,SK,NULL,40,49
LITTLE MOUNTAIN,172,SK,NULL,74,91
RIVERBEND,173,SK,NULL,6,10
PADILLA,174,SK,NULL,37,47
FREDONIA,176,SK,NULL,34,42
ANACORTES  1,201,SK,NULL,180,138
ANACORTES  4,204,SK,NULL,138,103
ANACORTES 5(*),205,SK,NULL,0,0
ANACORTES  6,206,SK,NULL,193,172
ANACORTES  7,207,SK,NULL,441,300
ANACORTES  9,209,SK,NULL,222,170
ANACORTES 11,211,SK,NULL,315,208
ANACORTES 17,217,SK,NULL,373,275
ANACORTES 20,220,SK,NULL,309,298
ANACORTES 21,221,SK,NULL,395,360
ANACORTES 22,222,SK,NULL,270,240
ANACORTES 24,224,SK,NULL,449,359
MOUNT VERNON  1,301,SK,NULL,73,64
MOUNT VERNON  2,302,SK,NULL,74,69
MOUNT VERNON  3,303,SK,NULL,153,144
MOUNT VERNON  4,304,SK,NULL,219,244
MOUNT VERNON  5,305,SK,NULL,51,43
MOUNT VERNON  6,306,SK,NULL,127,129
MOUNT VERNON  7,307,SK,NULL,175,167
MOUNT VERNON  8,308,SK,NULL,315,273
MOUNT VERNON  9,309,SK,NULL,92,93
MOUNT VERNON 10,310,SK,NULL,82,101
MOUNT VERNON 11,311,SK,NULL,145,163
MOUNT VERNON 12,312,SK,NULL,94,68
MOUNT VERNON 14,314,SK,NULL,239,194
MOUNT VERNON 15,315,SK,NULL,121,102
MOUNT VERNON 16,316,SK,NULL,230,222
MOUNT VERNON 19,319,SK,NULL,189,211
MOUNT VERNON 21,321,SK,NULL,269,278
MOUNT VERNON 22,322,SK,NULL,295,299
MOUNT VERNON 27,327,SK,NULL,54,55
MOUNT VERNON 30,330,SK,NULL,206,198
SEDRO WOOLLEY  1,401,SK,NULL,162,182
SEDRO WOOLLEY  2,402,SK,NULL,177,200
SEDRO WOOLLEY  3,403,SK,NULL,131,123
SEDRO WOOLLEY  4,404,SK,NULL,145,203
SEDRO WOOLLEY  5,405,SK,NULL,192,251
SEDRO WOOLLEY  6,406,SK,NULL,158,183
SEDRO WOOLLEY  7,407,SK,NULL,3,4
BURLINGTON 1,501,SK,NULL,82,84
BURLINGTON 2,502,SK,NULL,79,123
BURLINGTON 3,503,SK,NULL,38,44
BURLINGTON 4,504,SK,NULL,126,125
BURLINGTON 5,505,SK,NULL,174,168
BURLINGTON 6,506,SK,NULL,102,79
BURLINGTON 7,507,SK,NULL,100,104
CONCRETE,601,SK,NULL,55,70
HAMILTON,701,SK,NULL,20,25
LA CONNER,801,SK,NULL,180,146
LYMAN,855,SK,NULL,43,44
