Row Label,PrecinctCode,County,Registered Voters,Lisa Janicki,Kevin Loy
Total,-1,SK,NULL,22248,16709
ALDER,101,SK,NULL,124,121
ALGER,102,SK,NULL,123,159
ALLEN,103,SK,NULL,106,98
DUNBAR,104,SK,NULL,45,43
AVON,105,SK,NULL,213,169
SAUK,107,SK,NULL,219,199
BAY VIEW,108,SK,NULL,222,163
BELFAST,109,SK,NULL,129,115
BIG LAKE,110,SK,NULL,305,257
BIRDSVIEW,111,SK,NULL,229,202
BOW,113,SK,NULL,343,207
CASCADE,114,SK,NULL,69,24
CEDARDALE,115,SK,NULL,89,60
CLEAR LAKE,116,SK,NULL,214,214
COUNTRY CLUB,117,SK,NULL,107,83
CONWAY,118,SK,NULL,112,71
DEWEY,119,SK,NULL,432,339
DIGBY,120,SK,NULL,16,22
DODGE VALLEY,121,SK,NULL,119,70
EDISON,122,SK,NULL,158,114
FIR,124,SK,NULL,104,74
FRUITDALE,125,SK,NULL,94,101
GEAR,126,SK,NULL,209,255
GUEMES,127,SK,NULL,288,105
HAMBURG,128,SK,NULL,116,73
HARMONY,129,SK,NULL,150,131
LAKE SIXTEEN,130,SK,NULL,120,91
LOOKOUT,132,SK,NULL,279,232
MANSFORD,133,SK,NULL,33,34
MAPES,134,SK,NULL,97,54
MARCH POINT,135,SK,NULL,10,16
MCMURRAY WEST,136,SK,NULL,139,77
MCRAE,137,SK,NULL,339,295
MCMURRAY EAST,138,SK,NULL,48,51
MINKLER,139,SK,NULL,161,135
MONTBORNE,140,SK,NULL,298,249
NOOKACHAMPS,141,SK,NULL,162,84
SKYRIDGE,144,SK,NULL,219,170
PRAIRIE,145,SK,NULL,217,228
POINT WILLIAMS,146,SK,NULL,231,122
RIDGEWAY,147,SK,NULL,172,120
ROCKPORT,148,SK,NULL,227,135
SHELTER BAY,149,SK,NULL,283,221
SNEE OOSH,150,SK,NULL,221,134
STERLING,151,SK,NULL,73,54
SWINOMISH,153,SK,NULL,270,179
TINGLEY,154,SK,NULL,104,137
VAN FLEET,155,SK,NULL,191,176
VEDERE,156,SK,NULL,165,126
WHITNEY,157,SK,NULL,125,43
ROSARIO,158,SK,NULL,350,299
TERRACE,159,SK,NULL,392,291
STARBIRD,160,SK,NULL,169,205
FIDALGO,164,SK,NULL,296,257
GAGES,165,SK,NULL,55,46
SAMISH,166,SK,NULL,176,127
COLLINS,167,SK,NULL,127,128
BLANCHARD(*),168,SK,NULL,0,0
VIEW TERRACE(*),170,SK,NULL,0,0
LAKE CAVANAUGH,171,SK,NULL,59,76
LITTLE MOUNTAIN,172,SK,NULL,109,98
RIVERBEND,173,SK,NULL,14,4
PADILLA,174,SK,NULL,59,49
FREDONIA,176,SK,NULL,43,41
ANACORTES  1,201,SK,NULL,261,118
ANACORTES  4,204,SK,NULL,186,95
ANACORTES 5,205,SK,NULL,5,8
ANACORTES  6,206,SK,NULL,222,191
ANACORTES  7,207,SK,NULL,502,353
ANACORTES  9,209,SK,NULL,259,198
ANACORTES 11,211,SK,NULL,363,227
ANACORTES 17,217,SK,NULL,497,254
ANACORTES 20,220,SK,NULL,407,310
ANACORTES 21,221,SK,NULL,499,419
ANACORTES 22,222,SK,NULL,317,298
ANACORTES 24,224,SK,NULL,530,489
MOUNT VERNON  1,301,SK,NULL,98,73
MOUNT VERNON  2,302,SK,NULL,103,85
MOUNT VERNON  3,303,SK,NULL,237,130
MOUNT VERNON  4,304,SK,NULL,320,260
MOUNT VERNON  5,305,SK,NULL,68,46
MOUNT VERNON  6,306,SK,NULL,232,95
MOUNT VERNON  7,307,SK,NULL,324,114
MOUNT VERNON  8,308,SK,NULL,421,296
MOUNT VERNON  9,309,SK,NULL,131,94
MOUNT VERNON 10,310,SK,NULL,133,86
MOUNT VERNON 11,311,SK,NULL,253,134
MOUNT VERNON 12,312,SK,NULL,113,77
MOUNT VERNON 14,314,SK,NULL,310,213
MOUNT VERNON 15,315,SK,NULL,154,114
MOUNT VERNON 16,316,SK,NULL,339,233
MOUNT VERNON 19,319,SK,NULL,273,204
MOUNT VERNON 21,321,SK,NULL,390,293
MOUNT VERNON 22,322,SK,NULL,409,353
MOUNT VERNON 27,327,SK,NULL,65,65
MOUNT VERNON 30,330,SK,NULL,285,212
SEDRO WOOLLEY  1,401,SK,NULL,233,184
SEDRO WOOLLEY  2,402,SK,NULL,256,199
SEDRO WOOLLEY  3,403,SK,NULL,180,119
SEDRO WOOLLEY  4,404,SK,NULL,257,163
SEDRO WOOLLEY  5,405,SK,NULL,322,239
SEDRO WOOLLEY  6,406,SK,NULL,215,183
SEDRO WOOLLEY  7,407,SK,NULL,7,2
BURLINGTON 1,501,SK,NULL,125,66
BURLINGTON 2,502,SK,NULL,128,113
BURLINGTON 3,503,SK,NULL,70,28
BURLINGTON 4,504,SK,NULL,170,145
BURLINGTON 5,505,SK,NULL,229,186
BURLINGTON 6,506,SK,NULL,118,101
BURLINGTON 7,507,SK,NULL,123,120
CONCRETE,601,SK,NULL,99,75
HAMILTON,701,SK,NULL,30,25
LA CONNER,801,SK,NULL,281,124
LYMAN,855,SK,NULL,54,56
