Row Label,PrecinctCode,County,Registered Voters,Brenda Sorensen
Total,-1,KT,NULL,6321
ALDER CREEK,1,KT,NULL,138
CENTERVILLE,2,KT,NULL,265
COLUMBUS,3,KT,NULL,35
E KLICKITAT,4,KT,NULL,84
F VALLEY,5,KT,NULL,282
GLENWOOD,6,KT,NULL,246
HUSUM,7,KT,NULL,274
LYLE,8,KT,NULL,354
MT BROOK,9,KT,NULL,220
N DALLES,11,KT,NULL,293
N F VALLEY,12,KT,NULL,343
PINE FOREST,13,KT,NULL,630
ROOSEVELT,14,KT,NULL,61
TROUT LAKE,16,KT,NULL,255
W KLICKITAT,17,KT,NULL,68
WISHRAM,19,KT,NULL,71
WOODLAND,20,KT,NULL,661
ORCHARD HTS,21,KT,NULL,194
APPLETON,22,KT,NULL,97
ALDERDALE,23,KT,NULL,35
E LYLE,24,KT,NULL,108
RIVER,27,KT,NULL,22
HGH PRAIRIE,28,KT,NULL,50
BINGEN,101,KT,NULL,97
GOLDENDALE 1,102,KT,NULL,358
GOLDENDALE 2,103,KT,NULL,320
GOLDENDALE 3,104,KT,NULL,253
WHITE SALMON,109,KT,NULL,317
N WHITE SALMON,110,KT,NULL,190
