Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,ST,NULL,3776,9036
ADDY,1,ST,NULL,79,238
CAMAS,3,ST,NULL,103,155
CAMAS PRAIRIE,4,ST,NULL,50,125
COLUMBIA,5,ST,NULL,123,253
COLVILLE VALLEY,6,ST,NULL,95,333
DAISY,7,ST,NULL,48,99
ECHO,8,ST,NULL,68,220
EVANS,9,ST,NULL,48,125
HUNTERS,10,ST,NULL,91,210
KELLY HILL,11,ST,NULL,32,52
LOON LAKE 1,12,ST,NULL,101,289
LOON LAKE 2,13,ST,NULL,63,165
MILL CREEK,14,ST,NULL,49,76
NARCISSE,15,ST,NULL,102,227
ONION CREEK,16,ST,NULL,45,55
RICE,19,ST,NULL,50,96
ROCK CUT,20,ST,NULL,28,38
SUMMIT,21,ST,NULL,53,152
FIRST THOUGHT,22,ST,NULL,11,30
WELLPINIT,24,ST,NULL,54,90
WILLIAMS VALLEY,25,ST,NULL,140,266
TUM TUM 1,26,ST,NULL,66,122
TUM TUM 2,27,ST,NULL,107,255
WALKERS PRAIRIE,28,ST,NULL,82,161
STONE LODGE,29,ST,NULL,91,214
TUM TUM 3,39,ST,NULL,140,278
TUM TUM 4,40,ST,NULL,84,165
TUM TUM 5,41,ST,NULL,85,207
MEYERS FALLS 1,42,ST,NULL,51,172
MEYERS FALLS 2,43,ST,NULL,113,283
QUARTZITE 1,44,ST,NULL,120,330
QUARTZITE 2,45,ST,NULL,62,177
VALLEY 1,46,ST,NULL,15,34
VALLEY 2,47,ST,NULL,59,128
ARDEN 1,48,ST,NULL,48,176
ARDEN 2,49,ST,NULL,71,206
CLAYTON 1,50,ST,NULL,64,135
CLAYTON 2,51,ST,NULL,100,236
ORIN 1,52,ST,NULL,44,143
ORIN 2,53,ST,NULL,59,185
WAITTS LAKE,54,ST,NULL,81,220
ECHO VALLEY,55,ST,NULL,53,116
CHEWELAH 1,101,ST,NULL,81,147
CHEWELAH 2,102,ST,NULL,31,77
CHEWELAH 3,103,ST,NULL,44,137
CHEWELAH FORE,104,ST,NULL,40,85
COLVILLE 1,105,ST,NULL,37,83
COLVILLE 2,106,ST,NULL,39,106
COLVILLE 3,107,ST,NULL,36,113
COLVILLE 4,108,ST,NULL,79,214
COLVILLE 5,109,ST,NULL,72,180
COLVILLE 6,110,ST,NULL,54,105
COLVILLE 7,111,ST,NULL,44,122
KETTLE FALLS 1,114,ST,NULL,80,173
KETTLE FALLS 2,115,ST,NULL,51,120
MARCUS,116,ST,NULL,22,31
NORTHPORT,117,ST,NULL,13,70
SPRINGDALE,118,ST,NULL,25,36
