Row Label,PrecinctCode,County,Registered Voters,Maureen S. Walsh,Mary Ruth Edwards
Total,-1,CU,NULL,1173,591
ALTO,1,CU,NULL,28,36
COLUMBIA,2,CU,NULL,171,82
PING,3,CU,NULL,115,72
STAR,4,CU,NULL,65,39
STARBUCK COUNTRY,5,CU,NULL,14,10
TUCANNON,6,CU,NULL,33,33
BROOKLYN,101,CU,NULL,129,50
DAYTON,102,CU,NULL,153,48
MUSTARD,103,CU,NULL,114,59
PATIT,104,CU,NULL,109,45
RAINWATER,105,CU,NULL,101,37
STARBUCK CITY,106,CU,NULL,37,32
TOUCHET,107,CU,NULL,104,48
