Row Label,PrecinctCode,County,Registered Voters,Mary Wilson-Engle
Total,-1,IS,NULL,22005
C WHIDBEY 01,150,IS,NULL,369
C WHIDBEY 02,151,IS,NULL,645
C WHIDBEY 03,152,IS,NULL,600
COUPEVILLE,153,IS,NULL,580
C WHIDBEY 04,154,IS,NULL,598
C WHIDBEY 05,155,IS,NULL,532
S WHIDBEY 01,160,IS,NULL,585
S WHIDBEY 02,161,IS,NULL,529
S WHIDBEY 03,162,IS,NULL,612
S WHIDBEY 04,163,IS,NULL,453
S WHIDBEY 05,164,IS,NULL,502
S WHIDBEY 06,165,IS,NULL,498
LANGLEY,166,IS,NULL,288
S WHIDBEY 07,167,IS,NULL,470
S WHIDBEY 08,168,IS,NULL,359
S WHIDBEY 09,169,IS,NULL,499
S WHIDBEY 10,170,IS,NULL,474
OAK HARBOR 01,201,IS,NULL,517
OAK HARBOR 02,202,IS,NULL,407
OAK HARBOR 03,203,IS,NULL,482
OAK HARBOR 04,204,IS,NULL,486
OAK HARBOR 05,205,IS,NULL,526
OAK HARBOR 06,206,IS,NULL,420
OAK HARBOR 07,207,IS,NULL,502
OAK HARBOR 08,208,IS,NULL,428
OAK HARBOR 09,209,IS,NULL,123
N WHIDBEY 06,251,IS,NULL,310
N WHIDBEY 07,252,IS,NULL,431
N WHIDBEY 08,253,IS,NULL,355
N WHIDBEY 09,254,IS,NULL,327
N WHIDBEY 10,255,IS,NULL,149
N WHIDBEY 11,256,IS,NULL,82
CAMANO 01,301,IS,NULL,388
CAMANO 02,302,IS,NULL,525
CAMANO 03,303,IS,NULL,511
CAMANO 04,304,IS,NULL,681
CAMANO 05,305,IS,NULL,580
CAMANO 06,306,IS,NULL,505
CAMANO 07,307,IS,NULL,473
CAMANO 08,308,IS,NULL,339
CAMANO 09,309,IS,NULL,521
CAMANO 10,310,IS,NULL,379
CAMANO 11,311,IS,NULL,493
N WHIDBEY 01,351,IS,NULL,564
N WHIDBEY 02,352,IS,NULL,546
N WHIDBEY 03,353,IS,NULL,432
N WHIDBEY 04,354,IS,NULL,611
N WHIDBEY 05,355,IS,NULL,319
