Row Label,PrecinctCode,County,Registered Voters,J.T. Wilcox,Steven Nielson
Total,-1,PI,NULL,15871,5587
02-101,2101,PI,NULL,126,42
02-105,2105,PI,NULL,137,55
02-106,2106,PI,NULL,438,130
02-110,2110,PI,NULL,189,87
02-111,2111,PI,NULL,279,119
02-112,2112,PI,NULL,196,99
02-113,2113,PI,NULL,233,89
02-114,2114,PI,NULL,203,69
02-115,2115,PI,NULL,267,122
02-116,2116,PI,NULL,382,119
02-117,2117,PI,NULL,331,135
02-118,2118,PI,NULL,213,101
02-119,2119,PI,NULL,205,78
02-120,2120,PI,NULL,253,115
02-121,2121,PI,NULL,311,149
02-122,2122,PI,NULL,300,150
02-123,2123,PI,NULL,377,113
02-124,2124,PI,NULL,257,124
02-125,2125,PI,NULL,255,115
02-126,2126,PI,NULL,330,148
02-127,2127,PI,NULL,195,66
02-128,2128,PI,NULL,319,148
02-129,2129,PI,NULL,210,75
02-130,2130,PI,NULL,159,80
02-131,2131,PI,NULL,409,141
02-133,2133,PI,NULL,68,48
02-134,2134,PI,NULL,409,138
02-135,2135,PI,NULL,435,133
02-136,2136,PI,NULL,69,27
02-137,2137,PI,NULL,211,65
02-138,2138,PI,NULL,458,162
02-139,2139,PI,NULL,382,105
02-140,2140,PI,NULL,433,123
02-141,2141,PI,NULL,419,123
02-142,2142,PI,NULL,289,114
02-143,2143,PI,NULL,294,81
02-144,2144,PI,NULL,353,111
02-145,2145,PI,NULL,398,127
02-146,2146,PI,NULL,298,105
02-147,2147,PI,NULL,306,95
02-148,2148,PI,NULL,433,110
02-149,2149,PI,NULL,446,137
02-150,2150,PI,NULL,338,113
02-151,2151,PI,NULL,133,47
02-152,2152,PI,NULL,458,119
02-153,2153,PI,NULL,350,108
02-154,2154,PI,NULL,324,107
02-155,2155,PI,NULL,428,110
02-156,2156,PI,NULL,525,145
02-157,2157,PI,NULL,503,140
02-158,2158,PI,NULL,313,136
02-159,2159,PI,NULL,224,89
