Row Label,PrecinctCode,County,Registered Voters,Drew C. MacEwen,Tammey Newton
Total,-1,KP,NULL,7848,4508
BREMERTON 007,100007,KP,NULL,6,4
BREMERTON 012,100012,KP,NULL,45,56
BREMERTON 013,100013,KP,NULL,169,203
BREMERTON 029,100029,KP,NULL,178,196
BREMERTON 030,100030,KP,NULL,215,166
BREMERTON 031,100031,KP,NULL,110,111
BREMERTON 032,100032,KP,NULL,19,43
BREMERTON 037,100037,KP,NULL,350,221
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,349,250
RIDGEWAY 084,100084,KP,NULL,99,34
KITSAP LAKE 085,100085,KP,NULL,19,14
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,73,59
BREMERTON 088,100088,KP,NULL,40,33
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,21,18
CHARLAND 110,100110,KP,NULL,256,112
ALPINE 111,100111,KP,NULL,255,138
HERITAGE PARK 112,100112,KP,NULL,233,124
COUNTRY CLUB 113,100113,KP,NULL,166,107
BREMERTON 114,100114,KP,NULL,0,0
ERLANDS POINT 130,100130,KP,NULL,206,138
SYMINGTON 151,100151,KP,NULL,180,91
PIONEER 152,100152,KP,NULL,392,217
LARSON 153,100153,KP,NULL,386,206
SEABECK 155,100155,KP,NULL,489,215
LOST HIGHWAY 157,100157,KP,NULL,345,167
HOLLY 158,100158,KP,NULL,87,49
APEX 162,100162,KP,NULL,408,172
ANDERSON CREEK 163,100163,KP,NULL,301,118
EAGLE CREST 164,100164,KP,NULL,364,204
PORT ORCHARD 206,100206,KP,NULL,0,0
PORT ORCHARD 208,100208,KP,NULL,0,0
PORT ORCHARD 209,100209,KP,NULL,0,0
LAKE HELENA 214,100214,KP,NULL,296,133
PORT ORCHARD 215,100215,KP,NULL,0,0
MINTERBROOK 216,100216,KP,NULL,159,80
HUNTER 219,100219,KP,NULL,274,134
FERNWOOD 230,100230,KP,NULL,403,187
SINCLAIR 275,100275,KP,NULL,157,94
BELFAIR VALLEY 280,100280,KP,NULL,114,56
SUNNYSLOPE 281,100281,KP,NULL,264,133
DICKENSON 282,100282,KP,NULL,313,170
DRIVE-IN 283(*),100283,KP,NULL,0,0
TWIN LAKES 285,100285,KP,NULL,92,53
BREMERTON 293(*),100293,KP,NULL,0,0
BREMERTON 294,100294,KP,NULL,0,0
HEINS CREEK 297,100297,KP,NULL,0,0
