Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Total,-1,AS,NULL,4553,3016
ANATONE,1,AS,NULL,110,38
RURAL ASOTIN,3,AS,NULL,121,52
W ASOTIN,4,AS,NULL,131,43
SWALLOWS NEST,5,AS,NULL,299,163
ASOTIN #1,101,AS,NULL,124,101
ASOTIN #2,102,AS,NULL,144,96
CLARKSTON #1,201,AS,NULL,110,76
CLARKSTON #2,202,AS,NULL,140,108
CLARKSTON #3,203,AS,NULL,139,96
CLARKSTON #4,204,AS,NULL,155,119
CLARKSTON #5,205,AS,NULL,95,77
CLARKSTON #6,206,AS,NULL,165,92
CLARKSTON #7,207,AS,NULL,77,89
CLARKSTON #8,208,AS,NULL,132,102
CLARKSTON HTS #1,301,AS,NULL,203,124
CLARKSTON HTS #2,302,AS,NULL,339,215
CLARKSTON HTS #3,303,AS,NULL,74,53
CLARKSTON HTS #4,304,AS,NULL,177,139
CLARKSTON HTS #5,305,AS,NULL,394,188
CLARKSTON HTS #6,306,AS,NULL,287,221
CLARKSTON HTS #7,307,AS,NULL,241,153
SOUTH CLARKSTON #1,401,AS,NULL,163,104
SOUTH CLARKSTON #2,402,AS,NULL,224,132
WEST CLARKSTON #1,501,AS,NULL,142,155
WEST CLARKSTON #2,502,AS,NULL,159,128
WEST CLARKSTON #3,503,AS,NULL,208,152
