Row Label,PrecinctCode,County,Registered Voters,Terry R. Nealey,Frank Blair
Total,-1,CU,NULL,1543,317
ALTO,1,CU,NULL,51,17
COLUMBIA,2,CU,NULL,240,23
PING,3,CU,NULL,169,20
STAR,4,CU,NULL,92,18
STARBUCK COUNTRY,5,CU,NULL,22,3
TUCANNON,6,CU,NULL,53,13
BROOKLYN,101,CU,NULL,168,23
DAYTON,102,CU,NULL,165,48
MUSTARD,103,CU,NULL,149,34
PATIT,104,CU,NULL,127,44
RAINWATER,105,CU,NULL,121,25
STARBUCK CITY,106,CU,NULL,60,8
TOUCHET,107,CU,NULL,126,41
