Row Label,PrecinctCode,County,Registered Voters,Marko Liias,Dan Matthews
Total,-1,SN,NULL,20227,16871
MUKILTEO  1,22121192,SN,NULL,211,207
MUKILTEO  2,22121193,SN,NULL,263,215
MUKILTEO  3,22121194,SN,NULL,123,143
EVERETT  56,22121259,SN,NULL,135,106
EVERETT  57,22121260,SN,NULL,144,121
MUKILTEO  4,22121262,SN,NULL,121,119
MUKILTEO  5,22121263,SN,NULL,225,217
MUKILTEO  7,22121306,SN,NULL,137,118
MUKILTEO  8,22121307,SN,NULL,132,110
MUKILTEO  9,22121355,SN,NULL,148,167
MUKILTEO 11,22121378,SN,NULL,151,128
MUKILTEO 12,22121379,SN,NULL,267,212
MUKILTEO 13,22121380,SN,NULL,154,184
MUKILTEO 14,22121381,SN,NULL,196,205
MUKILTEO 16,22121382,SN,NULL,221,198
MUKILTEO 18,22121383,SN,NULL,197,219
EVERETT  35,22121400,SN,NULL,136,162
EVERETT  64,22121405,SN,NULL,65,64
EVERETT  65,22121406,SN,NULL,127,113
EVERETT  66,22121407,SN,NULL,170,109
EVERETT  84,22121448,SN,NULL,54,31
MUKILTEO 19,22121474,SN,NULL,120,157
MUKILTEO 20,22121475,SN,NULL,199,194
EVERETT  91,22121491,SN,NULL,102,93
EVERETT  52,22121615,SN,NULL,134,111
EVERETT  61,22121616,SN,NULL,25,26
EVERETT  79,22121621,SN,NULL,128,127
EVERETT  83,22121622,SN,NULL,117,106
EVERETT  92,22121624,SN,NULL,2,2
MUKILTEO  6,22121631,SN,NULL,168,173
MUKILTEO 15,22121632,SN,NULL,50,56
MUKILTEO 17,22121633,SN,NULL,217,210
MUKILTEO 10,22121655,SN,NULL,127,97
EVERETT  95,22121697,SN,NULL,77,55
MUKILTEO 21,22121704,SN,NULL,101,96
HIWAY,22124068,SN,NULL,23,10
SHELBY,22124100,SN,NULL,147,101
LIND,22124185,SN,NULL,185,97
YORK,22124274,SN,NULL,166,159
WINGATE,22124337,SN,NULL,171,161
STOCK SHOW,22124486,SN,NULL,76,78
OLIVIA,22124589,SN,NULL,26,16
LYNNWOOD 19,22131422,SN,NULL,157,138
LYNNWOOD 34,22131538,SN,NULL,96,66
MEADOWDALE,22134040,SN,NULL,159,119
EMANDER,22134063,SN,NULL,168,127
ASH,22134076,SN,NULL,213,170
MANOR,22134079,SN,NULL,176,103
MANORDALE,22134080,SN,NULL,132,130
SERENE,22134082,SN,NULL,165,125
STICKNEY,22134084,SN,NULL,146,158
FIELD,22134088,SN,NULL,155,134
ALICIA,22134150,SN,NULL,177,152
CASCADE,22134152,SN,NULL,112,84
GROVE,22134183,SN,NULL,176,164
PIONEER,22134195,SN,NULL,150,124
GIBSON,22134265,SN,NULL,116,84
HEMLOCK,22134268,SN,NULL,232,169
COVE,22134282,SN,NULL,150,129
EMERALD,22134286,SN,NULL,122,150
PICNIC POINT,22134314,SN,NULL,121,128
SHORE,22134320,SN,NULL,183,148
NORMA,22134356,SN,NULL,146,88
PUGET,22134359,SN,NULL,158,107
SHADOW WOOD,22134362,SN,NULL,175,107
ALDER,22134368,SN,NULL,145,111
KEELER,22134373,SN,NULL,142,98
MARINER,22134427,SN,NULL,128,109
POST,22134434,SN,NULL,157,125
HAMPTON,22134456,SN,NULL,180,131
HIPOINT,22134459,SN,NULL,117,70
JEFF,22134460,SN,NULL,125,93
MADISON,22134463,SN,NULL,215,181
WOODGATE,22134489,SN,NULL,65,98
FAIRWOOD,22134492,SN,NULL,69,68
STONE GATE,22134497,SN,NULL,149,86
HILLMAN,22134501,SN,NULL,132,133
BEVERLY,22134520,SN,NULL,163,117
ADMIRALTY,22134642,SN,NULL,126,82
AVALON,22134688,SN,NULL,91,58
DALE,22134692,SN,NULL,157,130
JEFFERSON,22134699,SN,NULL,123,81
LUNDS GULCH,22134758,SN,NULL,74,39
MARTHA LAKE,22144081,SN,NULL,143,167
EAST SHORE,22144131,SN,NULL,148,143
FREEWAY,22144166,SN,NULL,150,150
ROYAL,22144209,SN,NULL,186,237
CASCADIAN,22144279,SN,NULL,172,190
CLOVER,22144280,SN,NULL,111,127
KENTISH,22144297,SN,NULL,117,110
WALNUT,22144331,SN,NULL,115,95
EVERGREEN,22144415,SN,NULL,108,84
FOREST,22144455,SN,NULL,172,145
NORTHROAD,22144476,SN,NULL,205,167
