Row Label,PrecinctCode,County,Registered Voters,Rick Scott
Total,-1,GY,NULL,14790
Taholah 002,2,GY,NULL,162
Quinault 004,4,GY,NULL,102
Neilton 006,6,GY,NULL,50
Pacific Beach 008,8,GY,NULL,155
Moclips 010,10,GY,NULL,16
Ocean City 012,12,GY,NULL,195
Burrows 014,14,GY,NULL,27
Wilderness 016,16,GY,NULL,80
Humptulips 018,18,GY,NULL,42
Axford 020,20,GY,NULL,95
Dekay 022,22,GY,NULL,52
Hoquiam Rural 024,24,GY,NULL,218
Stover 026,26,GY,NULL,47
North Wishkah 028,28,GY,NULL,2
Wishkah 030,30,GY,NULL,188
Cutoff032,32,GY,NULL,71
Coats Landing 034,34,GY,NULL,200
Geissler 036,36,GY,NULL,32
Aberdeen Lake 038,38,GY,NULL,2
Reynvaan 040,40,GY,NULL,94
Wynoochee 042,42,GY,NULL,5
Boundary 044,44,GY,NULL,41
Black Creek 046,46,GY,NULL,338
Brady 048,48,GY,NULL,350
Riviera 050,50,GY,NULL,27
Satsop 052,52,GY,NULL,125
Calder 056,56,GY,NULL,199
Bush 058,58,GY,NULL,405
McCleary Rural 060,60,GY,NULL,286
Porter 062,62,GY,NULL,139
Cedar Creek 064,64,GY,NULL,58
Chehalis 066,66,GY,NULL,4
Blockhouse 068,68,GY,NULL,208
Delezenne 070,70,GY,NULL,270
Melbourne 072,72,GY,NULL,233
Devonshire 074,74,GY,NULL,210
Vesta 076,76,GY,NULL,40
Artic 078,78,GY,NULL,42
Central Park 080,80,GY,NULL,456
Lois Lane 082,82,GY,NULL,82
Blue Slough 084,84,GY,NULL,141
Sierra 086,86,GY,NULL,1
Lund 088,88,GY,NULL,56
Newskah 090,90,GY,NULL,16
Ocosta 092,92,GY,NULL,0
Johns River 094,94,GY,NULL,219
Grayland 096,96,GY,NULL,229
Cohasset 098,98,GY,NULL,146
Aberdeen 111,111,GY,NULL,417
Aberdeen 121,121,GY,NULL,397
Aberdeen 131,131,GY,NULL,535
Aberdeen 132,132,GY,NULL,0
Aberdeen 141,141,GY,NULL,395
Aberdeen 142,142,GY,NULL,314
Aberdeen 151,151,GY,NULL,244
Aberdeen 161,161,GY,NULL,419
Cosmopolis 201,201,GY,NULL,406
Elma 301,301,GY,NULL,171
Elma 302,302,GY,NULL,365
Hoquiam 411,411,GY,NULL,290
Hoquiam 421,421,GY,NULL,237
Hoquiam 431,431,GY,NULL,295
Hoquiam 441,441,GY,NULL,312
Hoquiam 451,451,GY,NULL,226
Hoquiam 461,461,GY,NULL,232
McCleary 501,501,GY,NULL,304
Montesano 601,601,GY,NULL,551
Montesano 602,602,GY,NULL,538
Montesano 603,603,GY,NULL,0
Oakville 701,701,GY,NULL,109
Ocean Shores 801,801,GY,NULL,419
Ocean Shores 802,802,GY,NULL,572
Ocean Shores 803,803,GY,NULL,490
Westport 901,901,GY,NULL,396
