Row Label,PrecinctCode,County,Registered Voters,Clint Didier,Dan Newhouse
Total,-1,DG,NULL,3121,2492
PRECINCT 101,101,DG,NULL,132,90
PRECINCT 110,110,DG,NULL,130,121
PRECINCT 202,202,DG,NULL,63,41
PRECINCT 204,204,DG,NULL,164,152
PRECINCT 205,205,DG,NULL,246,158
PRECINCT 206,206,DG,NULL,102,82
PRECINCT 207,207,DG,NULL,197,142
PRECINCT 209,209,DG,NULL,194,127
PRECINCT 210,210,DG,NULL,47,57
PRECINCT 211,211,DG,NULL,64,24
PRECINCT 212,212,DG,NULL,112,100
PRECINCT 213,213,DG,NULL,141,54
PRECINCT 301,301,DG,NULL,238,179
PRECINCT 303,303,DG,NULL,108,96
PRECINCT 304,304,DG,NULL,35,30
PRECINCT 305,305,DG,NULL,71,87
PRECINCT 306,306,DG,NULL,100,76
PRECINCT 307,307,DG,NULL,25,31
PRECINCT 308,308,DG,NULL,33,28
PRECINCT 309,309,DG,NULL,51,36
PRECINCT 310,310,DG,NULL,68,39
PRECINCT 311,311,DG,NULL,98,61
PRECINCT 312,312,DG,NULL,119,71
PRECINCT 313,313,DG,NULL,34,24
PRECINCT 314,314,DG,NULL,23,35
PRECINCT 315,315,DG,NULL,182,186
PRECINCT 316,316,DG,NULL,141,143
PRECINCT 317,317,DG,NULL,203,222
