Row Label,PrecinctCode,County,Registered Voters,R.W. Buzzard
Total,-1,LE,NULL,16643
Adna ,1,LE,NULL,444
Agate,2,LE,NULL,130
Alpha,3,LE,NULL,343
Berwick,4,LE,NULL,379
Big Bottom,5,LE,NULL,256
Boistfort,6,LE,NULL,87
Cinebar,7,LE,NULL,212
Claquato,8,LE,NULL,261
Cowlitz,9,LE,NULL,411
Crego,10,LE,NULL,578
Curtis,11,LE,NULL,101
Drews Prairie,12,LE,NULL,126
Dryad,13,LE,NULL,84
Elk Crk,14,LE,NULL,76
Emery,15,LE,NULL,155
Emery North,16,LE,NULL,2
Ethel,17,LE,NULL,314
Evaline East,18,LE,NULL,95
Evaline West,19,LE,NULL,144
Fair,20,LE,NULL,0
Fords Prairie,21,LE,NULL,308
Forest,22,LE,NULL,288
Greenwood,23,LE,NULL,9
Harmony,24,LE,NULL,242
Independence,25,LE,NULL,49
Jackson,26,LE,NULL,330
Jackson North,27,LE,NULL,0
Kelly,28,LE,NULL,0
Klickitat,29,LE,NULL,142
Lincoln Creek,30,LE,NULL,226
Logan,31,LE,NULL,258
Mauermann,32,LE,NULL,55
Mellen,33,LE,NULL,1
Meskill,34,LE,NULL,50
Mineral,35,LE,NULL,123
Newaukum,36,LE,NULL,228
Onalaska,37,LE,NULL,468
Packwood,38,LE,NULL,69
Paradise,39,LE,NULL,37
Parcuvia,40,LE,NULL,200
Prescott,41,LE,NULL,480
Randle East,42,LE,NULL,224
Randle West,43,LE,NULL,165
Roswell,44,LE,NULL,8
Salkum,45,LE,NULL,213
Salmon Creek,46,LE,NULL,399
Salzer,47,LE,NULL,117
Sears,48,LE,NULL,203
Seminary Hill,49,LE,NULL,136
Silver Creek,50,LE,NULL,234
Skookumchuck,51,LE,NULL,263
Sommerville,52,LE,NULL,44
Stearns Creek,53,LE,NULL,94
Stillwater East,54,LE,NULL,74
Stillwater West,55,LE,NULL,138
Temple,56,LE,NULL,187
Union,57,LE,NULL,187
Urquhart,58,LE,NULL,159
Veness,59,LE,NULL,249
Verndale,60,LE,NULL,225
Whealdon,61,LE,NULL,211
Centralia #1,101,LE,NULL,121
Centralia #2,102,LE,NULL,303
Centralia #3,103,LE,NULL,119
Centralia #4,104,LE,NULL,176
Centralia #5,105,LE,NULL,127
Centralia #6,106,LE,NULL,251
Centralia #7,107,LE,NULL,121
Centralia #8,108,LE,NULL,149
Centralia #9,109,LE,NULL,310
Centralia #10,110,LE,NULL,110
Centralia #11,111,LE,NULL,315
Centralia #12,112,LE,NULL,344
Centralia #13,113,LE,NULL,371
Chehalis #1,201,LE,NULL,208
Chehalis #2,202,LE,NULL,135
Chehalis #3,203,LE,NULL,161
Chehalis #4,204,LE,NULL,148
Chehalis #5,205,LE,NULL,134
Chehalis #6,206,LE,NULL,261
Chehalis #7,207,LE,NULL,45
Chehalis #8,208,LE,NULL,184
Chehalis #9,209,LE,NULL,12
Morton,300,LE,NULL,188
Mossyrock,400,LE,NULL,108
Napavine #1,501,LE,NULL,348
Napavine #2,502,LE,NULL,0
Napavine #3,503,LE,NULL,3
Napavine #4,504,LE,NULL,0
Napavine #5,505,LE,NULL,0
Napavine #6,506,LE,NULL,0
Pe Ell,600,LE,NULL,134
Toledo,700,LE,NULL,142
Vader,800,LE,NULL,110
Winlock,900,LE,NULL,214
