Row Label,PrecinctCode,County,Registered Voters,Terry R. Nealey,Frank Blair
Total,-1,FR,NULL,2240,1200
Pct 001,1,FR,NULL,100,105
Pct 002,2,FR,NULL,60,49
Pct 003,3,FR,NULL,21,38
Pct 004,4,FR,NULL,37,46
Pct 005,5,FR,NULL,36,34
Pct 006,6,FR,NULL,50,66
Pct 007,7,FR,NULL,55,49
Pct 008,8,FR,NULL,169,46
Pct 009,9,FR,NULL,37,36
Pct 010,10,FR,NULL,75,51
Pct 011,11,FR,NULL,74,36
Pct 012,12,FR,NULL,48,41
Pct 013,13,FR,NULL,39,35
Pct 014,14,FR,NULL,62,30
Pct 015,15,FR,NULL,66,52
Pct 016,16,FR,NULL,7,13
Pct 017,17,FR,NULL,79,47
Pct 018,18,FR,NULL,54,11
Pct 019,19,FR,NULL,130,48
Pct 020,20,FR,NULL,55,21
Pct 021,21,FR,NULL,31,14
Pct 024,24,FR,NULL,128,25
Pct 025,25,FR,NULL,56,11
Pct 026,26,FR,NULL,88,30
Pct 027,27,FR,NULL,51,30
Pct 028,28,FR,NULL,48,37
Pct 029,29,FR,NULL,66,33
Pct 030,30,FR,NULL,45,16
Pct 031,31,FR,NULL,64,16
Pct 036,36,FR,NULL,219,77
Pct 061,61,FR,NULL,190,57
