Row Label,PrecinctCode,County,Registered Voters,Wayne E. Harris
Total,-1,CH,NULL,15005
100,100,CH,NULL,6
110,110,CH,NULL,190
111,111,CH,NULL,60
112,112,CH,NULL,18
113,113,CH,NULL,35
114,114,CH,NULL,244
115,115,CH,NULL,21
116,116,CH,NULL,85
120,120,CH,NULL,185
121,121,CH,NULL,177
122,122,CH,NULL,100
123,123,CH,NULL,26
124,124,CH,NULL,38
125,125,CH,NULL,352
126,126,CH,NULL,47
127,127,CH,NULL,76
128,128,CH,NULL,38
129,129,CH,NULL,129
131,131,CH,NULL,37
132,132,CH,NULL,24
133,133,CH,NULL,225
134,134,CH,NULL,364
135,135,CH,NULL,356
136,136,CH,NULL,4
140,140,CH,NULL,107
141,141,CH,NULL,9
142,142,CH,NULL,28
143,143,CH,NULL,2
144,144,CH,NULL,19
145,145,CH,NULL,18
146,146,CH,NULL,70
147,147,CH,NULL,347
148,148,CH,NULL,151
149,149,CH,NULL,169
150,150,CH,NULL,38
151,151,CH,NULL,3
152,152,CH,NULL,3
153,153,CH,NULL,492
154,154,CH,NULL,424
155,155,CH,NULL,154
156,156,CH,NULL,43
157,157,CH,NULL,347
158,158,CH,NULL,163
159,159,CH,NULL,7
161,161,CH,NULL,27
162,162,CH,NULL,22
163,163,CH,NULL,17
164,164,CH,NULL,130
165,165,CH,NULL,84
171,171,CH,NULL,8
172,172,CH,NULL,12
173,173,CH,NULL,13
174,174,CH,NULL,235
175,175,CH,NULL,399
181,181,CH,NULL,301
182,182,CH,NULL,258
183,183,CH,NULL,149
190,190,CH,NULL,24
210,210,CH,NULL,213
220,220,CH,NULL,254
310,310,CH,NULL,138
320,320,CH,NULL,215
330,330,CH,NULL,234
410,410,CH,NULL,283
420,420,CH,NULL,313
430,430,CH,NULL,414
440,440,CH,NULL,453
450,450,CH,NULL,386
460,460,CH,NULL,362
480,480,CH,NULL,388
490,490,CH,NULL,570
510,510,CH,NULL,209
520,520,CH,NULL,556
530,530,CH,NULL,412
540,540,CH,NULL,336
560,560,CH,NULL,361
580,580,CH,NULL,261
590,590,CH,NULL,329
610,610,CH,NULL,241
710,710,CH,NULL,233
720,720,CH,NULL,327
730,730,CH,NULL,370
1149,1149,CH,NULL,29
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
