Row Label,PrecinctCode,County,Registered Voters,Joe Schmick
Total,-1,SP,NULL,2609
PCT 9000,9000,SP,NULL,397
PCT 9001,9001,SP,NULL,274
PCT 9002,9002,SP,NULL,289
PCT 9003,9003,SP,NULL,194
PCT 9004,9004,SP,NULL,347
PCT 9005,9005,SP,NULL,135
PCT 9006,9006,SP,NULL,409
PCT 9007,9007,SP,NULL,110
PCT 9008,9008,SP,NULL,61
PCT 9300,9300,SP,NULL,70
PCT 9400,9400,SP,NULL,25
PCT 9500,9500,SP,NULL,127
PCT 9600,9600,SP,NULL,45
PCT 9700,9700,SP,NULL,126
