Row Label,PrecinctCode,County,Registered Voters,Steve Tharinger,Thomas W. Greisamer
Total,-1,GY,NULL,5509,4677
Taholah 002,2,GY,NULL,155,21
Quinault 004,4,GY,NULL,66,87
Neilton 006,6,GY,NULL,30,45
Pacific Beach 008,8,GY,NULL,107,106
Moclips 010,10,GY,NULL,15,6
Ocean City 012,12,GY,NULL,142,119
Burrows 014,14,GY,NULL,13,16
Wilderness 016,16,GY,NULL,42,62
Humptulips 018,18,GY,NULL,24,29
Axford 020,20,GY,NULL,60,59
Dekay 022,22,GY,NULL,28,47
Hoquiam Rural 024,24,GY,NULL,151,143
Stover 026(*),26,GY,NULL,0,0
North Wishkah 028(*),28,GY,NULL,0,0
Wishkah 030,30,GY,NULL,121,141
Cutoff032,32,GY,NULL,52,40
Coats Landing 034,34,GY,NULL,133,118
Geissler 036,36,GY,NULL,22,24
Aberdeen Lake 038(*),38,GY,NULL,0,0
Reynvaan 040,40,GY,NULL,61,59
Wynoochee 042,42,GY,NULL,2,4
Boundary 044,44,GY,NULL,23,28
Black Creek 046,46,GY,NULL,238,213
Brady 048,48,GY,NULL,260,181
Riviera 050,50,GY,NULL,19,21
Satsop 052,52,GY,NULL,86,79
Calder 056,56,GY,NULL,123,126
Bush 058,58,GY,NULL,271,269
McCleary Rural 060,60,GY,NULL,184,208
Porter 062,62,GY,NULL,89,115
Cedar Creek 064,64,GY,NULL,33,76
Aberdeen 132,132,GY,NULL,0,0
Elma 301,301,GY,NULL,102,108
Elma 302,302,GY,NULL,243,222
Hoquiam 411,411,GY,NULL,226,117
Hoquiam 421,421,GY,NULL,190,95
Hoquiam 431,431,GY,NULL,233,119
Hoquiam 441,441,GY,NULL,246,124
Hoquiam 451,451,GY,NULL,193,99
Hoquiam 461,461,GY,NULL,172,101
McCleary 501,501,GY,NULL,201,191
Ocean Shores 801,801,GY,NULL,324,253
Ocean Shores 802,802,GY,NULL,427,411
Ocean Shores 803,803,GY,NULL,375,358
