Row Label,PrecinctCode,County,Registered Voters,Joel Kretz,Ronnie Rae
Total,-1,FE,NULL,2302,447
BELCHER,101,FE,NULL,89,8
BOYDS,102,FE,NULL,108,13
CURLEW,103,FE,NULL,24,6
HALL CREEK,104,FE,NULL,77,21
INCHELIUM,105,FE,NULL,32,36
KELLER,106,FE,NULL,95,16
KETTLE RIVER,107,FE,NULL,169,30
KEWA,108,FE,NULL,61,35
LAMBERT,109,FE,NULL,66,10
MALO,110,FE,NULL,136,22
ORIENT,111,FE,NULL,98,29
REPUBLIC 1,112,FE,NULL,165,25
REPUBLIC 2,113,FE,NULL,157,25
SAN POIL,114,FE,NULL,219,31
SHERMAN,115,FE,NULL,181,38
SOUTH LAKE,116,FE,NULL,130,14
STORM KING,117,FE,NULL,189,23
TORODA,118,FE,NULL,85,20
TROUT CREEK,119,FE,NULL,221,45
