Row Label,PrecinctCode,County,Registered Voters,Tom Jones
Total,-1,GR,NULL,16258
Airport 1 001,1,GR,NULL,205
Beverly 002,2,GR,NULL,25
Block 71 003,3,GR,NULL,457
Cascade Fairgrnd 004,4,GR,NULL,203
Coulee City 005,5,GR,NULL,172
Coulee Cty Rur W 006,6,GR,NULL,78
Electric City 007,7,GR,NULL,248
Ephrata 5 008,8,GR,NULL,229
Ephrata 2 009,9,GR,NULL,299
Ephrata 3 010,10,GR,NULL,203
Ephrata 4 011,11,GR,NULL,354
Ephrata 7 012,12,GR,NULL,275
Ephrata 9 013,13,GR,NULL,452
Ephrata Rural ,14,GR,NULL,224
George 015,15,GR,NULL,34
George Rural 016,16,GR,NULL,422
Gloyd 017,17,GR,NULL,230
Grand Coulee 018,18,GR,NULL,194
Hartline 019,19,GR,NULL,47
Hartline Rural S 020,20,GR,NULL,23
Lakeview Park 021,21,GR,NULL,241
Longview 022,22,GR,NULL,323
Mae 023,23,GR,NULL,701
Marlin 024,24,GR,NULL,17
Marlin Rural 025,25,GR,NULL,34
Mattawa 026,26,GR,NULL,41
Mattawa Rural 027,27,GR,NULL,372
McConihe 1 028,28,GR,NULL,149
Moses Lake 5 029,29,GR,NULL,288
Moses Lake 3 030,30,GR,NULL,395
Moses Lake 4 031,31,GR,NULL,255
Moses Lake 6 032,32,GR,NULL,395
Moses Lake 7 033,33,GR,NULL,337
Moses Lake 8 034,34,GR,NULL,430
Moses Lake 11 035,35,GR,NULL,523
Moses Lake 12 036,36,GR,NULL,320
North Banks Lake 037,37,GR,NULL,56
O Sullivan Dam 1 038,38,GR,NULL,411
Quincy 1 039,39,GR,NULL,222
Quincy 4 040,40,GR,NULL,131
Quincy 6 041,41,GR,NULL,370
Quincy Rural N 042,42,GR,NULL,182
Royal Camp 043,43,GR,NULL,375
Royal City 044,44,GR,NULL,99
Ruff 045,45,GR,NULL,37
Smyrna 1 046,46,GR,NULL,110
Soap Lake 1 047,47,GR,NULL,155
Soap Lake Rur E ,48,GR,NULL,80
Stratford 049,49,GR,NULL,40
Warden 050,50,GR,NULL,160
Warden Rural 051,51,GR,NULL,312
Soap Lake 2 052,52,GR,NULL,134
Westslope 1 053,53,GR,NULL,85
Wheeler 1 054,54,GR,NULL,187
Wilson Creek 055,55,GR,NULL,58
Wilson Crk Rural 056,56,GR,NULL,29
Airport 2 057,57,GR,NULL,166
Cascade Valley 058,58,GR,NULL,473
Westslope 2 059,59,GR,NULL,69
Smyrna 2 060,60,GR,NULL,21
East Wahluke 061,61,GR,NULL,67
Coulee Cty Rur E 062,62,GR,NULL,19
McConihe 2 063,63,GR,NULL,121
Quincy Rural S 064,64,GR,NULL,444
Greenfield 065,65,GR,NULL,50
Moses Lake 1 066,66,GR,NULL,196
Moses Lake 2 067,67,GR,NULL,224
Moses Lake 9  068,68,GR,NULL,292
O Sullivan Dam 2 069,69,GR,NULL,551
Wheeler 2 070,70,GR,NULL,516
Soap Lake Rur W ,71,GR,NULL,287
Coulee Cty Rur N 072,72,GR,NULL,62
Hartline Rural N 073,73,GR,NULL,28
Ephrata Rural E,74,GR,NULL,244
