Row Label,PrecinctCode,County,Registered Voters,Susan J. Marinella
Total,-1,CU,NULL,1522
ALTO,1,CU,NULL,56
COLUMBIA,2,CU,NULL,212
PING,3,CU,NULL,152
STAR,4,CU,NULL,82
STARBUCK COUNTRY,5,CU,NULL,18
TUCANNON,6,CU,NULL,55
BROOKLYN,101,CU,NULL,161
DAYTON,102,CU,NULL,181
MUSTARD,103,CU,NULL,148
PATIT,104,CU,NULL,133
RAINWATER,105,CU,NULL,125
STARBUCK CITY,106,CU,NULL,54
TOUCHET,107,CU,NULL,145
