Row Label,PrecinctCode,County,Registered Voters,Linda Lee
27-419,27419,PI,NULL,380
27-420,27420,PI,NULL,451
27-421,27421,PI,NULL,335
27-422,27422,PI,NULL,501
27-423,27423,PI,NULL,429
27-424,27424,PI,NULL,371
27-425,27425,PI,NULL,346
27-426,27426,PI,NULL,363
27-427,27427,PI,NULL,355
27-428,27428,PI,NULL,356
27-429,27429,PI,NULL,367
27-430,27430,PI,NULL,378
27-431,27431,PI,NULL,160
27-432,27432,PI,NULL,354
27-433,27433,PI,NULL,357
27-434,27434,PI,NULL,352
27-435,27435,PI,NULL,380
27-436,27436,PI,NULL,348
27-437,27437,PI,NULL,326
27-438,27438,PI,NULL,323
27-439,27439,PI,NULL,317
27-440,27440,PI,NULL,365
27-441,27441,PI,NULL,305
27-442,27442,PI,NULL,240
27-443,27443,PI,NULL,262
27-444,27444,PI,NULL,316
27-445,27445,PI,NULL,301
27-446,27446,PI,NULL,310
27-447,27447,PI,NULL,330
27-448,27448,PI,NULL,11
27-449,27449,PI,NULL,356
27-450,27450,PI,NULL,388
27-451,27451,PI,NULL,281
27-452,27452,PI,NULL,324
27-453,27453,PI,NULL,246
27-454,27454,PI,NULL,347
27-455,27455,PI,NULL,298
27-456,27456,PI,NULL,258
27-457,27457,PI,NULL,313
27-458,27458,PI,NULL,228
27-459,27459,PI,NULL,216
27-460,27460,PI,NULL,359
27-461,27461,PI,NULL,419
27-462,27462,PI,NULL,387
27-463,27463,PI,NULL,290
27-464,27464,PI,NULL,332
27-465,27465,PI,NULL,288
27-466,27466,PI,NULL,336
27-467,27467,PI,NULL,315
27-468,27468,PI,NULL,299
27-471,27471,PI,NULL,14
27-475,27475,PI,NULL,312
27-476,27476,PI,NULL,248
27-477,27477,PI,NULL,339
28-501,28501,PI,NULL,426
28-502,28502,PI,NULL,451
28-503,28503,PI,NULL,467
28-504,28504,PI,NULL,422
28-505,28505,PI,NULL,443
28-506,28506,PI,NULL,448
28-507,28507,PI,NULL,370
28-508,28508,PI,NULL,204
28-509,28509,PI,NULL,0
28-515,28515,PI,NULL,428
28-516,28516,PI,NULL,418
28-517,28517,PI,NULL,458
28-518,28518,PI,NULL,440
28-519,28519,PI,NULL,427
28-520,28520,PI,NULL,441
28-521,28521,PI,NULL,459
28-522,28522,PI,NULL,451
28-523,28523,PI,NULL,454
28-524,28524,PI,NULL,487
28-525,28525,PI,NULL,501
28-526,28526,PI,NULL,325
28-527,28527,PI,NULL,537
28-528,28528,PI,NULL,452
28-529,28529,PI,NULL,351
28-530,28530,PI,NULL,201
28-531,28531,PI,NULL,396
28-535,28535,PI,NULL,455
28-536,28536,PI,NULL,423
28-537,28537,PI,NULL,456
28-538,28538,PI,NULL,371
28-540,28540,PI,NULL,548
28-541,28541,PI,NULL,392
28-542,28542,PI,NULL,384
28-543,28543,PI,NULL,356
28-545,28545,PI,NULL,431
28-546,28546,PI,NULL,395
28-547,28547,PI,NULL,526
28-548,28548,PI,NULL,339
28-549,28549,PI,NULL,373
28-550,28550,PI,NULL,299
28-551,28551,PI,NULL,504
28-552,28552,PI,NULL,440
28-553,28553,PI,NULL,429
28-554,28554,PI,NULL,405
28-555,28555,PI,NULL,467
28-556,28556,PI,NULL,329
28-557,28557,PI,NULL,336
28-558,28558,PI,NULL,333
28-559,28559,PI,NULL,343
28-560,28560,PI,NULL,458
28-561,28561,PI,NULL,268
28-562,28562,PI,NULL,222
28-563,28563,PI,NULL,128
28-565,28565,PI,NULL,327
28-566,28566,PI,NULL,350
28-567,28567,PI,NULL,376
28-568,28568,PI,NULL,380
28-570,28570,PI,NULL,5
28-571,28571,PI,NULL,6
28-572,28572,PI,NULL,352
28-573,28573,PI,NULL,237
28-574,28574,PI,NULL,78
28-575,28575,PI,NULL,2
28-576,28576,PI,NULL,361
28-577,28577,PI,NULL,13
28-578,28578,PI,NULL,76
28-579,28579,PI,NULL,63
28-580,28580,PI,NULL,55
28-581,28581,PI,NULL,218
28-582,28582,PI,NULL,150
28-583,28583,PI,NULL,220
28-584,28584,PI,NULL,251
28-585,28585,PI,NULL,392
28-586,28586,PI,NULL,337
28-587,28587,PI,NULL,242
28-588,28588,PI,NULL,350
28-589,28589,PI,NULL,362
28-590,28590,PI,NULL,13
29-600,29600,PI,NULL,0
29-601,29601,PI,NULL,271
29-602,29602,PI,NULL,234
29-603,29603,PI,NULL,304
29-604,29604,PI,NULL,306
29-605,29605,PI,NULL,251
29-606,29606,PI,NULL,327
29-607,29607,PI,NULL,387
29-608,29608,PI,NULL,266
29-609,29609,PI,NULL,218
29-610,29610,PI,NULL,307
29-611,29611,PI,NULL,65
29-612,29612,PI,NULL,158
29-613,29613,PI,NULL,325
29-614,29614,PI,NULL,338
29-615,29615,PI,NULL,356
29-616,29616,PI,NULL,302
29-617,29617,PI,NULL,307
29-618,29618,PI,NULL,263
29-619,29619,PI,NULL,296
29-620,29620,PI,NULL,176
29-621,29621,PI,NULL,1
29-622,29622,PI,NULL,254
29-623,29623,PI,NULL,76
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,4
29-626,29626,PI,NULL,8
29-627,29627,PI,NULL,0
29-633,29633,PI,NULL,30
29-635,29635,PI,NULL,88
29-636,29636,PI,NULL,385
29-637,29637,PI,NULL,293
29-638,29638,PI,NULL,166
29-639,29639,PI,NULL,294
29-640,29640,PI,NULL,318
29-641,29641,PI,NULL,322
29-642,29642,PI,NULL,332
29-643,29643,PI,NULL,28
29-648,29648,PI,NULL,7
29-649,29649,PI,NULL,104
29-650,29650,PI,NULL,319
29-651,29651,PI,NULL,366
29-652,29652,PI,NULL,34
29-653,29653,PI,NULL,308
29-654,29654,PI,NULL,354
29-655,29655,PI,NULL,134
29-656,29656,PI,NULL,299
29-657,29657,PI,NULL,6
29-658,29658,PI,NULL,291
29-659,29659,PI,NULL,185
29-660,29660,PI,NULL,389
29-661,29661,PI,NULL,272
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,307
29-664,29664,PI,NULL,318
