Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,PI,NULL,14044,29100
27-404,27404,PI,NULL,100,82
27-405,27405,PI,NULL,196,391
27-406,27406,PI,NULL,216,541
27-407,27407,PI,NULL,161,384
27-408,27408,PI,NULL,170,410
27-409,27409,PI,NULL,168,370
27-410,27410,PI,NULL,192,380
27-411,27411,PI,NULL,259,478
27-412,27412,PI,NULL,137,367
27-413,27413,PI,NULL,180,367
27-414,27414,PI,NULL,247,355
27-415,27415,PI,NULL,193,437
27-416,27416,PI,NULL,186,406
27-417,27417,PI,NULL,240,381
27-418,27418,PI,NULL,196,347
27-419,27419,PI,NULL,211,363
27-420,27420,PI,NULL,288,358
27-421,27421,PI,NULL,190,284
27-422,27422,PI,NULL,282,419
27-423,27423,PI,NULL,265,362
27-424,27424,PI,NULL,210,351
27-425,27425,PI,NULL,205,325
27-426,27426,PI,NULL,185,334
27-427,27427,PI,NULL,225,296
27-428,27428,PI,NULL,185,274
27-429,27429,PI,NULL,220,285
27-430,27430,PI,NULL,205,280
27-431,27431,PI,NULL,60,148
27-432,27432,PI,NULL,121,379
27-433,27433,PI,NULL,144,370
27-434,27434,PI,NULL,146,324
27-435,27435,PI,NULL,171,350
27-436,27436,PI,NULL,181,315
27-437,27437,PI,NULL,146,292
27-438,27438,PI,NULL,161,277
27-439,27439,PI,NULL,164,297
27-440,27440,PI,NULL,187,284
27-441,27441,PI,NULL,119,286
27-442,27442,PI,NULL,90,246
27-443,27443,PI,NULL,110,263
27-444,27444,PI,NULL,127,310
27-445,27445,PI,NULL,116,304
27-446,27446,PI,NULL,105,309
27-447,27447,PI,NULL,126,311
27-448,27448,PI,NULL,4,17
27-449,27449,PI,NULL,147,333
27-450,27450,PI,NULL,139,354
27-451,27451,PI,NULL,101,285
27-452,27452,PI,NULL,118,300
27-453,27453,PI,NULL,122,173
27-454,27454,PI,NULL,138,336
27-455,27455,PI,NULL,115,275
27-456,27456,PI,NULL,100,235
27-457,27457,PI,NULL,126,265
27-458,27458,PI,NULL,91,210
27-459,27459,PI,NULL,70,207
27-460,27460,PI,NULL,197,347
27-461,27461,PI,NULL,206,410
27-462,27462,PI,NULL,181,375
27-463,27463,PI,NULL,127,286
27-464,27464,PI,NULL,166,292
27-465,27465,PI,NULL,159,261
27-466,27466,PI,NULL,128,305
27-467,27467,PI,NULL,122,335
27-468,27468,PI,NULL,114,300
28-501,28501,PI,NULL,190,445
28-502,28502,PI,NULL,173,440
28-503,28503,PI,NULL,188,386
28-504,28504,PI,NULL,196,387
28-505,28505,PI,NULL,227,468
28-506,28506,PI,NULL,181,418
28-507,28507,PI,NULL,156,325
28-508,28508,PI,NULL,106,153
28-509,28509,PI,NULL,0,0
29-601,29601,PI,NULL,111,254
29-602,29602,PI,NULL,82,237
29-603,29603,PI,NULL,115,268
29-604,29604,PI,NULL,108,282
29-605,29605,PI,NULL,95,240
29-606,29606,PI,NULL,104,348
29-607,29607,PI,NULL,140,348
29-608,29608,PI,NULL,102,265
29-609,29609,PI,NULL,74,222
29-610,29610,PI,NULL,128,256
29-611,29611,PI,NULL,24,74
29-612,29612,PI,NULL,69,153
29-613,29613,PI,NULL,128,323
29-614,29614,PI,NULL,139,337
29-615,29615,PI,NULL,126,348
29-616,29616,PI,NULL,127,281
29-617,29617,PI,NULL,120,283
29-618,29618,PI,NULL,96,232
29-619,29619,PI,NULL,84,300
29-620(*),29620,PI,NULL,0,0
29-621(*),29621,PI,NULL,0,0
29-622,29622,PI,NULL,93,209
29-623,29623,PI,NULL,28,55
29-624,29624,PI,NULL,0,0
29-625,29625,PI,NULL,5,2
29-626,29626,PI,NULL,5,6
29-627,29627,PI,NULL,0,0
