Row Label,PrecinctCode,County,Registered Voters,Graham Hunt,Greg Hartman
Total,-1,TH,NULL,7851,5967
Cougar Mountain,28,TH,NULL,40,41
Lackamas,31,TH,NULL,43,88
Morris,32,TH,NULL,247,146
Evergreen Ballroom,33,TH,NULL,238,183
University North,43,TH,NULL,93,49
Medicine Creek,57,TH,NULL,102,58
Skokomish,58,TH,NULL,151,125
Pleasant Hill,59,TH,NULL,215,142
Smith Prairie,60,TH,NULL,274,139
Pines,74,TH,NULL,160,100
Tri Lakes,78,TH,NULL,101,91
University South,79,TH,NULL,97,96
Deerbrush,91,TH,NULL,202,155
Mushroom Corner,92,TH,NULL,163,145
Trailblazer,93,TH,NULL,57,65
Marvin,98,TH,NULL,221,165
Montgomery,110,TH,NULL,84,86
Nisqually,111,TH,NULL,141,126
Forest,115,TH,NULL,242,229
St Clair,116,TH,NULL,225,129
Fleetwood,118,TH,NULL,238,201
Lydia Hawk,119,TH,NULL,287,248
Fristoe,124,TH,NULL,148,88
Deschutes,125,TH,NULL,250,167
Longmire,126,TH,NULL,140,76
Ruth Prairie,127,TH,NULL,92,63
Weir Prairie,128,TH,NULL,193,152
Thompson,162,TH,NULL,88,104
Sunwood Lakes,165,TH,NULL,292,258
Eaton Creek,166,TH,NULL,139,82
Hawks Ridge,167,TH,NULL,60,69
Mcallister Creek,169,TH,NULL,143,125
Four Corners,179,TH,NULL,301,223
Fair Oaks,185,TH,NULL,121,125
Mullen,187,TH,NULL,210,186
Berry Valley,193,TH,NULL,138,143
Hartwood,194,TH,NULL,366,248
Meadows,196,TH,NULL,161,123
Summerset,197,TH,NULL,297,257
Rainier 01,601,TH,NULL,164,107
Rainier 02,602,TH,NULL,119,83
Yelm 1,701,TH,NULL,162,130
Yelm 2,702,TH,NULL,194,109
Yelm 3,703,TH,NULL,229,110
Yelm 4,704,TH,NULL,223,132
