Row Label,PrecinctCode,County,Registered Voters,Chris Stearns,Dennis Pulsipher
Olympia 10,210,TH,NULL,174,104
Olympia 11,211,TH,NULL,140,94
Olympia 12,212,TH,NULL,92,42
Olympia 13,213,TH,NULL,182,84
Olympia 14,214,TH,NULL,165,58
Olympia 15,215,TH,NULL,124,74
Olympia 16,216,TH,NULL,32,15
Olympia 17,217,TH,NULL,109,62
Olympia 18,218,TH,NULL,158,76
Olympia 19,219,TH,NULL,116,96
Olympia 20,220,TH,NULL,88,36
Olympia 21,221,TH,NULL,232,124
Olympia 23,223,TH,NULL,191,106
Olympia 24,224,TH,NULL,130,109
Olympia 25,225,TH,NULL,119,76
Olympia 26,226,TH,NULL,139,103
Olympia 27,227,TH,NULL,66,51
Olympia 28,228,TH,NULL,173,95
Olympia 29,229,TH,NULL,163,135
Olympia 30,230,TH,NULL,151,72
Olympia 31,231,TH,NULL,113,95
Olympia 32,232,TH,NULL,201,118
Olympia 35,235,TH,NULL,276,185
Olympia 36,236,TH,NULL,63,32
Olympia 37,237,TH,NULL,108,68
Olympia 38,238,TH,NULL,45,22
Olympia 39,239,TH,NULL,156,88
Olympia 40,240,TH,NULL,126,80
Olympia 41,241,TH,NULL,169,87
Olympia 42,242,TH,NULL,104,67
Olympia 43,243,TH,NULL,180,111
Olympia 44,244,TH,NULL,85,37
Olympia 45,245,TH,NULL,95,51
Olympia 46,246,TH,NULL,149,83
Olympia 47,247,TH,NULL,185,104
Olympia 48,248,TH,NULL,198,116
Olympia 49,249,TH,NULL,198,67
Olympia 50,250,TH,NULL,144,52
Olympia 51,251,TH,NULL,29,31
Olympia 52,252,TH,NULL,89,45
Olympia 53,253,TH,NULL,153,78
Olympia 54,254,TH,NULL,102,58
Olympia 55,255,TH,NULL,80,62
Olympia 56,256,TH,NULL,132,91
Olympia 57,257,TH,NULL,86,37
Olympia 58,258,TH,NULL,156,79
Olympia 59,259,TH,NULL,143,78
Olympia 60,260,TH,NULL,97,59
Lacey 01,301,TH,NULL,64,34
Lacey 02,302,TH,NULL,105,72
Lacey 03,303,TH,NULL,148,82
Lacey 04,304,TH,NULL,77,50
Lacey 05,305,TH,NULL,104,64
Lacey 06,306,TH,NULL,55,40
Lacey 07,307,TH,NULL,131,69
Lacey 08,308,TH,NULL,98,58
Lacey 09,309,TH,NULL,65,53
Lacey 10,310,TH,NULL,197,109
Lacey 11,311,TH,NULL,133,117
Lacey 13,313,TH,NULL,71,46
Lacey 14,314,TH,NULL,66,31
Lacey 15,315,TH,NULL,139,84
Lacey 16,316,TH,NULL,143,87
Lacey 17,317,TH,NULL,156,74
Lacey 18,318,TH,NULL,191,93
Lacey 19,319,TH,NULL,103,61
Lacey 20,320,TH,NULL,68,38
Lacey 21,321,TH,NULL,91,41
Lacey 22,322,TH,NULL,90,64
Lacey 23,323,TH,NULL,69,44
Lacey 24,324,TH,NULL,216,134
Lacey 27,327,TH,NULL,146,81
Lacey 28,328,TH,NULL,98,67
Lacey 29,329,TH,NULL,176,102
Lacey 30,330,TH,NULL,223,137
Lacey 31,331,TH,NULL,123,65
Lacey 32,332,TH,NULL,167,101
Lacey 33,333,TH,NULL,86,45
Lacey 34,334,TH,NULL,93,53
Lacey 35,335,TH,NULL,52,38
Lacey 36,336,TH,NULL,104,53
Lacey 37,337,TH,NULL,41,31
Lacey 39,339,TH,NULL,227,151
Lacey 40,340,TH,NULL,187,124
Lacey 41,341,TH,NULL,137,89
Lacey 42,342,TH,NULL,60,22
Lacey 43,343,TH,NULL,171,120
Lacey 44,344,TH,NULL,61,45
Lacey 45,345,TH,NULL,87,40
Lacey 46,346,TH,NULL,362,221
Lacey 47,347,TH,NULL,262,151
Lacey 48,348,TH,NULL,91,77
Lacey 49,349,TH,NULL,78,75
Tumwater 01,401,TH,NULL,112,71
Tumwater 02,402,TH,NULL,150,83
Tumwater 03,403,TH,NULL,173,100
Tumwater 04,404,TH,NULL,114,55
Tumwater 05,405,TH,NULL,117,80
Tumwater 06,406,TH,NULL,244,182
Tumwater 07,407,TH,NULL,113,85
Tumwater 08,408,TH,NULL,171,135
Tumwater 09,409,TH,NULL,117,66
Tumwater 10,410,TH,NULL,211,115
Tumwater 11,411,TH,NULL,210,171
Tumwater 12,412,TH,NULL,143,107
Tumwater 13,413,TH,NULL,83,29
Tumwater 14,414,TH,NULL,70,51
Tumwater 15,415,TH,NULL,187,110
Tumwater 24,424,TH,NULL,107,77
Tumwater 27,427,TH,NULL,160,100
Tumwater 28,428,TH,NULL,215,128
Tumwater 29,429,TH,NULL,0,0
Tenino 01,501,TH,NULL,91,66
Tenino 02,502,TH,NULL,117,58
Rainier 01,601,TH,NULL,130,66
Rainier 02,602,TH,NULL,93,58
Yelm 1,701,TH,NULL,144,90
Yelm 2,702,TH,NULL,167,65
Yelm 3,703,TH,NULL,174,96
Yelm 4,704,TH,NULL,175,106
Bucoda,801,TH,NULL,75,39
