Row Label,PrecinctCode,County,Registered Voters,Mark S. Nelson,Darren Ullmann
Total,-1,CZ,NULL,15974,14274
Alabama,1,CZ,NULL,167,108
Ammons,2,CZ,NULL,186,166
Arkansas,3,CZ,NULL,104,109
Bakers,4,CZ,NULL,9,13
Baltimore,5,CZ,NULL,251,200
Beacon,6,CZ,NULL,344,301
Boondox,7,CZ,NULL,6,12
Brynion,8,CZ,NULL,189,189
Burcham,9,CZ,NULL,326,448
Caples,10,CZ,NULL,85,115
Carrolls,11,CZ,NULL,234,267
Castle Rock,12,CZ,NULL,334,270
Chinook,13,CZ,NULL,240,316
Cloverdale,14,CZ,NULL,166,202
Coal Creek,15,CZ,NULL,370,311
Columbia Heights,16,CZ,NULL,157,132
Columbia Valley Gdns,17,CZ,NULL,212,140
Crawford,18,CZ,NULL,188,260
Delameter,19,CZ,NULL,258,165
Douglas,20,CZ,NULL,184,130
Elk Ridge,21,CZ,NULL,2,2
Harris,22,CZ,NULL,210,224
Haussler,23,CZ,NULL,161,162
Hillcrest,24,CZ,NULL,493,315
Hudson,25,CZ,NULL,321,173
Industrial,26,CZ,NULL,0,0
Kalama North,27,CZ,NULL,204,164
Kalama South,28,CZ,NULL,251,237
Kessler,29,CZ,NULL,350,226
Lake,30,CZ,NULL,240,173
Laurel,31,CZ,NULL,359,247
Lewis River,32,CZ,NULL,264,396
Lexington,33,CZ,NULL,193,207
Lone Oak,34,CZ,NULL,180,116
Magnolia,35,CZ,NULL,475,275
Marigold,36,CZ,NULL,369,235
McGowan,37,CZ,NULL,60,45
Memorial,38,CZ,NULL,162,124
Mill,39,CZ,NULL,300,244
Mint Valley,40,CZ,NULL,417,280
Modrow,41,CZ,NULL,216,190
Mt. Solo,42,CZ,NULL,72,71
Nevada,43,CZ,NULL,256,168
Ocean Beach,44,CZ,NULL,261,208
Olson,45,CZ,NULL,167,154
Ostrander,46,CZ,NULL,240,251
Owl Creek,47,CZ,NULL,308,342
Pacific,48,CZ,NULL,307,201
Ponderosa,49,CZ,NULL,223,189
Powell,50,CZ,NULL,231,212
Redpath,51,CZ,NULL,209,148
Ridgecrest,52,CZ,NULL,17,21
Robbins,53,CZ,NULL,358,272
Rose Valley,54,CZ,NULL,180,161
Ryderwood,55,CZ,NULL,103,109
Sacajawea,56,CZ,NULL,534,331
Sandy Bend,57,CZ,NULL,240,235
Silver Lake,58,CZ,NULL,377,378
Sparks,59,CZ,NULL,116,182
St. Helens,60,CZ,NULL,113,110
Stella,61,CZ,NULL,251,208
Toutle,62,CZ,NULL,269,286
Tower,63,CZ,NULL,385,307
Tunstall,64,CZ,NULL,71,124
View,65,CZ,NULL,169,158
West Kelso,66,CZ,NULL,67,47
Willow Grove,67,CZ,NULL,87,59
Windemere,68,CZ,NULL,359,316
Woodage,69,CZ,NULL,157,201
Woodland North,70,CZ,NULL,236,404
Woodland South,71,CZ,NULL,237,300
Yale,72,CZ,NULL,137,232
