Row Label,PrecinctCode,County,Registered Voters,Dave Thomas,Tom L. Pasma
Total,-1,SK,NULL,22786,15528
ALDER,101,SK,NULL,145,95
ALGER,102,SK,NULL,181,97
ALLEN,103,SK,NULL,148,55
DUNBAR,104,SK,NULL,46,40
AVON,105,SK,NULL,244,133
SAUK,107,SK,NULL,233,181
BAY VIEW,108,SK,NULL,228,142
BELFAST,109,SK,NULL,156,77
BIG LAKE,110,SK,NULL,366,191
BIRDSVIEW,111,SK,NULL,270,155
BOW,113,SK,NULL,266,275
CASCADE,114,SK,NULL,40,49
CEDARDALE,115,SK,NULL,108,45
CLEAR LAKE,116,SK,NULL,269,143
COUNTRY CLUB,117,SK,NULL,132,55
CONWAY,118,SK,NULL,93,87
DEWEY,119,SK,NULL,466,292
DIGBY,120,SK,NULL,30,8
DODGE VALLEY,121,SK,NULL,90,88
EDISON,122,SK,NULL,147,122
FIR,124,SK,NULL,102,74
FRUITDALE,125,SK,NULL,129,56
GEAR,126,SK,NULL,337,127
GUEMES,127,SK,NULL,157,233
HAMBURG,128,SK,NULL,100,81
HARMONY,129,SK,NULL,172,96
LAKE SIXTEEN,130,SK,NULL,140,67
LOOKOUT,132,SK,NULL,284,222
MANSFORD,133,SK,NULL,38,27
MAPES,134,SK,NULL,97,55
MARCH POINT,135,SK,NULL,19,8
MCMURRAY WEST,136,SK,NULL,110,99
MCRAE,137,SK,NULL,388,226
MCMURRAY EAST,138,SK,NULL,59,42
MINKLER,139,SK,NULL,172,114
MONTBORNE,140,SK,NULL,332,203
NOOKACHAMPS,141,SK,NULL,139,99
SKYRIDGE,144,SK,NULL,242,140
PRAIRIE,145,SK,NULL,295,144
POINT WILLIAMS,146,SK,NULL,194,151
RIDGEWAY,147,SK,NULL,183,106
ROCKPORT,148,SK,NULL,173,186
SHELTER BAY,149,SK,NULL,300,199
SNEE OOSH,150,SK,NULL,189,159
STERLING,151,SK,NULL,86,39
SWINOMISH,153,SK,NULL,255,191
TINGLEY,154,SK,NULL,151,79
VAN FLEET,155,SK,NULL,227,132
VEDERE,156,SK,NULL,191,101
WHITNEY,157,SK,NULL,89,81
ROSARIO,158,SK,NULL,391,241
TERRACE,159,SK,NULL,478,198
STARBIRD,160,SK,NULL,257,117
FIDALGO,164,SK,NULL,343,202
GAGES,165,SK,NULL,71,27
SAMISH,166,SK,NULL,183,116
COLLINS,167,SK,NULL,166,81
BLANCHARD(*),168,SK,NULL,0,0
VIEW TERRACE(*),170,SK,NULL,0,0
LAKE CAVANAUGH,171,SK,NULL,98,39
LITTLE MOUNTAIN,172,SK,NULL,138,64
RIVERBEND,173,SK,NULL,8,11
PADILLA,174,SK,NULL,73,29
FREDONIA,176,SK,NULL,56,30
ANACORTES  1,201,SK,NULL,162,212
ANACORTES  4,204,SK,NULL,118,165
ANACORTES 5,205,SK,NULL,10,2
ANACORTES  6,206,SK,NULL,247,167
ANACORTES  7,207,SK,NULL,468,379
ANACORTES  9,209,SK,NULL,295,164
ANACORTES 11,211,SK,NULL,308,263
ANACORTES 17,217,SK,NULL,356,384
ANACORTES 20,220,SK,NULL,414,296
ANACORTES 21,221,SK,NULL,553,365
ANACORTES 22,222,SK,NULL,373,229
ANACORTES 24,224,SK,NULL,606,391
MOUNT VERNON  1,301,SK,NULL,84,82
MOUNT VERNON  2,302,SK,NULL,102,85
MOUNT VERNON  3,303,SK,NULL,192,177
MOUNT VERNON  4,304,SK,NULL,340,230
MOUNT VERNON  5,305,SK,NULL,68,45
MOUNT VERNON  6,306,SK,NULL,135,187
MOUNT VERNON  7,307,SK,NULL,195,230
MOUNT VERNON  8,308,SK,NULL,415,302
MOUNT VERNON  9,309,SK,NULL,129,94
MOUNT VERNON 10,310,SK,NULL,122,96
MOUNT VERNON 11,311,SK,NULL,237,144
MOUNT VERNON 12,312,SK,NULL,107,77
MOUNT VERNON 14,314,SK,NULL,287,225
MOUNT VERNON 15,315,SK,NULL,155,109
MOUNT VERNON 16,316,SK,NULL,348,211
MOUNT VERNON 19,319,SK,NULL,316,158
MOUNT VERNON 21,321,SK,NULL,387,277
MOUNT VERNON 22,322,SK,NULL,475,268
MOUNT VERNON 27,327,SK,NULL,79,48
MOUNT VERNON 30,330,SK,NULL,316,175
SEDRO WOOLLEY  1,401,SK,NULL,245,166
SEDRO WOOLLEY  2,402,SK,NULL,278,161
SEDRO WOOLLEY  3,403,SK,NULL,177,120
SEDRO WOOLLEY  4,404,SK,NULL,237,170
SEDRO WOOLLEY  5,405,SK,NULL,311,242
SEDRO WOOLLEY  6,406,SK,NULL,233,158
SEDRO WOOLLEY  7,407,SK,NULL,4,5
BURLINGTON 1,501,SK,NULL,98,89
BURLINGTON 2,502,SK,NULL,147,87
BURLINGTON 3,503,SK,NULL,52,45
BURLINGTON 4,504,SK,NULL,196,117
BURLINGTON 5,505,SK,NULL,251,149
BURLINGTON 6,506,SK,NULL,134,83
BURLINGTON 7,507,SK,NULL,166,75
CONCRETE,601,SK,NULL,92,77
HAMILTON,701,SK,NULL,35,20
LA CONNER,801,SK,NULL,170,226
LYMAN,855,SK,NULL,68,38
