Row Label,PrecinctCode,County,Registered Voters,Denny Heck,Joyce McDonald
Total,-1,TH,NULL,47303,31451
Cougar Mountain,28,TH,NULL,48,34
Morris,32,TH,NULL,170,229
Evergreen Ballroom,33,TH,NULL,207,224
Trails End,34,TH,NULL,350,283
Kaiser,35,TH,NULL,122,45
Rich(*),36,TH,NULL,0,0
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,120,96
Simmons 9,42,TH,NULL,4,2
University North,43,TH,NULL,67,76
Steamboat Island,44,TH,NULL,188,105
Rocky Prairie,45,TH,NULL,119,125
Woodard Creek,47,TH,NULL,184,131
Scott Lake South,49,TH,NULL,144,119
Salmon Creek,50,TH,NULL,110,106
Spurgeon Creek,51,TH,NULL,79,91
Rochester 5,54,TH,NULL,150,205
Rochester 4,55,TH,NULL,123,166
Medicine Creek,57,TH,NULL,69,94
Skokomish,58,TH,NULL,145,134
Pleasant Hill,59,TH,NULL,185,185
Smith Prairie,60,TH,NULL,166,247
Black River,62,TH,NULL,242,274
Ames,63,TH,NULL,211,93
Airport,64,TH,NULL,14,14
Luhr Beach,65,TH,NULL,202,216
Fish Trap,66,TH,NULL,189,102
Quince(*),67,TH,NULL,0,0
Simmons 2(*),68,TH,NULL,0,0
Simmons 3,69,TH,NULL,9,9
Simmons 4,70,TH,NULL,8,11
Pines,74,TH,NULL,123,140
Long Lake,75,TH,NULL,50,45
Hawk Acres,76,TH,NULL,128,111
Tri Lakes,78,TH,NULL,105,94
University South,79,TH,NULL,115,82
Tolmie,80,TH,NULL,70,73
Military,81,TH,NULL,88,83
Glen Terra,82,TH,NULL,67,46
Prine,83,TH,NULL,35,34
Glenwood,84,TH,NULL,85,42
Greenridge,86,TH,NULL,136,84
Woodland,88,TH,NULL,183,146
Tilley,89,TH,NULL,203,184
Sweet Briar,90,TH,NULL,306,181
Deerbrush,91,TH,NULL,190,175
Mushroom Corner,92,TH,NULL,164,150
Trailblazer,93,TH,NULL,74,52
Frye Cove,94,TH,NULL,271,152
Oyster Bay,95,TH,NULL,246,157
Summit Lake,96,TH,NULL,162,151
Delridge,97,TH,NULL,51,49
Marvin,98,TH,NULL,214,185
Alpine,99,TH,NULL,356,235
Hewitt Lake,100,TH,NULL,302,153
Zangle,101,TH,NULL,221,112
Boston Harbor,102,TH,NULL,326,90
Gull Harbor,103,TH,NULL,162,80
Friendly Grove,104,TH,NULL,117,103
South Bay,105,TH,NULL,227,208
Puget,106,TH,NULL,206,254
Bigelow,107,TH,NULL,212,108
Pleasant Glade,109,TH,NULL,145,72
Montgomery,110,TH,NULL,112,64
Nisqually,111,TH,NULL,151,119
Roosevelt,112,TH,NULL,258,178
Kinwood,113,TH,NULL,172,116
Mckinley,114,TH,NULL,78,46
Forest,115,TH,NULL,285,198
St Clair,116,TH,NULL,155,205
Hicks,117,TH,NULL,41,19
Fleetwood,118,TH,NULL,248,200
Lydia Hawk,119,TH,NULL,311,235
Hays,120,TH,NULL,157,111
Indian Summer,121,TH,NULL,221,194
Chambers,122,TH,NULL,277,280
Freedom,123,TH,NULL,253,179
Fristoe,124,TH,NULL,114,124
Deschutes,125,TH,NULL,193,232
Longmire,126,TH,NULL,104,114
Ruth Prairie,127,TH,NULL,62,94
Weir Prairie,128,TH,NULL,165,187
College,129,TH,NULL,50,7
Hunter Point,131,TH,NULL,135,95
Griffin,132,TH,NULL,221,123
Schneiders Prairie,133,TH,NULL,163,132
Cooper Point,134,TH,NULL,217,147
Butler Cove,135,TH,NULL,207,116
Broadway,136,TH,NULL,308,147
Plainview,139,TH,NULL,376,191
Mud Bay,140,TH,NULL,219,118
Mclane,141,TH,NULL,167,112
Bush Prairie,143,TH,NULL,54,32
Black Lake,144,TH,NULL,263,220
Delphi,145,TH,NULL,176,166
South Union,146,TH,NULL,259,214
Plumb,147,TH,NULL,210,182
Mcintosh,149,TH,NULL,313,313
Violet Prairie,150,TH,NULL,166,263
Littlerock,151,TH,NULL,275,302
Rochester 1,153,TH,NULL,189,229
Scott Lake North,155,TH,NULL,84,77
Johnson Point,160,TH,NULL,270,205
Wards,161,TH,NULL,122,34
Thompson,162,TH,NULL,129,73
Smith Lake,163,TH,NULL,202,151
Evergreen Shores,164,TH,NULL,176,123
Sunwood Lakes,165,TH,NULL,289,267
Eaton Creek,166,TH,NULL,97,128
Hawks Ridge,167,TH,NULL,84,48
Holmes,168,TH,NULL,169,141
Mcallister Creek,169,TH,NULL,145,128
Rochester 3,170,TH,NULL,144,186
Waddell Creek,171,TH,NULL,161,138
Tykle Cove,172,TH,NULL,227,147
Camelot,173,TH,NULL,128,108
French,174,TH,NULL,281,104
Sunset Beach,175,TH,NULL,315,115
Henderson,176,TH,NULL,269,217
Pattison,178,TH,NULL,201,152
Four Corners,179,TH,NULL,249,282
Stedman,180,TH,NULL,133,132
Munn Lake,182,TH,NULL,118,104
Beach Crest,183,TH,NULL,163,114
Scheller,184,TH,NULL,98,68
Fair Oaks,185,TH,NULL,146,105
Wilderness,186,TH,NULL,308,178
Mullen,187,TH,NULL,214,189
Sleater Kinney,189,TH,NULL,163,143
Lakeside,190,TH,NULL,92,87
Gallagher Cove,191,TH,NULL,324,223
East Olympia,192,TH,NULL,162,161
Berry Valley,193,TH,NULL,147,134
Hartwood,194,TH,NULL,304,325
Libby,195,TH,NULL,200,105
Meadows,196,TH,NULL,137,156
Summerset,197,TH,NULL,298,272
Henness,198,TH,NULL,249,343
Beaver Creek,199,TH,NULL,272,362
Olympia 01,201,TH,NULL,224,68
Olympia 02,202,TH,NULL,223,79
Olympia 03,203,TH,NULL,245,70
Olympia 04,204,TH,NULL,208,63
Olympia 05,205,TH,NULL,249,34
Olympia 06,206,TH,NULL,340,189
Olympia 07,207,TH,NULL,131,38
Olympia 08,208,TH,NULL,236,99
Olympia 09,209,TH,NULL,403,161
Olympia 10,210,TH,NULL,327,44
Olympia 11,211,TH,NULL,262,29
Olympia 12,212,TH,NULL,103,66
Olympia 13,213,TH,NULL,291,43
Olympia 14,214,TH,NULL,228,51
Olympia 15,215,TH,NULL,227,39
Olympia 16,216,TH,NULL,42,12
Olympia 17,217,TH,NULL,138,73
Olympia 18,218,TH,NULL,265,50
Olympia 19,219,TH,NULL,202,67
Olympia 20,220,TH,NULL,152,19
Olympia 21,221,TH,NULL,364,82
Olympia 23,223,TH,NULL,320,66
Olympia 24,224,TH,NULL,245,58
Olympia 25,225,TH,NULL,178,69
Olympia 26,226,TH,NULL,256,44
Olympia 27,227,TH,NULL,103,46
Olympia 28,228,TH,NULL,293,59
Olympia 29,229,TH,NULL,248,132
Olympia 30,230,TH,NULL,237,40
Olympia 31,231,TH,NULL,182,112
Olympia 32,232,TH,NULL,264,142
Olympia 35,235,TH,NULL,431,178
Olympia 36,236,TH,NULL,99,23
Olympia 37,237,TH,NULL,150,72
Olympia 38,238,TH,NULL,54,26
Olympia 39,239,TH,NULL,238,94
Olympia 40,240,TH,NULL,226,49
Olympia 41,241,TH,NULL,288,56
Olympia 42,242,TH,NULL,188,43
Olympia 43,243,TH,NULL,312,75
Olympia 44,244,TH,NULL,153,15
Olympia 45,245,TH,NULL,139,55
Olympia 46,246,TH,NULL,199,109
Olympia 47,247,TH,NULL,288,100
Olympia 48,248,TH,NULL,269,151
Olympia 49,249,TH,NULL,313,30
Olympia 50,250,TH,NULL,220,33
Olympia 51,251,TH,NULL,41,36
Olympia 52,252,TH,NULL,145,31
Olympia 53,253,TH,NULL,184,99
Olympia 54,254,TH,NULL,190,21
Olympia 55,255,TH,NULL,122,61
Olympia 56,256,TH,NULL,188,99
Olympia 57,257,TH,NULL,126,41
Olympia 58,258,TH,NULL,208,102
Olympia 59,259,TH,NULL,208,74
Olympia 60,260,TH,NULL,137,65
Lacey 01,301,TH,NULL,89,41
Lacey 02,302,TH,NULL,142,78
Lacey 03,303,TH,NULL,161,123
Lacey 04,304,TH,NULL,95,65
Lacey 05,305,TH,NULL,112,97
Lacey 06,306,TH,NULL,61,51
Lacey 07,307,TH,NULL,154,98
Lacey 08,308,TH,NULL,122,72
Lacey 09,309,TH,NULL,95,53
Lacey 10,310,TH,NULL,269,122
Lacey 11,311,TH,NULL,202,86
Lacey 13,313,TH,NULL,102,60
Lacey 14,314,TH,NULL,73,38
Lacey 15,315,TH,NULL,176,131
Lacey 16,316,TH,NULL,202,79
Lacey 17,317,TH,NULL,167,139
Lacey 18,318,TH,NULL,189,156
Lacey 19,319,TH,NULL,124,87
Lacey 20,320,TH,NULL,79,46
Lacey 21,321,TH,NULL,91,66
Lacey 22,322,TH,NULL,151,63
Lacey 23,323,TH,NULL,73,68
Lacey 24,324,TH,NULL,207,220
Lacey 27,327,TH,NULL,170,107
Lacey 28,328,TH,NULL,111,97
Lacey 29,329,TH,NULL,208,127
Lacey 30,330,TH,NULL,226,224
Lacey 31,331,TH,NULL,129,121
Lacey 32,332,TH,NULL,183,156
Lacey 33,333,TH,NULL,114,55
Lacey 34,334,TH,NULL,104,61
Lacey 35,335,TH,NULL,68,51
Lacey 36,336,TH,NULL,106,98
Lacey 37,337,TH,NULL,64,28
Lacey 39,339,TH,NULL,313,168
Lacey 40,340,TH,NULL,193,191
Lacey 41,341,TH,NULL,158,145
Lacey 42,342,TH,NULL,65,40
Lacey 43,343,TH,NULL,181,196
Lacey 44,344,TH,NULL,78,58
Lacey 45,345,TH,NULL,100,59
Lacey 46,346,TH,NULL,363,363
Lacey 47,347,TH,NULL,306,229
Lacey 48,348,TH,NULL,113,115
Lacey 49,349,TH,NULL,112,81
Tumwater 01,401,TH,NULL,162,80
Tumwater 02,402,TH,NULL,235,77
Tumwater 03,403,TH,NULL,233,128
Tumwater 04,404,TH,NULL,130,69
Tumwater 05,405,TH,NULL,172,78
Tumwater 06,406,TH,NULL,339,202
Tumwater 07,407,TH,NULL,181,107
Tumwater 08,408,TH,NULL,266,110
Tumwater 09,409,TH,NULL,137,95
Tumwater 10,410,TH,NULL,261,148
Tumwater 11,411,TH,NULL,264,229
Tumwater 12,412,TH,NULL,227,101
Tumwater 13,413,TH,NULL,90,48
Tumwater 14,414,TH,NULL,94,69
Tumwater 15,415,TH,NULL,255,155
Tumwater 24,424,TH,NULL,134,113
Tumwater 27,427,TH,NULL,195,137
